name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Allapattah YMCA Kinder Kamp Development Center,Miami,FL,,,,,,,N/A,No website,,osm
Carver YMCA Early Childhood Development Center,Miami,FL,,,,,,,N/A,No website,,osm
YMCA,Miami,FL,,,,,,,N/A,No website,,osm
YWCA Citrus Grove,Miami,FL,,,,,,,N/A,No website,,osm
YMCA of Greater Miami,Miami,FL,,,,,,,N/A,No website,,osm
YWCA Liberty City,Miami,FL,,,,,,,N/A,No website,,osm
Kick Martial Arts Studio,Coral Gables,,1430 Ponce de Leon Boulevard,33134,,,,,N/A,No website,,osm
JetSet Pilates,Miami,FL,401 Northwest 26th Street,33127,,,,,N/A,No website,,osm
Anatomy at 1220,Miami Beach,FL,1220 20th Street,33139,,,,,N/A,No website,,osm
Miami Beach Rowing Club,Miami,,,,,,,,N/A,No website,,osm
Fitness First,Miami,,,,,,,,N/A,No website,,osm
Hauser Bayside Pilates,Miami,,1860 West Avenue,,,,,,N/A,No website,,osm
Modo Yoga,Miami,,1935 West Avenue,33139,,,,,N/A,No website,,osm
Salvadore Park Tennis Center,Coral Gables,FL,1121 Andalusia Avenue,33134,,,,,N/A,No website,,osm
Yoga Pilates,North Miami,FL,12583 Biscayne Boulevard,33181,,,,,N/A,No website,,osm
CrossFit,Miami,FL,1010 Southwest 8th Street,33130,,,,,N/A,No website,,osm
Orangetheory Fitness,Miami,FL,89 Northeast 38th Street,33137,+1 786-667-3757,,,,N/A,No website,,osm
Rise Nation,Miami,FL,3814 Northeast 1st Avenue,33137,+1-305-409-7614,,,,N/A,No website,,osm
Exhale Miami,Miami,,,,,,,,N/A,No website,,osm
Arena Combat Sports,Miami,,1852 Southwest 8th Street,,,,,,N/A,No website,,osm
Casino Miami Jai Alai,Miami,FL,3500 Northwest 37th Avenue,33142,,,,,N/A,No website,,osm
Anatomy,Miami,,,,,,,,N/A,No website,,osm
Orangetheory Fitness,Miami Beach,FL,1111 5th Street,33139,+1 305-695-0085,,,,N/A,No website,,osm
SoBe Fit Body,Miami,,,,,,,,N/A,No website,,osm
World Famous 5th Street Gym,Miami,,,,,,,,N/A,No website,,osm
Physician's Weight Loss Center,Miami,,,,,,,,N/A,No website,,osm
DBC FITNESS,Miami,FL,3841 Northeast 2nd Avenue,33137,+1-786-452-8964,,,,N/A,No website,,osm
AVIVA PILATES,Miami,FL,4141 Northeast 2nd Avenue,33137,+1-305-372-4161,,,,N/A,No website,,osm
Schwartz Center for Athletic Excellence,Coral Gables,FL,5811 San Amaro Drive,33146,,,,,N/A,No website,,osm
Knight Sports Complex,Coral Gables,FL,5831 San Amaro Drive,33146,,,,,N/A,No website,,osm
The SoBe Life,Miami,,,,,,,,N/A,No website,,osm
YouFit,Miami,,,,,,,,N/A,No website,,osm
Orangetheory Fitness,Coral Gables,FL,2300 Salzedo Street,33134,+1 305-460-6006,,,,N/A,No website,,osm
Outdoor Adventure Center,Miami,,,,,,,,N/A,No website,,osm
Orangetheory Fitness,Brickell,FL,800 Brickell Avenue,33131,+1 786-558-4422,,,,N/A,No website,,osm
Rumble Boxing,Miami,,111,,,,,,N/A,No website,,osm
