name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Hamilton Gymnasium,Denver,CO,,,,,,,N/A,No website,,osm
Coors Fitness Center,Denver,CO,,,,,,,N/A,No website,,osm
Denver Athletic Club,Denver,CO,1325 Glenarm Place,80204,,,,,N/A,No website,,osm
Twentieth Street Recreation Center,Denver,CO,1011 20th Street,80202,,,,,N/A,No website,,osm
Center Strength,Denver,,1000 South Gaylord Street,,+1-303-333-6674,,,,N/A,No website,,osm
Colorado Athletic Club,Denver,CO,1201 16th Street,80202,,,,,N/A,No website,,osm
Altitude Peak Fitness,Denver,CO,2151 Larimer Street,80205,,,,,N/A,No website,,osm
Vital Yoga,Denver,CO,3955 Tennyson Street,80212,,,,,N/A,No website,,osm
Orangetheory Fitness,Denver,CO,200 North Quebec Street,80230,+1 303-366-3311,,,,N/A,No website,,osm
Gym/Fitness Center,Denver,,,,,,,,N/A,No website,,osm
Warehouse 41,Denver,,,,,,,,N/A,No website,,osm
CrossFit LoDo,Denver,CO,601 West 29th Avenue,80202,,,,,N/A,No website,,osm
Ashland Recreation Center,Denver,CO,2475 West Dunkeld Place,80211,,,,,N/A,No website,,osm
Ashland Recreation Center Swimming Pool,Denver,CO,2501 West Dunkeld Place,80211,,,,,N/A,No website,,osm
CrossFit Cuspis,Denver,CO,3730 Federal Boulevard,80211,,,,,N/A,No website,,osm
The Glitterdome - Denver Roller Derby,Denver,CO,3600 Wynkoop Street,80216,,,,,N/A,No website,,osm
Pure Barre,Denver,CO,3420 West 32nd Avenue,80211,,,,,N/A,No website,,osm
Glenarm Recreation Center,Denver,CO,2800 Glenarm Place,80205,,,,,N/A,No website,,osm
The Gym Uptown,Denver,CO,1900 Grant Street,80203,,,,,N/A,No website,,osm
Downtown Denver YMCA,Denver,CO,25 East 16th Avenue,80202,,,,,N/A,No website,,osm
Bodies By Perseverance Training Gym,Denver,CO,450 East 17th Avenue,80203,,,,,N/A,No website,,osm
Matrix Fitness Spa,Denver,CO,925 Lincoln Street,80203,,,,,N/A,No website,,osm
Awaken Gymnastics Inspired Fitness,Denver,CO,777 Santa Fe Drive,80204,,,,,N/A,No website,,osm
Shape Plus Personal Training,Denver,CO,1140 Yuma Court,80204,,,,,N/A,No website,,osm
O2EA Personal Training,Denver,CO,2575 West 8th Avenue,80204,,,,,N/A,No website,,osm
Shaolin Kung Fu Academy,Denver,,,,,,,,N/A,No website,,osm
CrossFit Jefferson Park,Denver,CO,2441 Eliot Street,80211,,,,,N/A,No website,,osm
Prana Yoga,Denver,CO,3333 Federal Boulevard,80211,,,,,N/A,No website,,osm
Koko Fitclub,Denver,,,,,,,,N/A,No website,,osm
Fitness Zone,Denver,,,,,,,,N/A,No website,,osm
Gymnasium,Denver,,,,,,,,N/A,No website,,osm
Regis Fitness Center,Denver,,,,,,,,N/A,No website,,osm
The Dailey Method,Denver,CO,4342 Tennyson Street,80212,,,,,N/A,No website,,osm
Brooklyn Boulders,Denver,CO,3300 Walnut Street,80205,,,,,N/A,No website,,osm
Fight Gravity Fitness,Denver,CO,3300 Walnut Street,80205,,,,,N/A,No website,,osm
Fitwall,Denver,CO,2795 Speer Boulevard,80211,,,,,N/A,No website,,osm
Gerard’s Pool Hall,Denver,CO,1305 26th Street,80205,,,,,N/A,No website,,osm
Personal Pilates Plus,Denver,CO,3537 West 44th Avenue,80211,,,,,N/A,No website,,osm
CrossFit Vantage,Denver,CO,4272 Lowell Boulevard,80211,,,,,N/A,No website,,osm
Midtowne Spa,Denver,CO,2935 Zuni Street,80211,,,,,N/A,No website,,osm
Colorado Rapids Youth Indoor Soccer,Aurora,CO,111 Havana Street,,,,,,N/A,No website,,osm
Kindness Yoga,Denver,CO,3563 Larimer Street,80205,,,,,N/A,No website,,osm
CycleBar LoHi,Denver,CO,1230 West 38th Avenue,80211,,,,,N/A,No website,,osm
Fierce45 LoHi,Denver,CO,1208 West 38th Avenue,80211,,,,,N/A,No website,,osm
Busy Body LLC,Denver,CO,2570 South Colorado Boulevard,80222,+1-303-782-0800,,,,N/A,No website,,osm
Endorphin - LoHi,Denver,CO,3210 Tejon Street,80211,,,,,N/A,No website,,osm
CrossFit Jai,Denver,CO,1921 Federal Boulevard,80204,,,,,N/A,No website,,osm
FIT36 Denver Highlands,Denver,CO,3774 Julian Street,80211,,,,,N/A,No website,,osm
White Lotus Therapeutics,Denver,CO,2554 Irving Street,80211,,,,,N/A,No website,,osm
Shift Cycle + Fitness,Denver,CO,4045 Pecos Street,80211,,,,,N/A,No website,,osm
iLoveKickboxing,Denver,CO,655 22nd Street,80205,,,,,N/A,No website,,osm
American Paintball Coliseum,Denver,CO,4100 Grape Street,80216,,,,,N/A,No website,,osm
VIVE Float Studio +,Denver,CO,250 Steele Street,80206,+1-303-377-8483,,,,N/A,No website,,osm
Define Body & Mind,Denver,CO,2420 17th Street,80202,,,,,N/A,No website,,osm
Kinetic Training Club,Denver,CO,1610 Little Raven Street,80202,,,,,N/A,No website,,osm
Club Form Denver,Denver,CO,1125 17th Street,80202,,,,,N/A,No website,,osm
Front Range Weightlifting Club,Denver,,,,,,,,N/A,No website,,osm
DeCO Barbell Club,Denver,,,,,,,,N/A,No website,,osm
Fitness Center,Denver,,,,,,,,N/A,No website,,osm
Atherial,Denver,CO,3905 Fox Street,80216,,,,,N/A,No website,,osm
Fly,Denver,CO,1900 17th Street,80202,,,,,N/A,No website,,osm
TruFit Athletic Clubs,Denver,CO,3300 East 1st Avenue,80206,,,,,N/A,No website,,osm
Gymboree,Denver,,,,,,,,N/A,No website,,osm
F45 Training,Denver,,1525 Raleigh Street,,,,,,N/A,No website,,osm
Balance Yoga Barre,Denver,,1525 Raleigh Street,,,,,,N/A,No website,,osm
Block 21 Fitness,Denver,,,,,,,,N/A,No website,,osm
Chuze Fitness,Denver,CO,2253 South Monaco Parkway,80222,+1-720-548-5060,,,,N/A,No website,,osm
Denver Akido,Denver,,1592 South Broadway,,,,,,N/A,No website,,osm
Alchemy 365,Denver,CO,4144 Tennyson Street,80212,,,,,N/A,No website,,osm
Courageous Yoga,Denver,,206 East 13th Avenue,,,,,,N/A,No website,,osm
Whole Body Studios,Denver,,,,,,,,N/A,No website,,osm
