name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Molotov's,San Francisco,,582 Haight Street,,,,,,N/A,No website,,osm
Martuni's,San Francisco,CA,4 Valencia Street,94103,+1-415-241-0205,,,,N/A,No website,,osm
The Green Heron,San Francisco,,1601 Haight Street,94117,,,,,N/A,No website,,osm
Magnolia SF,San Francisco,CA,1398 Haight Street,94117,,,,,N/A,No website,,osm
Mary's,San Francisco,,1437 Haight Street,,,,,,N/A,No website,,osm
Aub Zam Zam,San Francisco,,1633 Haight Street,,,,,,N/A,No website,,osm
Comstock Saloon,San Francisco,,155 Columbus Avenue,,,,,,N/A,No website,,osm
Mr. Bing's,San Francisco,,201 Columbus Avenue,,,,,,N/A,No website,,osm
Irish Times,San Francisco,,500 Sacramento Street,,+1 800 800 8008,,,,N/A,No website,,osm
Old Ship Saloon,San Francisco,,,,,,,,N/A,No website,,osm
The Wooden Nickel,San Francisco,,1900 Folsom Street,,,,,,N/A,No website,,osm
Shotwell's,San Francisco,CA,3349 20th Street,94110,+1-415-648-4104,,,,N/A,No website,,osm
Blue Bottle,San Francisco,,,,,,,,N/A,No website,,osm
Dalva,San Francisco,,3121 16th Street,,,,,,N/A,No website,,osm
John Foley's Dueling Piano Bar,San Francisco,,,,,,,,N/A,No website,,osm
Frankie’s Java House,San Francisco,,,,,,,,N/A,No website,,osm
Caffe Centro,San Francisco,,,,,,,,N/A,No website,,osm
Brickhouse Cafe and Bar,San Francisco,,,,,,,,N/A,No website,,osm
Dupont Thai,San Francisco,,1398 Grant Avenue,,,,,,N/A,No website,,osm
Bocce Cafe,San Francisco,,478 Green Street,,,,,,N/A,No website,,osm
Maykadeh Persian Restaurant,San Francisco,,470 Green Street,,,,,,N/A,No website,,osm
Peet's Coffee,San Francisco,CA,3419 California Street,94118,,,,,N/A,No website,,osm
Osteria Cucina Toscana,San Francisco,,,,,,,,N/A,No website,,osm
Picnix Bistro,San Francisco,,3872 Sacramento Street,94118,,,,,N/A,No website,,osm
Caffé Sport,San Francisco,,574 Green Street,94133,,,,,N/A,No website,,osm
Angel Cafe & Deli,San Francisco,CA,700 Geary Street,,+1 415 931 3467,,,,N/A,No website,,osm
Grumpy's Restaurant Pub,San Francisco,,125 Vallejo Street,,,,,,N/A,No website,,osm
Philz Coffee,San Francisco,,4298 24th Street,,,,,,N/A,No website,,osm
Firefly,San Francisco,,4288 24th Street,,,,,,N/A,No website,,osm
Chloe's Cafe,San Francisco,,1399 Church Street,,,,,,N/A,No website,,osm
Lovejoy's Tea Room,San Francisco,,1351 Church Street,,,,,,N/A,No website,,osm
Cavalli Cafe,San Francisco,,1441 Stockton Street,,,,,,N/A,No website,,osm
Mama's on Washington Square,San Francisco,,1701 Stockton Street,,,,,,N/A,No website,,osm
Specs Bar,San Francisco,,12 Saroyan Place,,,,,,N/A,No website,,osm
Cafe Tosca,San Francisco,,242 Columbus Avenue,,,,,,N/A,No website,,osm
Grant and Green,San Francisco,,1371 Grant Avenue,,,,,,N/A,No website,,osm
The Boardroom,San Francisco,,1609 Powell Street,,,,,,N/A,No website,,osm
Teo Restaurant & Bar,San Francisco,CA,1111 Mission Street,94103,,,,,N/A,No website,,osm
Custom Lounge,San Francisco,,,,,,,,N/A,No website,,osm
Tú Lan,San Francisco,CA,8 6th Street,,,,,,N/A,No website,,osm
Empress of China,San Francisco,,838 Grant Avenue,,,,,,N/A,No website,,osm
Tunnel Top,San Francisco,,601 Bush Street,,,,,,N/A,No website,,osm
Sushi on North Beach - Katsu,San Francisco,,745 Columbus Avenue,,,,,,N/A,No website,,osm
Coi,San Francisco,,373 Broadway,,,,,,N/A,No website,,osm
Mo's Grill,San Francisco,,1322 Grant Avenue,,,,,,N/A,No website,,osm
Washington Square Bar & Grill,San Francisco,,1707 Powell Street,,,,,,N/A,No website,,osm
Bubba Gump Shrimp Company,San Francisco,,,,,,,,N/A,No website,,osm
Osha BBQ,San Francisco,CA,696 Geary Street,,,,,,N/A,No website,,osm
Aces,San Francisco,CA,998 Sutter Street,94109,,,,,N/A,No website,,osm
Happy Donut,San Francisco,,2101 Van Ness Avenue,,,,,,N/A,No website,,osm
Buena Vista,San Francisco,,,,,,,,N/A,No website,,osm
Collina,San Francisco,,1550 Hyde Street,,,,,,N/A,No website,,osm
Tommy's Joynt,San Francisco,,,,,,,,N/A,No website,,osm
The Laundromat SF,San Francisco,,3725 Balboa Street,,,,,,N/A,No website,,osm
Four Barrel Coffee,San Francisco,CA,375 Valencia Street,94103,,,,,N/A,No website,,osm
Little Kitchen,San Francisco,,2401 Polk Street,,+1 4159225526,,,,N/A,No website,,osm
The Royal Oak,San Francisco,,Polk Street,,,,,,N/A,No website,,osm
Shanghai Kelly's,San Francisco,,,,,,,,N/A,No website,,osm
Harper & Rye,San Francisco,,1695 Polk Street,94109,,,,,N/A,No website,,osm
Muddy Waters,San Francisco,,521 Valencia Street,,,,,,N/A,No website,,osm
El Toro,San Francisco,,598 Valencia Street,,,,,,N/A,No website,,osm
Round Table Pizza,San Francisco,,801 Van Ness Avenue,,,,,,N/A,No website,,osm
Pronto Pizza & Espresso,San Francisco,,798 Eddy Street,,+1 4159211999,,,,N/A,No website,,osm
Jarin Thia Cuisine,San Francisco,,,,+1 4155635746,,,,N/A,No website,,osm
Shabu club,San Francisco,,951 Clement Street,,+1 415-752-5265,,,,N/A,No website,,osm
All Stars,San Francisco,,901 Clement Street,,,,,,N/A,No website,,osm
Hamburger Haven,San Francisco,CA,800 Clement Street,94118,,,,,N/A,No website,,osm
Cumaica Coffee,San Francisco,CA,200 Clement Street,94118,,,,,N/A,No website,,osm
Puerto Allegre,San Francisco,CA,546 Valencia Street,,,,,,N/A,No website,,osm
El Farolito,San Francisco,,,,,,,,N/A,No website,,osm
Carlin's Cafe,San Francisco,,298 Valencia Street,,,,,,N/A,No website,,osm
Delirium,San Francisco,,3141 16th Street,,,,,,N/A,No website,,osm
Arepas,San Francisco,CA,3198 16th Street,,,,,,N/A,No website,,osm
Tony's Cable Car,San Francisco,,,,,,,,N/A,No website,,osm
Golden Flower,San Francisco,,667 Jackson Street,,,,,,N/A,No website,,osm
