name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Draft House,Las Vegas,NV,4543 North Rancho Drive,89130-3403,,,,,N/A,No website,,osm
Hash House Restaurant,Las Vegas,,,,,,,,N/A,No website,,osm
Hard Rock Cafe,Las Vegas,,,,,,,,N/A,No website,,osm
Pho So No. 1,Las Vegas,,,,,,,,N/A,No website,,osm
Urban Crawfish Station,Las Vegas,,4821 Spring Mountain Road,,,,,,N/A,No website,,osm
Marakesh,Las Vegas,,,,,,,,N/A,No website,,osm
Musashi,Las Vegas,,,,,,,,N/A,No website,,osm
Satay,Las Vegas,,,,,,,,N/A,No website,,osm
The Chandelier,Las Vegas,,,,,,,,N/A,No website,,osm
Pink's,Las Vegas,,,,,,,,N/A,No website,,osm
Lisa Vanderpump's Cocktail Garden,Las Vegas,,,,,,,,N/A,No website,,osm
Amancer,Las Vegas,,,,,,,,N/A,No website,,osm
Bar + Bistro,Las Vegas,,107 E. Charleston Boulevard,89104,+1 702 3833133,,,,N/A,No website,,osm
Coco's Bakery,Las Vegas,,,,,,,,N/A,No website,,osm
Beauty Bar,Las Vegas,NV,Fremont Street,89101,,,,,N/A,No website,,osm
Uncle Joe's,Las Vegas,,505 Fremont Street,,,,,,N/A,No website,,osm
Kabob Korner,Las Vegas,,507 Fremont Street,,,,,,N/A,No website,,osm
Mob Bar,Las Vegas,,,,,,,,N/A,No website,,osm
Carson Street Café,Las Vegas,,,,,,,,N/A,No website,,osm
Lillie's Asian Cuisine,Las Vegas,,,,,,,,N/A,No website,,osm
Parasol Down,Las Vegas,,,,,,,,N/A,No website,,osm
Rachel's Kitchen,Las Vegas,,,,,,,,N/A,No website,,osm
Wild,Las Vegas,,150 North Las Vegas Boulevard,89101,+1 702-527-7717,,,,N/A,No website,,osm
Wo Fat Chinese Restaurant,Las Vegas,NV,3700 East Desert Inn Road,89121,,,,,N/A,No website,,osm
Aztec Inn Casino,Las Vegas,,,89104,,,,,N/A,No website,,osm
Coyote Ugly,Las Vegas,,,,,,,,N/A,No website,,osm
Golden China,Las Vegas,,,,,,,,N/A,No website,,osm
Dotty's,Las Vegas,,,,,,,,N/A,No website,,osm
The Crack Shack,Las Vegas,,,,,,,,N/A,No website,,osm
Brooklyn Bowl,Las Vegas,,,,,,,,N/A,No website,,osm
Flour & Barley,Las Vegas,,,,,,,,N/A,No website,,osm
American Beer & Cocktails,Las Vegas,,,,,,,,N/A,No website,,osm
Tilted Kilt,Las Vegas,,,,,,,,N/A,No website,,osm
Greenberg's Deli,Las Vegas,,,,,,,,N/A,No website,,osm
Yard House,Las Vegas,,3545 Las Vegas Boulevard South,,+1-702-597-0434,,,,N/A,No website,,osm
Tag Sports Bar,Las Vegas,,,,,,,,N/A,No website,,osm
La La Noodle,Las Vegas,,,,,,,,N/A,No website,,osm
Jimmy John's,Las Vegas,,,,,,,,N/A,No website,,osm
C.D's Sports Lounge,Las Vegas,,,,,,,,N/A,No website,,osm
The Coffee Bean & Tea Leaf,Las Vegas,,,,,,,,N/A,No website,,osm
PBR grill,Las Vegas,,,,,,,,N/A,No website,,osm
Beers and Bets,Las Vegas,,,89109,+1-702-761-7614,,,,N/A,No website,,osm
Palermo's pizza,Las Vegas,,,,,,,,N/A,No website,,osm
Thai Food To Go,Las Vegas,,3242 East Desert Inn Road,89121,+1-702-778-8898,,,,N/A,No website,,osm
mon ami Gabi,Las Vegas,,,,,,,,N/A,No website,,osm
Poker Palace,Las Vegas,,2757 Las Vegas Boulevard North,,,,,,N/A,No website,,osm
Gold mine Bar & Grill,Las Vegas,,,,,,,,N/A,No website,,osm
Gordon Ramsay BurGR,Las Vegas,,,89109,,,,,N/A,No website,,osm
La Salsa,Las Vegas,,,,,,,,N/A,No website,,osm
P.F. Chang's,Las Vegas,,,,,,,,N/A,No website,,osm
Rock IT Mexican Bar,Las Vegas,,,,,,,,N/A,No website,,osm
Earl of Sandwich,Las Vegas,,,,,,,,N/A,No website,,osm
Lobster Me,Las Vegas,,,,,,,,N/A,No website,,osm
Ketchup Premium Burger Bar,Las Vegas,,,,,,,,N/A,No website,,osm
Planet Dailies,Las Vegas,,,,,,,,N/A,No website,,osm
Cafe Belle Madeleine,Las Vegas,,,,,,,,N/A,No website,,osm
JJ's Boulangerie,Las Vegas,,,,,,,,N/A,No website,,osm
Palio,Las Vegas,,,,,,,,N/A,No website,,osm
Le Cirque,Las Vegas,,,,,,,,N/A,No website,,osm
BLT Steakhouse,Las Vegas,,,,,,,,N/A,No website,,osm
Tequila Taqueria,Las Vegas,,,,,,,,N/A,No website,,osm
Indigo Lounge,Las Vegas,,,,,,,,N/A,No website,,osm
Nosh,Las Vegas,,,,,,,,N/A,No website,,osm
Bonanno's New York Pizzeria,Las Vegas,,,,,,,,N/A,No website,,osm
La Subs & Salads,Las Vegas,,,,,,,,N/A,No website,,osm
Bugsy's Deli,Las Vegas,,,,,,,,N/A,No website,,osm
Center Cut Steakhouse,Las Vegas,,,,,,,,N/A,No website,,osm
