name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Lamb's Tire & Auto,Austin,,,,,,,,N/A,No website,"Build a website for Lamb's Tire & Auto, where Austinites can schedule appointments and trust local expertise.",osm
NAPA Auto Parts,Austin,,,,,,,,N/A,No website,Boost local sales and service visibility with a user-friendly website for Austin's NAPA Auto Parts store.,osm
Wholesale Parts Direct,Austin,,400 Industrial Boulevard,78745,,,,,N/A,No website,"Elevate your wholesale business with a modern website, simplifying the parts discovery process for customers.",osm
Budget Lube,Austin,TX,8661 Spicewood Springs Road,78750,+1-512-258-5545,,,,N/A,No website,"Get ahead of the competition in Austin with a simple, effective website for Budget Lube.",osm
Jaime's Used Tires,Austin,,,,,,,,N/A,No website,Help Jaime's Used Tires in Austin turn tires into traffic with a professional online presence.,osm
Discount Tire,Austin,TX,1807 West Slaughter Lane,78748,+1-512-280-8922,,,,N/A,No website,"Let's bring Discount Tire to the digital forefront in Austin, TX with a user-friendly website and online tire solutions.",osm
Shell,Austin,,,,,,,,N/A,No website,Help Shell Austin establish a strong online presence and connect with the local community through a new website.,osm
Goodyear,Austin,,2824 Bee Caves Road,78746,,,,,N/A,No website,Develop a modern website for Goodyear in Austin to showcase services and build customer engagement.,osm
"Auto Glass Solutions, Inc",Austin,TX,9705 Burnet Road,78758,+1-512-241-1211,,,,N/A,No website,"Protect your Austin customers' views with a stunning website that showcases Auto Glass Solutions, Inc's expertise.",osm
Bearden Automative,Austin,,12402 Technology Boulevard,,+1-512-336-7010,,,,N/A,No website,"Give Bearden Automotive a digital showroom to shine, driving customers and sales in Austin.",osm
DSA Auto Body,Austin,TX,1115 West Anderson Lane,78757,+1-512-967-9292,,,,N/A,No website,Transform DSA Auto Body's reputation in Austin with a high-quality website that drives real results.,osm
Brother Window Tint,Austin,TX,11114 North Lamar Boulevard,78753,+1-512-836-8468,,,,N/A,No website,Elevate your Austin reputation with a professional website showcasing your top-notch window tint services.,osm
Cy's Car World,Austin,TX,11116 North Lamar Boulevard,78753,+1-512-837-1818,,,,N/A,No website,"Cy's Car World, let us help you accelerate your sales with a custom website in Austin, Texas.",osm
Covert Ford Service Department,Austin,,,,,,,,N/A,No website,Transform Covert Ford's service department with a website that showcases expertise and drives customer trust.,osm
Rick's Auto Repair,Austin,TX,11108 North Lamar Boulevard,78758,+1-512-674-3328,,,,N/A,No website,Get online with Rick's Auto Repair and rev up your business with a website that drives results.,osm
CustomSounds & Tint,Austin,,,,,,,,N/A,No website,Help Austin's CustomSounds & Tint shine with a stunning website to attract new customers and boost business.,osm
Midas,Austin,,,,,,,,N/A,No website,"Give Midas in Austin a digital storefront to shine, reflecting their exceptional service and commitment to customers.",osm
Texas Tires,Austin,,,,,,,,N/A,No website,"Create a website that rolls out the welcome mat for Texas Tires in Austin, Texas.",osm
Super-B Automotive Repair,Austin,,,,,,,,N/A,No website,Put the pedal to the metal with a website that showcases Super-B's top-notch auto repair services.,osm
Lamb's,Austin,,,,,,,,N/A,No website,Create a modern website that showcases Lamb's unique atmosphere and entices visitors to dine in Austin.,osm
Automotive Services Of Austin,Austin,,,,,,,,N/A,No website,Let us drive your online presence forward - a website for Automotive Services Of Austin.,osm
