name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Chiropractic Health Center,Los Angeles,,,,,,,,N/A,No website,,osm
Be Relax Spa,Los Angeles,,,,,,,,N/A,No website,,osm
LA Chiropractic,Los Angeles,,9225 Venice Boulevard,,+1 562-262-2225,,,,N/A,No website,,osm
Den Mother,Venice,CA,1209 Abbot Kinney Boulevard,90291,,,,,N/A,No website,,osm
Golden Ocean Chinese Foot Massage,West Hollywood,CA,8602A West Sunset Boulevard,90069,+1-310-652-8886,,,,N/A,No website,,osm
Le Fox Massage,West Hollywood,CA,8545 Santa Monica Boulevard,90069,+1-626-657-4772,,,,N/A,No website,,osm
Robust Massage,West Hollywood,CA,8450 Santa Monica Boulevard,90069,+1-323-848-8161,,,,N/A,No website,,osm
Venice Massage,Los Angeles,,,,,,,,N/A,No website,,osm
8155 Health Center,West Hollywood,CA,8155 Santa Monica Boulevard,90046,,,,,N/A,No website,,osm
Vester Chiropractic,West Hollywood,CA,8143 Santa Monica Boulevard,90046,,,,,N/A,No website,,osm
Yuri Ovchinnikov Acupuncture,West Hollywood,CA,8205 Santa Monica Boulevard,90046,,,,,N/A,No website,,osm
Euphoria Massage,West Hollywood,CA,8253 Santa Monica Boulevard,90046,+1-323-822-1100,,,,N/A,No website,,osm
Royal Thai Spa,Los Angeles,CA,1770 Highland Avenue,,+1 323 4611061,,,,N/A,No website,,osm
Overose Spa,Los Angeles,,,,,,,,N/A,No website,,osm
Chinese Massage,Los Angeles,,,,,,,,N/A,No website,,osm
Kiku Therapy,Los Angeles,,10966 West Pico Boulevard,,+1-310-474-8886,,,,N/A,No website,,osm
Pico Massage,Los Angeles,,10887 West Pico Boulevard,,+1-310-474-3838,,,,N/A,No website,,osm
Happy Relax,Los Angeles,,10873 West Pico Boulevard,,+1-310-234-9808,,,,N/A,No website,,osm
Euphoria Massage,Los Angeles,CA,1651 North La Brea Avenue,90028,+1 323 5722200,,,,N/A,No website,,osm
Gambucci Clinic,El Segundo,CA,253 Main Street,90245,,,,,N/A,No website,,osm
Playa Massage,Playa Del Rey,CA,8113 West Manchester Avenue,90293,,,,,N/A,No website,,osm
Dianya Spa,Los Angeles,,4267 Overland Avenue,,,,,,N/A,No website,,osm
Hand & Stone Massage and Facial Spa,Los Angeles,,3815 Overland Avenue,,,,,,N/A,No website,,osm
The Massage Place,Los Angeles,,,,,,,,N/A,No website,,osm
Beverly Hills Hotel Spa,Los Angeles,,,,,,,,N/A,No website,,osm
Flowers Spa,Los Angeles,,,,,,,,N/A,No website,,osm
Massage Envy,Los Angeles,,,,,,,,N/A,No website,,osm
R&R Body Works,Los Angeles,,,,,,,,N/A,No website,,osm
Mali Thai Massage,Los Angeles,,,,,,,,N/A,No website,,osm
Aqua Thai,Los Angeles,,,,,,,,N/A,No website,,osm
The Joint Chiropractic,South Gate,CA,4753 Firestone Boulevard,90280,,,,,N/A,No website,,osm
The Life Center,Los Angeles,,11686 Gateway Boulevard,,,,,,N/A,No website,,osm
Wieng Lakorn Thai Spa,Los Angeles,,,,,,,,N/A,No website,,osm
Thai Massage,Los Angeles,,,,,,,,N/A,No website,,osm
Lavender and Lilac Massage,Los Angeles,,,,,,,,N/A,No website,,osm
Green Health Spa,Los Angeles,,,,,,,,N/A,No website,,osm
Mend Me,Los Angeles,,,,,,,,N/A,No website,,osm
G & C Massage,Los Angeles,,,,,,,,N/A,No website,,osm
Acutonix,Los Angeles,,,,,,,,N/A,No website,,osm
Massage Garage,Los Angeles,,,,,,,,N/A,No website,,osm
VIP Massage,Los Angeles,,,,,,,,N/A,No website,,osm
Zen Reflexology,Los Angeles,,,,,,,,N/A,No website,,osm
Billauer Chiropractic,Los Angeles,,,,,,,,N/A,No website,,osm
The Joint Chiropractic,Los Angeles,,,,,,,,N/A,No website,,osm
Arisu Acupuncture,Los Angeles,,,,,,,,N/A,No website,,osm
Marico Massage,Los Angeles,,4280 Lincoln Boulevard,,,,,,N/A,No website,,osm
Goldfinger Massage,Los Angeles,,,,,,,,N/A,No website,,osm
Raindrop Bodyworks,Los Angeles,,,,,,,,N/A,No website,,osm
Motion Wellness,Los Angeles,,,,,,,,N/A,No website,,osm
Health Land,Los Angeles,,,,,,,,N/A,No website,,osm
OTA Chiropractic and Acupuncture,Los Angeles,,,,,,,,N/A,No website,,osm
MD Foot Massage,Los Angeles,,,,,,,,N/A,No website,,osm
Massage Palacio,Los Angeles,,,,,,,,N/A,No website,,osm
The Mist Spa,Los Angeles,,,,,,,,N/A,No website,,osm
Season Massage,Los Angeles,,,,,,,,N/A,No website,,osm
Body Doc Healing Center,Los Angeles,,,,,,,,N/A,No website,,osm
Silverlake Wellness Spa,Los Angeles,,2650 A Griffith Park Boulevard,90039,+1-323-663-6558,,,,N/A,No website,,osm
Blue Sky,Los Angeles,,,,,,,,N/A,No website,,osm
The Loop Massage,Los Angeles,,,,,,,,N/A,No website,,osm
Nature Acupuncture and Herbs,Los Angeles,,,,,,,,N/A,No website,,osm
Acupuncture Natural Health Center,Los Angeles,,,,,,,,N/A,No website,,osm
Dream Massage,Los Angeles,,,,,,,,N/A,No website,,osm
Wharf Spa,Los Angeles,,,,,,,,N/A,No website,,osm
ON Thai Massage,Los Angeles,,,,,,,,N/A,No website,,osm
Sun Acupressure,Los Angeles,,,,,,,,N/A,No website,,osm
Moon Spa,Los Angeles,,,,,,,,N/A,No website,,osm
Vela Massage Studio,Los Angeles,,2314 Pico Boulevard,,,,,,N/A,No website,,osm
Nuch Beauty & Massage,Thai Town,CA,5134 Hollywood Boulevard,90027,,,,,N/A,No website,,osm
Pink One Spa,Los Angeles,,,,,,,,N/A,No website,,osm
$10 Acupuncture,Little Bangladesh,CA,3717 West 3rd Street,90020,,,,,N/A,No website,,osm
Botánica Guacamu,Little Bangladesh,CA,West 3rd Street,90020,,,,,N/A,No website,,osm
Rainbow Massage,Los Angeles,,,,,,,,N/A,No website,,osm
Just Massage,Los Angeles,,,,,,,,N/A,No website,,osm
Infuse Wellness,Los Angeles,,3306 Pico Boulevard,,,,,,N/A,No website,,osm
Ord Massage,Los Angeles,CA,310 Ord Street,90012,+1 213-935-8462,,,,N/A,No website,,osm
