name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Quiki 10-Minute Oil Change,San Diego,,4242 Camino del Rio North,92108,,,,,N/A,No website,"Quick, convenient, and affordable oil changes in San Diego - book now with Quiki.",osm
"""A"" Street Auto",San Diego,,,,,,,,N/A,No website,"A"" Street Auto in San Diego, establish online presence and reach more customers with a professional website.",osm
Bumper Authority,San Diego,,5803 Mission Gorge Road,92120,,,,,N/A,No website,"Transforming Bumper Authority's online presence, putting San Diego's premier bumper repair in one convenient, easy-to-use website.",osm
Beemer Club,San Diego,,2120 University Avenue,92104,,,,,N/A,No website,"Create a website that showcases Beemer Club's community, events, and passion for BMWs in San Diego.",osm
Discount Tire,San Diego,,3135 Midway Drive,92110,,,,,N/A,No website,Help Discount Tire dominate San Diego's tire market with a website that drives results and saves customers money.,osm
O'Reilly Auto Parts,San Diego,CA,1504 Garnet Avenue,92109,,,,,N/A,No website,"Boost sales, streamline operations, and connect with San Diego customers with a custom-built O'Reilly Auto Parts website.",osm
Kragen Auto Parts,San Diego,,,,,,,,N/A,No website,Help Kragen Auto Parts in San Diego thrive online with a user-friendly website that drives sales and boosts visibility.,osm
Skelley's Garage,San Diego,,,,,,,,N/A,No website,Rev up your online presence with a website that drives traffic and boosts San Diego car owners' trust in Skelley's Garage.,osm
Instant Smog CHeck,San Diego,,,,,,,,N/A,No website,Get instant smog checks in San Diego with our online platform and convenient in-person services.,osm
The Pit Stop,San Diego,,,,,,,,N/A,No website,"Get in drive with a website, The Pit Stop: where locals meet speed and community.",osm
Mission Bay Automotive,San Diego,,,,,,,,N/A,No website,Get your wheels moving online with a website that showcases Mission Bay Automotive's services and expertise.,osm
Carquest,San Diego,,,,,,,,N/A,No website,"Reinvigorate your San Diego store's image with a modern website, elevating customer experience and driving sales.",osm
Express Tire Auto Service Center,San Diego,,,,,,,,N/A,No website,Elevate your San Diego presence with a modern website that puts customers in the driver's seat.,osm
Midas,San Diego,,,,,,,,N/A,No website,"We'll help Midas in San Diego stand out online, bringing shine to their business with a stunning website.",osm
Jiffy Lube,San Diego,,,,,,,,N/A,No website,Get San Diego drivers back on the road with a user-friendly Jiffy Lube website for seamless service scheduling.,osm
Cliff Brown Automotive,San Diego,,,,,,,,N/A,No website,"Create a website for Cliff Brown Automotive to showcase services, build trust, and attract new customers in San Diego.",osm
Ocean Beach Tire Center,San Diego,CA,4893 Newport Avenue,92017,,,,,N/A,No website,Elevate your San Diego presence with a custom website showcasing Ocean Beach Tire Center's expert services.,osm
Performance Team Tires & Wheels,San Diego,,,,,,,,N/A,No website,Transform your San Diego customers' driving experiences with a high-performance website from Performance Team Tires & Wheels.,osm
San Diego Smog & Auto Repair,San Diego,,,,,,,,N/A,No website,Get your San Diego business seen - launch a website to attract new customers and boost trust.,osm
NEX Auto Hobby,San Diego,,,,+1-619-556-7009,,,,N/A,No website,Elevate NEX Auto Hobby's presence in San Diego with a user-friendly website that showcases expertise and builds trust.,osm
Lutz Tire,San Diego,,2853 Market St,,+1-619-234-3535,,,,N/A,No website,"Elevate your brand with a modern website, showcasing Lutz Tire's exceptional service and San Diego expertise nationwide.",osm
Maxoto,San Diego,CA,1869 Cable St,92107,+1-858-848-4959,,,,N/A,No website,Let's build a stunning website that showcases Maxoto's innovative solutions and resonates with San Diego's eco-conscious community.,osm
Eli European Car Repair,San Diego,CA,820 University Avenue,92103,,,,,N/A,No website,"Get back on the road with Eli European Car Repair: expert service, trusted reputation, and a website that reflects it.",osm
Ozzie's Import Auto Repair / AUTO SOUND,San Diego,CA,1871 Sunset Cliffs Boulevard,92107,+1 619 222 5358,,,,N/A,No website,Get ahead of the competition with a website that showcases Ozzie's expertise in auto repair and sound systems.,osm
Car Stereo City,San Diego,CA,7851 Clairemont Mesa Boulevard,92111,,,,,N/A,No website,Help Car Stereo City shine in San Diego with a website that rocks the competition.,osm
Joe's Auto Repair,San Diego,CA,1930 Rosecrans Street,92106,,,,,N/A,No website,Get found online and drive more customers to Joe's Auto Repair with a custom website designed for San Diego.,osm
Dr.Trans,San Diego,,,,,,,,N/A,No website,Transform your medical practice with a website that showcases Dr.Trans's expertise and compassion to San Diego patients.,osm
Midway Auto Repair,San Diego,,,,,,,,N/A,No website,Get online with Midway Auto Repair and showcase exceptional service to San Diego's car owners today.,osm
BimmerSpeed,San Diego,,,,,,,,N/A,No website,BimmerSpeed needs a high-performance website that accelerates their San Diego car maintenance and repair business.,osm
Big O Tires,San Diego,,,,,,,,N/A,No website,"Get online with Big O Tires San Diego, boosting credibility and driving local customers to your doorstep.",osm
Quick Smog,San Diego,,,,,,,,N/A,No website,"Help Quick Smog in San Diego breathe new life into their business with a modern, user-friendly website.",osm
Coastal Auto Repair,San Diego,,,,,,,,N/A,No website,Get seen by San Diego's coastal drivers - a website for Coastal Auto Repair is long overdue.,osm
AMB Auto Glass and Window Tint,San Diego,,,,,,,,N/A,No website,Elevate your San Diego presence with a new website for AMB Auto Glass and Window Tint.,osm
NAPA Auto Parts,San Diego,,,,,,,,N/A,No website,"Rev up your online presence, San Diego, and let NAPA Auto Parts shine with a new website.",osm
MG Mechanic,San Diego,,2139 Newton Avenue,92113,,,,,N/A,No website,Establish a strong online presence for MG Mechanic to attract new customers in San Diego.,osm
Mission Valley Towing,San Diego,CA,3111 Camino del Rio North,92108,+1-858-278-1247,,,,N/A,No website,"Get back on the road with Mission Valley Towing's online presence, building trust and booking ease.",osm
1 Way Auto Clinic,San Diego,,4303 Genesee Avenue,92117,+1-619-297-0189,,,,N/A,No website,Get online and grow your San Diego customer base with a website for 1 Way Auto Clinic.,osm
Lucky Coin Car Wash,San Diego,CA,4768 Clairemont Mesa Boulevard,92117,+1-858-877-3536,,,,N/A,No website,"Help Lucky Coin Car Wash shine online, increasing visibility and attracting more customers in San Diego.",osm
