name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Alnoor Boutique,New York,,,,+1-718-802-1514,,,,N/A,No website,,osm
SVA Campus Store,New York,,207 East 23rd Street,10010,+1-212-592-2900,,,,N/A,No website,,osm
Lululemon,New York,,592 5th Avenue,10036,,,,,N/A,No website,,osm
H&M,New York,,,,,,,,N/A,No website,,osm
Zara,New York,,,,,,,,N/A,No website,,osm
Zales,New York,NY,417 5th Avenue,10016,+1-212-679-3626,,,,N/A,No website,,osm
Buffalo Exchange,New York,,716 Broadway,,,,,,N/A,No website,,osm
Rumble,New York,,,,,,,,N/A,No website,,osm
Bedford Vintage,New York,,,,,,,,N/A,No website,,osm
PacSun,New York,NY,503 Broadway,,,,,,N/A,No website,,osm
Zootique,New York,NY,850 5th Avenue,10065,,,,,N/A,No website,,osm
Tiffany & Company,New York,,37 Wall Street,10005,+12125148015,,,,N/A,No website,,osm
Second Time Around,New York,,,,,,,,N/A,No website,,osm
Screaming Mimi's,New York,,,,,,,,N/A,No website,,osm
Barney's Co-op,New York,,,,,,,,N/A,No website,,osm
Cult Gaia,New York,,,,,,,,N/A,No website,,osm
Grand Central Gifts and Souvenirs,New York,,,,,,,,N/A,No website,,osm
Yankees,New York,,,,,,,,N/A,No website,,osm
Urban Outfitters,New York,,,,,,,,N/A,No website,,osm
Charles Tyrwhitt,New York,,,,,,,,N/A,No website,,osm
JoS. A. Bank,New York,,,,,,,,N/A,No website,,osm
Canada Goose,New York,,,10022,,,,,N/A,No website,,osm
Swarovski,New York,,,,,,,,N/A,No website,,osm
St. John,New York,,,,,,,,N/A,No website,,osm
Versace,New York,NY,647 5th Avenue,10022,,,,,N/A,No website,,osm
Victoria's Secret,New York,,640 5th Avenue,10019,,,,,N/A,No website,,osm
NY Gift Shop,New York,,,,,,,,N/A,No website,,osm
Alex's Jewelry,New York,,30-06 Steinway Street,,+1 718-956-0001,,,,N/A,No website,,osm
One Stop Variety,Brooklyn,NY,1451 Fulton Street,11216,,,,,N/A,No website,,osm
Indochino,New York,,Broad Street,,,,,,N/A,No website,,osm
Green Visitor Center & Gift Shop,New York,,,,,,,,N/A,No website,,osm
Little Eric,New York,,Madison Avenue,,,,,,N/A,No website,,osm
Alter,New York,,140 Franklin Street,11222,+1-718-349-0203,,,,N/A,No website,,osm
World of Flowers,New York,,,,,,,,N/A,No website,,osm
Ariston Florest,New York,,,,,,,,N/A,No website,,osm
Pat Areias Sterling,New York,,966 Madison Avene,10021,+1-212-717-7200,,,,N/A,No website,,osm
Sandro,New York,,986 Madison Avene,10075,+1 212-772-8500,,,,N/A,No website,,osm
Behaviour,New York,,160 9th Avenue,10011,+1 646 559-8414,,,,N/A,No website,,osm
Monica + Andy,New York,NY,410 Columbus Avenue,10024,+1-646-918-7879,,,,N/A,No website,,osm
Greenstones,New York,,454 Columbus Avenue,10024,,,,,N/A,No website,,osm
La Chic,New York,,1714 Church Avenue,11226,,,,,N/A,No website,,osm
Fame Men's Suit Outlet,New York,,2085 86th Street,11214,,,,,N/A,No website,,osm
Women Plus,New York,,1170 Bedford Avenue,11216,,,,,N/A,No website,,osm
Palm Jewelry,New York,,1904 Church Avenue,11226,+1-718-284-7699,,,,N/A,No website,,osm
Sunny's Florist,New York,,102 2nd Avenue,10003,,,,,N/A,No website,,osm
Franklin's Makers,New York,,708 Franklin Avenue,11238,,,,,N/A,No website,,osm
Treasure Chest of Jewelry,New York,,406 Jay Street,11201,,,,,N/A,No website,,osm
Key Food Flower Shop,New York,,,,,,,,N/A,No website,,osm
Rag & Bone,Brooklyn,,160 Court Street,11201,,,,,N/A,No website,,osm
Polo Ralph Lauren,New York,,109 Prince Street,10012,,,,,N/A,No website,,osm
Pandora,New York,,577 Broadway,10012,,,,,N/A,No website,,osm
The Vintage Twin,New York,,597 Broadway,10012,,,,,N/A,No website,,osm
Louis Vuitton,New York,,118 Greene Street,10012,,,,,N/A,No website,,osm
Kate Spade New York,New York,,454 Broome Street,10013,,,,,N/A,No website,,osm
Paracelso,New York,,510 Broome Street,10013,,,,,N/A,No website,,osm
AYR,New York,,199 Lafayette Street,10012,,,,,N/A,No website,,osm
Cotton On,New York,NY,512 Broadway,10012,,,,,N/A,No website,,osm
Lacoste,New York,NY,541 Broadway,10012,,,,,N/A,No website,,osm
Herschel Supply Company,New York,,543 Broadway,10012,,,,,N/A,No website,,osm
J.Crew,New York,,75 Spring Street,10012,+1-332-275-4656,,,,N/A,No website,,osm
MUJI at MoMA,New York,,81 Spring Street,10012,,,,,N/A,No website,,osm
Clever Alice,New York,,4 Prince Street,10012,,,,,N/A,No website,,osm
Velvet by Graham & Spencer,New York,,14 Prince Street,10012,+1-917-388-2703,,,,N/A,No website,,osm
A.P.C. Surplus,New York,,405 Broome Street,10013,,,,,N/A,No website,,osm
Arete Studios,New York,,149 Grand Street,10013,,,,,N/A,No website,,osm
Mundo Fashion,New York,,,,,,,,N/A,No website,,osm
YB's Closet,Brooklyn,NY,2539 Ocean Avenue,11229,,,,,N/A,No website,,osm
