name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Miami International Airport Hotel,Miami,,,,,,,,N/A,No website,,osm
Palmer House,Miami,FL,1119 Collins Avenue,,,,,,N/A,No website,,osm
Residences at Bayside - by Elite City Stays,Miami,,,,,,,,N/A,No website,,osm
River park hotel e suits miami,Miami,,,,,,,,N/A,No website,,osm
Sra. Betty,Miami,,,,,,,,N/A,No website,,osm
Casa del mango,Miami,,West Flagler Street,,,,,,N/A,No website,,osm
Casa d dunier,Miami,,Northwest 42nd Avenue,,,,,,N/A,No website,,osm
Eddy y Nadia,Miami,,,,,,,,N/A,No website,,osm
Anna k y melvin,Miami,,,,,,,,N/A,No website,,osm
The Hall SouthBeach,Miami,,1500 Collins Avenue,33139,,,,,N/A,No website,,osm
New Point,Miami,,,,,,,,N/A,No website,,osm
Design Suites,Miami,,,,,,,,N/A,No website,,osm
FANNYLU,Miami,,,,,,,,N/A,No website,,osm
Hotel Marialy,Miami,,,,,,,,N/A,No website,,osm
Casa de Katiuska,Miami,,36 Frank Pais,62600,+5341994187,,,,N/A,No website,,osm
ex Zubieta,Miami,,,,,,,,N/A,No website,,osm
Kimpton EPIC Hotel,Miami,FL,270 Biscayne Boulevard,33131,,,,,N/A,No website,,osm
Yotel Miami,Miami,,,,,,,,N/A,No website,,osm
Yotelpad Miami,Miami,FL,227 Northeast 2nd Street,33132,,,,,N/A,No website,,osm
Staybridge Suites,Miami,,3651 Northwest 25th Street,33142,,,,,N/A,No website,,osm
Sunny Side Motel,Miami,,,,,,,,N/A,No website,,osm
Onyx Hotel Miami Airport,Miami,,,,,,,,N/A,No website,,osm
MB Playa Hotel and Apartments,Miami Beach,FL,7451 75th Street,33141,+16404441484,,,,N/A,No website,,osm
