name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Ambulatory Care Center (ACC) Pharmacy,Miami,FL,1611 NW 12th Ave,33136,,,,,N/A,No website,,osm
Publix,Miami Beach,FL,6876 Collins Avenue,33141,+1-305-864-7410,,,,N/A,No website,,osm
Navarro's Pharmacy,Miami Beach,FL,631 71st Street,33141,+1-786-259-0496,,,,N/A,No website,,osm
Pharma Plus Drug Store,Miami,FL,619 Southwest 57th Avenue,33144,+1-305-262-3738,,,,N/A,No website,,osm
Navarro,Miami,,,,,,,,N/A,No website,,osm
Pharmag Pharmacy,Miami,FL,6622 Southwest 24th Street,33155,,,,,N/A,No website,,osm
Black & White Pharmacy,Miami,,,,,,,,N/A,No website,,osm
Publix,Miami,,,,,,,,N/A,No website,,osm
Publix,North Miami,FL,12800 Biscayne Boulevard,33181,,,,,N/A,No website,,osm
Euro Pharmacy,Miami,FL,1743 Southwest 1st Street,33135,,,,,N/A,No website,,osm
