name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Van Marcke Plumbing Supply,Tempe,AZ,1444 North Scottsdale Road,85281,,,,,N/A,No website,,osm
Elite Rooter Phoenix,Phoenix,,,,,,,,N/A,No website,,osm
Master Plumbing Corporation,Phoenix,,,,,,,,N/A,No website,,osm
Allegiance Water Services,Phoenix,,,,,,,,N/A,No website,,osm
Aea Plumbing Co,Phoenix,,,,,,,,N/A,No website,,osm
Hughes Supply,Phoenix,,,,,,,,N/A,No website,,osm
Van Marcke Plumbing Supply,Phoenix,,,,,,,,N/A,No website,,osm
R&R Wholesale Plumbing,Phoenix,,,,,,,,N/A,No website,,osm
Emergency Plumbing LLC,Phoenix,,,,,,,,N/A,No website,,osm
Ferguson Plumbing Supply,Phoenix,,,,,,,,N/A,No website,,osm
100% Plumbing,Phoenix,,,,,,,,N/A,No website,,osm
The Plumber Guy,Phoenix,,,,,,,,N/A,No website,,osm
Sound Plumbing,Phoenix,,,,,,,,N/A,No website,,osm
Big G Plumbing,Phoenix,,,,,,,,N/A,No website,,osm
Mountain States Pipe & Supply,Phoenix,,,,,,,,N/A,No website,,osm
Silva Family Plumbing,Peoria,AZ,9780 West Northern Avenue,85345,,,,,N/A,No website,,osm
Anthony's Plumbing,Phoenix,,,,,,,,N/A,No website,,osm
Reece Plumbing,Phoenix,,,,,,,,N/A,No website,,osm
Nu Flow,Phoenix,,,,,,,,N/A,No website,,osm
Wave Supply,Phoenix,,,,,,,,N/A,No website,,osm
Metering Services Inc,Phoenix,,,,,,,,N/A,No website,,osm
High Quality Water,Phoenix,,,,,,,,N/A,No website,,osm
All Aloha Plumbing Phoenix,Phoenix,,,,,,,,N/A,No website,,osm
DC Family Plumbing,Phoenix,,,,,,,,N/A,No website,,osm
Drain Pro LLC,Phoenix,,,,,,,,N/A,No website,,osm
