name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Physical Therapy,New York,,6919 4th Avenue,11209,,,,,N/A,No website,,osm
Ridge Advanced Physical Therapy,New York,,7321 5th Avenue,11209,+1-718-748-0864,,,,N/A,No website,,osm
Windsor Physical Therapy,New York,,1502 8th Avenue,11215,+1-718-768-0002,,,,N/A,No website,,osm
Physical Therapy Center,New York,,67-01 Austin Street,11375,+1 718 896 0377,,,,N/A,No website,,osm
Determination Physical Therapy,New York,,71-60 Yellowstone Boulevard,11375,+1 718 268 2888,,,,N/A,No website,,osm
Theraphysical Care,New York,,371 2nd Avenue,10010,+1-212-420-7280,,,,N/A,No website,,osm
Spear Physical Therapy,New York,,245 East 84th Street,10028,+1-646-841-1414,,,,N/A,No website,,osm
Greenwood Physical Therapy,New York,,63-08 Roosevelt Avenue,11377,,,,,N/A,No website,,osm
Center for Pain & Wellness,New York,,47-02 47th Avenue,11377,+1 718-532-4705,,,,N/A,No website,,osm
Leaps And Bounds,New York,,21-14 Newtown Avenue,11102,+1 718 545 0958,,,,N/A,No website,,osm
Multi-speciality Pain Management,New York,,43-12 45th Street,11105,,,,,N/A,No website,,osm
LIC Physical Therapy,Long Island City,NY,10-43 48th Avenue,11101,,,,,N/A,No website,,osm
Dynamic Physical Therapy,New York,,8 Bay 35th Street,,,,,,N/A,No website,,osm
Chiropractor Office,New York,,1112 White Plains Road,,,,,,N/A,No website,,osm
Cypress Medical PC: Cocioba Smaranda MD,New York,,16-84 Woodbine Street,,+1-718-497-8117,,,,N/A,No website,,osm
Medical Rehab Center,New York,,37-19 108th Street,,,,,,N/A,No website,,osm
Motion Physical Therapy,New York,,567 92nd Street,,,,,,N/A,No website,,osm
Woodbine Medical,New York,,714 Seneca Avenue,,+1-718-418-5320,,,,N/A,No website,,osm
Renew Physical Therapy,New York,,,,+1-212-213-5660,,,,N/A,No website,,osm
Ivy Rehab Physical Therapy,New York,,,,,,,,N/A,No website,,osm
SportsCare Physical Therapy,New York,,,,,,,,N/A,No website,,osm
