name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Frys Pharmacy,Phoenix,AZ,3246 East Bell Road,85032,,,,,N/A,No website,,osm
Fry's Pharmacy,Glendale,AZ,5771 West Thunderbird Road,85306,,,,,N/A,No website,,osm
Bashas' Pharmacy,Phoenix,,,,,,,,N/A,No website,,osm
Fry's Pharmacy,Phoenix,AZ,,85033,,,,,N/A,No website,,osm
UCB Pharma,Phoenix,,,,,,,,N/A,No website,,osm
Care Pharmacy,Phoenix,,,,,,,,N/A,No website,,osm
InDispense,Phoenix,AZ,4343 East Outlier Boulevard,85008,,,,,N/A,No website,,osm
Cigna Medical Group,Phoenix,,,,,,,,N/A,No website,,osm
Gen Rx,Phoenix,,,,,,,,N/A,No website,,osm
Curaleaf Camelback,Phoenix,,,85014,,,,,N/A,No website,,osm
On The Go Pharmacy,Phoenix,,,,,,,,N/A,No website,,osm
Sonoran Drugs,Phoenix,,,,,,,,N/A,No website,,osm
Genoa Healthcare Pharmacy,Tolleson,AZ,824 North 99th Avenue,85353,,,,,N/A,No website,,osm
Fry's Pharmacy,Avondale,AZ,10675 West Indian School Road,85392,,,,,N/A,No website,,osm
ValleyMed Pharmacy,Phoenix,,,,,,,,N/A,No website,,osm
Banner Family Pharmacy,Phoenix,AZ,9201 West Thomas Road,85037,,,,,N/A,No website,,osm
Banner Family Pharmacy,Glendale,AZ,5555 West Thunderbird Road,85306,,,,,N/A,No website,,osm
Banner Family Pharmacy,Sun City,AZ,10401 West Thunderbird Boulevard,85351,,,,,N/A,No website,,osm
Petnet Pharmaceuticals,Phoenix,,,,,,,,N/A,No website,,osm
Soleo Health Phoenix,Phoenix,,,,,,,,N/A,No website,,osm
Apotheco Pharmacy,Phoenix,,,,,,,,N/A,No website,,osm
Safeway Pharmacy Counter,Phoenix,,,,,,,,N/A,No website,,osm
