name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Diamond Braces,New York,,31-65 Steinway Street,,,,,,N/A,No website,,osm
8th Avenue Dental Associates,New York,,315 8th Avenue,10001,,,,,N/A,No website,,osm
M&G Dental Center,New York,,,,+1-718-832-1194,,,,N/A,No website,,osm
Flatbush Dental & Eye Care,New York,,690 Flatbush Avenue,11226,+1-718-693-8200,,,,N/A,No website,,osm
Dental Office,New York,,258 Duffield Street,11201,+1-718-587-5785,,,,N/A,No website,,osm
Willoughby Dental,New York,,,,+1-718-237-7888,,,,N/A,No website,,osm
Park Slope Family Dentistry,Brooklyn,NY,245 5th Avenue,11215,+1 718 789 5700,,,,N/A,No website,,osm
Venus Dental Lab,Brooklyn,NY,528 3rd Avenue,11215,+1-718-965-4549,,,,N/A,No website,,osm
Brooklyn Smile,New York,,,,+1-718-745-3456,,,,N/A,No website,,osm
Bay Ridge Orthodontics,New York,,,,+1-718-238-1615,,,,N/A,No website,,osm
Today's Dental,New York,,8324 5th Avenue,11209,+1-718-748-8588,,,,N/A,No website,,osm
Windsor Dentistry,New York,,1663 10th Avenue,11215,+1-718-768-7870,,,,N/A,No website,,osm
Blustin Vladimir,Brooklyn,NY,1916 Avenue K,11230,+1-718-692-0729,,,,N/A,No website,,osm
Midwod Dental Center,New York,,,,+1-718-252-9222,,,,N/A,No website,,osm
Dr. A. Lebovitz,New York,,1490 Ocean Avenue,11230,+1-718-859-6006,,,,N/A,No website,,osm
J.E. Fayette DDS,New York,,456 Schenectady Avenue,11203,+1-718-953-7639,,,,N/A,No website,,osm
Debtech Dental Lab,New York,,2128 Caton Avenue,11226,+1-718-708-4316,,,,N/A,No website,,osm
Tribeca Dental Associates,New York,,335 Greene Avenue,11216,+1-718-623-0893,,,,N/A,No website,,osm
"Gary L. Thomas, DDS",Brooklyn,NY,304 DeKalb Avenue,11205,+1-718-230-0203,,,,N/A,No website,,osm
Prospect Heights Dental Associates,New York,,270 Flatbush Avenue,11217,+1 718 622 5144,,,,N/A,No website,,osm
Washington Sterling Dental,New York,,743 Washington Avenue,11238,+1-718-638-6002,,,,N/A,No website,,osm
Livingston Dental Care,New York,,59 Flatbush Avenue,11217,+1-718-722-7700,,,,N/A,No website,,osm
