name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Chicago Apartment Finder,Chicago,,,,,,,,N/A,No website,,osm
The Apartment People,Chicago,,,,,,,,N/A,No website,,osm
MDA Chicago City Apartments,Chicago,,,,,,,,N/A,No website,,osm
Chicagoland Realty Services,Chicago,,,,,,,,N/A,No website,,osm
Lydia Home Association,Chicago,IL,4839 West Irving Park Road,60641,,,,,N/A,No website,,osm
Chase Property LLC,Chicago,,,,,,,,N/A,No website,,osm
Astoria Property Management,Chicago,,,,,,,,N/A,No website,,osm
Wilson Yard Apartments,Chicago,IL,1026 West Montrose Avenue,60613,,,,,N/A,No website,,osm
Berkshire Hathaway HomeServices,Chicago,IL,1644 North Damen Avenue,60647,,,,,N/A,No website,,osm
Washington Park Development Group,Chicago,IL,10 East Garfield Boulevard,60609,,,,,N/A,No website,,osm
Cedar Realty,Chicago,IL,1405 West Diversey Parkway,60614,,,,,N/A,No website,,osm
JERE,Chicago,,,,,,,,N/A,No website,,osm
C. Gallucci Realty,Chicago,IL,1355 West Taylor Street,60607,,,,,N/A,No website,,osm
Ask Nagel Realty,Chicago,,,,,,,,N/A,No website,,osm
@properties North Center,Chicago,,,,,,,,N/A,No website,,osm
Val Realty & Management Company,Chicago,IL,2218 North Geneva Terrace,60614,+1 773 883 5151,,,,N/A,No website,,osm
Weichart Realtors,Chicago,,,,,,,,N/A,No website,,osm
Coldwell Banker,Chicago,IL,1314 East 47th Street,60653,,,,,N/A,No website,,osm
FairGreen Real Estate,Chicago,IL,3902 North Sheridan Road,60613,+1 773-904-8256,,,,N/A,No website,,osm
Anthony G. Loukas,Chicago,IL,3916 North Sheridan Road,60613,+1 312-938-1500,,,,N/A,No website,,osm
Irpino Real Estate,Chicago,,,,,,,,N/A,No website,,osm
Meliora Real Estate Group,Chicago,IL,1007 East 53rd Street,60615,,,,,N/A,No website,,osm
Fulton Grace Realty,Chicago,IL,4141 North Lincoln Avenue,60618,,,,,N/A,No website,,osm
RE/MAX,Chicago,IL,2429 North Clark Street,60614,,,,,N/A,No website,,osm
Realty of Chicago,Chicago,,,,,,,,N/A,No website,,osm
LARICY - A Division of Americorp Ltd.,Chicago,,375 West Erie Street,,,,,,N/A,No website,,osm
Touchstone Group,Chicago,,,,,,,,N/A,No website,,osm
NCG,Chicago,,,,,,,,N/A,No website,,osm
Dumas & Associates Realty,Chicago,,2519 North California Avenue,,,,,,N/A,No website,,osm
Chicago Apartment Place Inc,Chicago,IL,3654 North Lincoln Avenue,60613,,,,,N/A,No website,,osm
"Tiamar Real Estate, Inc",Chicago,,,,,,,,N/A,No website,,osm
Redfin,Chicago,IL,112 South Sangamon Street,60607,,,,,N/A,No website,,osm
Cadence Realty,Chicago,IL,4245 North Lincoln Avenue,60618,,,,,N/A,No website,,osm
East Superior Real Estate Partners,Chicago,IL,4237 North Lincoln Avenue,60618,,,,,N/A,No website,,osm
Compass,Chicago,IL,2044 West Roscoe Street,60618,,,,,N/A,No website,,osm
The Wilcox Company,Chicago,IL,2157-2159 West Irving Park Road,60618,,,,,N/A,No website,,osm
Century 21,Chicago,IL,7300 North Western Avenue,60645,,,,,N/A,No website,,osm
@ Properties Christie’s International Real Estate,Chicago,IL,2241 West Howard Street,60645,,,,,N/A,No website,,osm
"ENCORE RECEIVABLE MANAGEMENT, INC.",Chicago,IL,114-90  AVENUE CARRERA 45,10004,,,,,N/A,No website,,citydata-chicago
MAGIC SCISSORS BEAUTY SALON,Chicago,IL,2816 N LARAMIE AVE 1,60641,,,,,N/A,No website,,citydata-chicago
LUIGI'S PIZZA,Chicago,IL,4212 W MADISON ST,60624,,,,,N/A,No website,,citydata-chicago
GOURMET GORILLA,Chicago,IL,1200 W CERMAK RD 1 & 2 S 2,60608,,,,,N/A,No website,,citydata-chicago
CANTEEN @ RUSH ADMIN OFFICE,Chicago,IL,2150 W HARRISON ST,60612,,,,,N/A,No website,,citydata-chicago
CANTEEN @ RUSH TOB BLDG 2ND FLOOR MKT,Chicago,IL,1700 W VAN BUREN ST 2,60612,,,,,N/A,No website,,citydata-chicago
CANTEEN @ WEWORK 515 N STATE ST,Chicago,IL,515 N STATE ST,60654,,,,,N/A,No website,,citydata-chicago
Levata US LLC,Chicago,IL,200 W MONROE ST 23RD 2300,60606,,,,,N/A,No website,,citydata-chicago
DULCERIA VELASCO,Chicago,IL,2731 W 59TH ST 1ST,60629,,,,,N/A,No website,,citydata-chicago
82 KIMBAP,Chicago,IL,800 S WELLS ST APT 1350,60607,,,,,N/A,No website,,citydata-chicago
FIRST TEMPORARY,Chicago,IL,55 E JACKSON BLVD 21ST 2150,60604,,,,,N/A,No website,,citydata-chicago
TACTICIANS,Chicago,IL,5027 N HARLEM AVE 1ST,60656,,,,,N/A,No website,,citydata-chicago
CANTEEN @ WEWORK 1 SOUTH DEARBORN,Chicago,IL,1 S DEARBORN ST 20,60603,,,,,N/A,No website,,citydata-chicago
CANTEEN @ WEWORK 330 NORTH WABASH AVE,Chicago,IL,330 N WABASH AVE,60611,,,,,N/A,No website,,citydata-chicago
