name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Crum Field House,Houston,,,,,,,,N/A,No website,,osm
Bikram Yoga Meyerland Plaza,Houston,TX,410,77096,,,,,N/A,No website,,osm
YogaOne,Houston,,,,,,,,N/A,No website,,osm
Babu Fitness,Houston,,5401 Memorial Drive,,,,,,N/A,No website,,osm
Bear Loebe's Karate,Houston,,,,,,,,N/A,No website,,osm
Go Kart Raceway,Houston,,,,,,,,N/A,No website,,osm
Go Kart City,Houston,,,,,,,,N/A,No website,,osm
Aerobifit Fitness,Houston,TX,14090 Memorial Drive,77079,,,,,N/A,No website,,osm
The Little Gym,Houston,TX,14090 Memorial Drive,77079,,,,,N/A,No website,,osm
Revolution Studio,Houston,,,,,,,,N/A,No website,,osm
SoulCycle,Houston,,,,,,,,N/A,No website,,osm
Citizen Pilates,Houston,TX,3217 Houston Avenue,77009,,,,,N/A,No website,,osm
Defy Pilates,Houston,TX,3620 Katy Freeway,77007,,,,,N/A,No website,,osm
Kim Barbell,Houston,TX,551 North Shepherd Drive,,,,,,N/A,No website,,osm
The Exercise Coach,Houston,,5885 San Felipe Street,,,,,,N/A,No website,,osm
Hanks Gym,Houston,TX,5320 Elm Street,77081,,,,,N/A,No website,,osm
Re/Forme Lagree Fitness,Houston,TX,1737 West 34th Street,,,,,,N/A,No website,,osm
Orangetheory Fitness,Houston,TX,3004 Yale Street,77018,+1 832-930-9941,,,,N/A,No website,,osm
Loveland Yoga,Houston,TX,1717 West 34th Street,,,,,,N/A,No website,,osm
Plex,Houston,,,,,,,,N/A,No website,,osm
DEFINE body & mind,Houston,,5781 San Felipe Street,,,,,,N/A,No website,,osm
Body Rock Pilates,Houston,TX,3460 Ella Boulevard,,,,,,N/A,No website,,osm
UFC Gym,Houston,,,,,,,,N/A,No website,,osm
BATL,Houston,,,,,,,,N/A,No website,,osm
F45 Training,Houston,TX,2009 West 34th Street,,,,,,N/A,No website,,osm
Pure Barre,Houston,TX,1948a West Gray Street,,,,,,N/A,No website,,osm
The Gym HTX,Houston,TX,1950 West Gray Street,,,,,,N/A,No website,,osm
Pachanga Billar,Houston,TX,5143 Antoine Drive,,,,,,N/A,No website,,osm
Black Swan Yoga,Houston,,,,,,,,N/A,No website,,osm
Hempstead Fit Club,Houston,TX,11210 Hempstead Road,,,,,,N/A,No website,,osm
Mayweather Boxing+ Fitness,Houston,TX,600 North Shepherd Drive,,,,,,N/A,No website,,osm
Soul Tribes Yoga,Houston,,,,,,,,N/A,No website,,osm
Plank To Pike Pilates,Houston,TX,250 West 20th Street,,,,,,N/A,No website,,osm
Fyre Fitness,Houston,,,,,,,,N/A,No website,,osm
Fitness Connection,Houston,,,,,,,,N/A,No website,,osm
YogaSix,Houston,,,,,,,,N/A,No website,,osm
Barry's,Houston,,,,,,,,N/A,No website,,osm
The Decoy,Houston,,,,,,,,N/A,No website,,osm
SBMSA Fields,Houston,,,,,,,,N/A,No website,,osm
The Beach Club,Houston,,,,,,,,N/A,No website,,osm
Village Fitness,Houston,,2369 Rice Boulevard,,,,,,N/A,No website,,osm
Rumble Boxing,Houston,,,,,,,,N/A,No website,,osm
Biassi Pilates,Houston,,,,,,,,N/A,No website,,osm
Girl Glow Fitness,Houston,,,,,,,,N/A,No website,,osm
Fit N Fine Women's Fitness,Houston,,,,,,,,N/A,No website,,osm
Charlo Boxing and Fitness Club,Houston,,,,,,,,N/A,No website,,osm
The Well,Houston,,,,,,,,N/A,No website,,osm
Momentum Indoor Climbing - Silver Street,Houston,TX,1401 Silver Street,77007,,,,,N/A,No website,,osm
