name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Arbor Animal Clinic,Austin,,,,,,,,N/A,No website,,osm
Veterinary Surgical Solutions,Austin,,,,,,,,N/A,No website,,osm
Thrive Pet Healthcare,Austin,,2795 East 7th Street,78702,,,,,N/A,No website,,osm
Animal Hospital,Austin,,,,,,,,N/A,No website,,osm
Manchaca Road Animal Hospital,Austin,TX,5720 Manchaca Road,78745,,,,,N/A,No website,,osm
Banfield Pet Hospital,Austin,TX,11150 Research Boulevard,78759,,,,,N/A,No website,,osm
VCA Arbor Animal Hospital,Austin,,,,,,,,N/A,No website,,osm
Companion Animal Clinic,Austin,,,,,,,,N/A,No website,,osm
Barton Creek Animal Clinic,Austin,,,,,,,,N/A,No website,,osm
Southwest Vet,Austin,,,,,,,,N/A,No website,,osm
Brodie Animal Hospital,Austin,TX,3421 West William Cannon Drive,78745,,,,,N/A,No website,,osm
PAZ Veterinary East,Austin,,,,,,,,N/A,No website,,osm
Modern Animal Veterinary Care,Austin,,,,,,,,N/A,No website,,osm
Eye Care for Animals,Austin,TX,12419 Metric Boulevard,78758,+1-512-522-6920,,,,N/A,No website,,osm
