name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Morrison-Bell Track Stadium,Dallas,,,,,,,,N/A,No website,,osm
First Baptist Athletic Complex,Dallas,,,,,,,,N/A,No website,,osm
Athletics Complex,Dallas,,,,,,,,N/A,No website,,osm
The Pilates Barre,Dallas,,,,,,,,N/A,No website,,osm
Fitness Together,Dallas,,,,,,,,N/A,No website,,osm
Vivero Boxing Gym,Dallas,,2107 Balboa Drive,,+1 214-941-4343,,,,N/A,No website,,osm
Orange Fitness,Dallas,,,,,,,,N/A,No website,,osm
Spoon Barbell Club,Dallas,,,,,,,,N/A,No website,,osm
Lake Highlands Track and B field,Dallas,,,,,,,,N/A,No website,,osm
Ginsburg Natatorium,Dallas,,,,,,,,N/A,No website,,osm
Phillips Gymnasium,Dallas,,,,,,,,N/A,No website,,osm
Cox Gymnasium,Dallas,,,,,,,,N/A,No website,,osm
CrossFit Lake Highlands,Dallas,,,,,,,,N/A,No website,,osm
Orangetheory Fitness,Dallas,TX,7949 Walnut Hill Lane,75230,+1 469-729-5866,,,,N/A,No website,,osm
Studio 6 Fitness,Dallas,,,,,,,,N/A,No website,,osm
Mustang Cheer,Dallas,,,,,,,,N/A,No website,,osm
Berkner Natatorium,Dallas,,,,,,,,N/A,No website,,osm
Berkner Athletic Complex,Dallas,,,,,,,,N/A,No website,,osm
Stumpy's Hatchet House,Dallas,,,,,,,,N/A,No website,,osm
Corado Fitness,Dallas,,,,,,,,N/A,No website,,osm
Retro Fitness,Richardson,TX,1301 East Belt Line Road,75081,,,,,N/A,No website,,osm
Fitness Connection,Dallas,,,,,,,,N/A,No website,,osm
Janjira Muay thai,Dallas,,1602 South Interstate 35E,75006,+1-214-299-1181,,,,N/A,No website,,osm
fit180,Dallas,,,,,,,,N/A,No website,,osm
Bodybar Pilates,Dallas,,,,,,,,N/A,No website,,osm
CorePower Yoga,Dallas,,,,,,,,N/A,No website,,osm
CycleBar,Dallas,,,,,,,,N/A,No website,,osm
BODY20,Dallas,,,,,,,,N/A,No website,,osm
Solidcore,Dallas,,,,,,,,N/A,No website,,osm
Yoga Six,Dallas,,,,,,,,N/A,No website,,osm
Pure Barre,Dallas,,,,,,,,N/A,No website,,osm
EōS Fitness,Dallas,,8040 Ferguson Road,,,,,,N/A,No website,,osm
Fitness Connection,Irving,TX,,,,,,,N/A,No website,,osm
Life Time,Dallas,,,,,,,,N/A,No website,,osm
