name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Spaghetti Warehouse,Tampa,,,,,,,,N/A,No website,,osm
Jackson's Bistro,Tampa,,,,,,,,N/A,No website,,osm
Cafe Hey,Tampa,,,,,,,,N/A,No website,,osm
El Puerto Argentinean Grill,Tampa,,,,,,,,N/A,No website,,osm
Planet Smoothie,Tampa,,11852 Bruce B Downs Blvd,,,,,,N/A,No website,,osm
Rick's on the River,Tampa,FL,2305 North Willow Avenue,33607,,,,,N/A,No website,,osm
Spain Restaurant & Toma Bar,Tampa,FL,513 North Tampa Street,33602,+1 813-223-2831,,,,N/A,No website,,osm
Carrabba's Italian Grill,Tampa,,,,,,,,N/A,No website,,osm
Timpano Italian Chop House,Tampa,FL,W Swann Av Prkg,33606,,,,,N/A,No website,,osm
Saint Barts Island House,Tampa,,,,,,,,N/A,No website,,osm
Green Iguana Bar & Grill,Tampa,,,,,,,,N/A,No website,,osm
Blimpie,Tampa,,,,,,,,N/A,No website,,osm
Acropolis,Tampa,,,,,,,,N/A,No website,,osm
Mr. Dunderbak's,Tampa,,,,,,,,N/A,No website,,osm
The Grass Root,Tampa,FL,N Florida Ave,33602,,,,,N/A,No website,,osm
Tony's Ybor Restaurant,Tampa,,,,,,,,N/A,No website,,osm
Abella's Sandwich Shop,Tampa,,,,,,,,N/A,No website,,osm
El Paraiso Cafe,Tampa,,,,,,,,N/A,No website,,osm
Oasis,Tampa,,,,,,,,N/A,No website,,osm
Church's Chicken,Tampa,FL,,33619,,,,,N/A,No website,,osm
Chicken House Cafe,Tampa,,,,,,,,N/A,No website,,osm
Rocky's Bar and Grill,Tampa,,,,,,,,N/A,No website,,osm
Glory Days,Tampa,FL,,33618,,,,,N/A,No website,,osm
Mitchell's Fish Market,Tampa,,,,,,,,N/A,No website,,osm
Maggiano's,Tampa,,,,,,,,N/A,No website,,osm
P.F. Chang's,Tampa,FL,North Occident Street,33609,,,,,N/A,No website,,osm
Salems Gyros & Subs,Tampa,,,,,,,,N/A,No website,,osm
Landers Steakhouse,Tampa,,,,,,,,N/A,No website,,osm
Casa Mexicana,Tampa,,,,,,,,N/A,No website,,osm
Pipo's Cuban Cafe,Tampa,,9939 4th St N,,,,,,N/A,No website,,osm
Jason's Deli,Tampa,,,,,,,,N/A,No website,,osm
Wood-fired Pizza,Tampa,,,,,,,,N/A,No website,,osm
Mellow Mushroom,Tampa,FL,11955 Sheldon Road,33635,,,,,N/A,No website,,osm
Bella Pizza,Tampa,,,,,,,,N/A,No website,,osm
Lenny's Sub Shop,Tampa,,,,,,,,N/A,No website,,osm
D-Lite's Ice Cream,Tampa,,,,,,,,N/A,No website,,osm
Petra,Tampa,,,,,,,,N/A,No website,,osm
Bagels Plus,Tampa,FL,East Fletcher Avenue,33613,,,,,N/A,No website,,osm
Picadilly,Tampa,,,,,,,,N/A,No website,,osm
Bruno's Pizza Pie,Tampa,FL,2301 E Fletcher Ave,33612,,,,,N/A,No website,,osm
Noodle N' Thai,Tampa,,,,,,,,N/A,No website,,osm
Tacos Monterrey,Tampa,,,,,,,,N/A,No website,,osm
Advance America Cash Advance,Tampa,FL,E Fletcher Ave,33612,,,,,N/A,No website,,osm
Kaleisia Tea Lounge,Tampa,,,,,,,,N/A,No website,,osm
Legends Sports Bar Grill & Hookah,Tampa,FL,1339 E Fletcher Ave,33612,,,,,N/A,No website,,osm
Chopstix Dim Sum & Seafood,Tampa,FL,1441 E Fletcher Ave,33612,,,,,N/A,No website,,osm
Morae's Cafe,Tampa,FL,1441 E Fletcher Ave,33612,,,,,N/A,No website,,osm
Kursat Mediterranean Grill-Market,Tampa,FL,1402 E Fletcher Ave,33612,,,,,N/A,No website,,osm
ChickEElicious Latin American Restaurant,Tampa,FL,1402 E Fletcher Ave,33612,,,,,N/A,No website,,osm
El Rey de Oros,Tampa,FL,2002 E Fletcher Ave,33612,,,,,N/A,No website,,osm
Jerk Pit,Tampa,,,,,,,,N/A,No website,,osm
Super Saver,Tampa,FL,E Fletcher Ave,33612,,,,,N/A,No website,,osm
Seafood Select Market & Restaurant,Tampa,,,,,,,,N/A,No website,,osm
El Pueblo Chico,Tampa,FL,1908 E Fletcher Ave,33612,,,,,N/A,No website,,osm
Sushi Shabu Shabu,Tampa,FL,1441 E Fletcher Ave,33612,,,,,N/A,No website,,osm
Bull's House Sports Bar & Grill,Tampa,FL,1515 E Fletcher Ave,33612,,,,,N/A,No website,,osm
No Spoon Pizzeria,Tampa,FL,1515 E Fletcher Ave,33612,,,,,N/A,No website,,osm
Loving Hut,Tampa,FL,1905 E Fletcher Ave,33612,,,,,N/A,No website,,osm
Asian Wok,Tampa,,,,,,,,N/A,No website,,osm
Tokyo Sushi Bar,Tampa,,,,,,,,N/A,No website,,osm
Boston Market,Tampa,,,,,,,,N/A,No website,,osm
Gladstone's Grilled Chicken,Tampa,,5203 East Fowler Avenue,,,,,,N/A,No website,,osm
Pita's Republic,Tampa,,,,,,,,N/A,No website,,osm
China Star Tampa,Tampa,,,,,,,,N/A,No website,,osm
Smoothie Plus,Tampa,,,,,,,,N/A,No website,,osm
RJ Wings 'n' Things Family Sports Pub,Tampa,,,,,,,,N/A,No website,,osm
Greek Unique,Tampa,,,,,,,,N/A,No website,,osm
Whistle Junction,Tampa,,,,,,,,N/A,No website,,osm
Tijuana Flats,Tampa,,,,,,,,N/A,No website,,osm
Ichiban Japanese Cuisine,Tampa,,,,,,,,N/A,No website,,osm
Pho Quyen Vietnamese Cuisine,Tampa,,,,,,,,N/A,No website,,osm
Byblos Pitas,Tampa,,,,,,,,N/A,No website,,osm
Boba,Tampa,,,,,,,,N/A,No website,,osm
Gumby's Pizza,Tampa,,,,,,,,N/A,No website,,osm
Evo's Fast Food,Tampa,,,,,,,,N/A,No website,,osm
