name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Coast Dental,Tampa,,,,,,,,N/A,No website,,osm
Casanova and Imhoff,Tampa,,,,,,,,N/A,No website,,osm
Dental Office,Tampa,,,,,,,,N/A,No website,,osm
Advanced Dental Care,Tampa,,,,,,,,N/A,No website,,osm
Coast Dental,Saint Petersburg,FL,11018 4th St N,33716,,,,,N/A,No website,,osm
Great Expressions,Tampa,,15148 Dale Mabry Highway,,,,,,N/A,No website,,osm
Dentists At Westchase,Tampa,FL,10431 Sheldon Road,33625,,,,,N/A,No website,,osm
Western Dental,Tampa,FL,6921 Pistol Range Road,33635,,,,,N/A,No website,,osm
Aspen Dental,Tampa,,,,,,,,N/A,No website,,osm
Rex Dental,Tampa,,,,,,,,N/A,No website,,osm
Westchase Smiles Institute - Implants & General Dentistry,Tampa,FL,9914 West Linebaugh Avenue,33626,,,,,N/A,No website,,osm
