name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Carmine F. Vicino,San Francisco,CA,2281 Chestnut Street,,,,,,N/A,No website,,osm
Serenity Dental Spa,San Francisco,CA,345 California Street,94111,,,,,N/A,No website,,osm
Frank Wong DDS,San Francisco,,,,,,,,N/A,No website,,osm
Aesthetic Dentistry of Noe Valley,San Francisco,,,,,,,,N/A,No website,,osm
Dentist office,San Francisco,CA,1650 Jones Street,94109,,,,,N/A,No website,,osm
Marina / Pacific Heights Dental Care,San Francisco,,3309 Fillmore Street,,,,,,N/A,No website,,osm
Noe Valley Smiles and Braces,San Francisco,,3932 24th Street,,,,,,N/A,No website,,osm
Noe Valley Family & Cosmetic Dentistry,San Francisco,,1508 Church Street,,,,,,N/A,No website,,osm
"Dr. E. F. Savio, Dr. C. I. Skelley, Dr. Ted Savio, Dentistry",San Francisco,,1712 Church Street,,,,,,N/A,No website,,osm
Jersey N. Peck,San Francisco,CA,362 West Portal Avenue,94127,,,,,N/A,No website,,osm
Warren Orthodontics,San Francisco,CA,15 West Portal Avenue,94127,,,,,N/A,No website,,osm
West Portal Family Dentistry,San Francisco,CA,26 West Portal Avenue,94127,,,,,N/A,No website,,osm
Pro Dental Care,San Francisco,CA,601 Portola Drive,94127,,,,,N/A,No website,,osm
Van Ness Family Dentist,San Francisco,CA,1336 Van Ness Avenue,94109,,,,,N/A,No website,,osm
West Portal Oral Surgery,San Francisco,CA,99 West Portal Avenue,94127,,,,,N/A,No website,,osm
West Portal Dental Care,San Francisco,CA,48 Vicente Street,94127,,,,,N/A,No website,,osm
West Portal Dental Building,San Francisco,CA,156 West Portal Avenue,94127,,,,,N/A,No website,,osm
John Y C Tang DDS,San Francisco,CA,335 Taraval Street,94116,,,,,N/A,No website,,osm
"Edward Siyahanian, DDS",San Francisco,CA,2386 15th Avenue,94116,,,,,N/A,No website,,osm
West Portal Dental Group,San Francisco,CA,790 Ulloa Street,94127,,,,,N/A,No website,,osm
Better Living Through Dentistry,San Francisco,CA,1317 9th Avenue,94122,,,,,N/A,No website,,osm
Avenue Dental,San Francisco,CA,926 Irving Street,94122,+1 415-564-9888,,,,N/A,No website,,osm
"Earl A. Capuli, DDS",San Francisco,CA,1621 Taraval Street,94116,,,,,N/A,No website,,osm
"Curtis Raff, DDS",San Francisco,CA,1233 Taraval Street,94116,,,,,N/A,No website,,osm
CitiDent,San Francisco,,,,,,,,N/A,No website,,osm
Comprehensive Dental Care,San Francisco,,,,+1-415-392-0788,,,,N/A,No website,,osm
Cheung Dental Group,San Francisco,CA,1283 22nd Avenue,94122,,,,,N/A,No website,,osm
Golden Gate Dental,San Francisco,,Suite 101 A Jackson Street,,,,,,N/A,No website,,osm
"Kenneth G. Louie, DDS",San Francisco,CA,749 Taraval Street,94116,,,,,N/A,No website,,osm
Orthodontics Pediatric Dentistry,San Francisco,CA,823 Taraval Street,94116,,,,,N/A,No website,,osm
"Christine Tran, D.D.S. Eric Wong, D.D.S.",San Francisco,CA,1423 Irving Street,94122,,,,,N/A,No website,,osm
Integrative Dentistry,San Francisco,CA,614 Irving Street,94122,,,,,N/A,No website,,osm
Jackson Square Dentist,San Francisco,,,,,,,,N/A,No website,,osm
Bernal Heights Smiles,San Francisco,,3208 Mission Street,,,,,,N/A,No website,,osm
"Beverly Presley-Nelson, DDS General Dentistry",San Francisco,,1749 Taraval Street,,+1 415 753 0790,,,,N/A,No website,,osm
Dr. Gordon W. Wong,San Francisco,CA,1818 Taraval Street,,,,,,N/A,No website,,osm
Dr. R. Louie Family Dentistry,San Francisco,CA,1401 Noriega Street,94122,,,,,N/A,No website,,osm
