name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Protection Dental,Glendale,AZ,7025 North 75th Avenue,85303,,,,,N/A,No website,,osm
Sunrisa Dental,Phoenix,AZ,1701 West Glendale Avenue,85021,,,,,N/A,No website,,osm
Glendale Family Dentistry,Glendale,AZ,7448 West Glendale Avenue,85303,+1-623-930-0060,,,,N/A,No website,,osm
Western Dental,Glendale,AZ,5929 West Peoria Avenue,85302,,,,,N/A,No website,,osm
Western Dental,Phoenix,AZ,530 North 7th Street,85006,,,,,N/A,No website,,osm
Yacko Dentistry,Peoria,AZ,North 67th Avenue,85345,,,,,N/A,No website,,osm
Dental Center,Glendale,AZ,6016 West Bethany Home Road,85303,,,,,N/A,No website,,osm
Bright Now! Dental,Peoria,AZ,9230 West Northern Avenue,85305,,,,,N/A,No website,,osm
Heatherwood Dental,Glendale,AZ,13619 North 59th Avenue,85306,,,,,N/A,No website,,osm
Cornerstone dental care,Phoenix,AZ,6135 West Bethany Home Road,85017,,,,,N/A,No website,,osm
Bright Now! Dental,Phoenix,,,,,,,,N/A,No website,,osm
On Call Dental Urgent Care,Tempe,AZ,3244 South Mill Avenue,85282,,,,,N/A,No website,,osm
Beyond Expectation Dental,Phoenix,,,,,,,,N/A,No website,,osm
Aspen Dental,Glendale,AZ,9455 West Glendale Avenue,85305,,,,,N/A,No website,,osm
Perfect Teeth,Peoria,AZ,10613 West Olive Avenue,85345,+1-623-552-2158,,,,N/A,No website,,osm
Stephen L. Kim Family Dentistry,Peoria,AZ,7435 West Cactus Road,85381,,,,,N/A,No website,,osm
Mountainside Family Dental,Phoenix,,106,,,,,,N/A,No website,,osm
Jungle Roots Children's Dentistry,Phoenix,,,,,,,,N/A,No website,,osm
Risas Dental and Braces,Phoenix,AZ,4854 North 83rd Avenue,85033,,,,,N/A,No website,,osm
Pure Smiles: Center for Advanced Dentistry,Phoenix,,,,,,,,N/A,No website,,osm
"Kelly Jorn Cook, DDS",Chandler,AZ,3800 West Ray Road,85226,+1-480-899-4477,,,,N/A,No website,,osm
Vale Family Dental,Phoenix,,,,,,,,N/A,No website,,osm
Do Good Dental,Tempe,AZ,2010 East Elliot Road,85283,,,,,N/A,No website,,osm
Arcadia Modern Dentistry,Phoenix,,,,,,,,N/A,No website,,osm
Dr. John Harman Dental Care,Phoenix,,,,,,,,N/A,No website,,osm
State 48 Dental,Glendale,AZ,5156 North 95th Avenue,85305,,,,,N/A,No website,,osm
Wild West Orthodontist,Phoenix,AZ,9515 West Camelback Road,85037,,,,,N/A,No website,,osm
Sonoran Sky Dental,Phoenix,AZ,9515 West Camelback Road,85037,,,,,N/A,No website,,osm
New Image Orthodontic,Phoenix,AZ,9515 West Camelback Road,85037,,,,,N/A,No website,,osm
Wild West Childrens Dentistry,Phoenix,AZ,9515 West Camelback Road,85037,,,,,N/A,No website,,osm
AZ Dental Club,Tempe,AZ,1823 North Scottsdale Road,85281,,,,,N/A,No website,,osm
Somos Dental,Phoenix,,,,,,,,N/A,No website,,osm
Flitf Dental Group,Phoenix,,,,,,,,N/A,No website,,osm
Riasis Dnetal,Phoenix,AZ,3540 West Camelback Road,85019,,,,,N/A,No website,,osm
Laveen Dental,Phoenix,,,,,,,,N/A,No website,,osm
Gentle Dental,Phoenix,,,,,,,,N/A,No website,,osm
Prime Family Dental,Phoenix,,,,,,,,N/A,No website,,osm
Laveen Modern Dentistry,Phoenix,AZ,5045 West Baseline Road,85339,,,,,N/A,No website,,osm
Laveen Kid's Dentist & Orthodontics,Phoenix,AZ,5235 West Cesar Chavez Boulevard,85339,,,,,N/A,No website,,osm
AZ Family & Kid's Dental,Phoenix,,,,,,,,N/A,No website,,osm
"Rusty Jones, DDS Orthodontics",Phoenix,,,,,,,,N/A,No website,,osm
Palm Dental,Phoenix,,,,,,,,N/A,No website,,osm
Kidz Connextion,Phoenix,,,,,,,,N/A,No website,,osm
Diazo Family Dental,Phoenix,,,,,,,,N/A,No website,,osm
Smith Family Dental,Phoenix,,,,,,,,N/A,No website,,osm
Dental Assisting School of Arizona,Phoenix,,,,,,,,N/A,No website,,osm
AZ Family & Kid's Dental,Tempe,AZ,825 West Baseline Road,85283,,,,,N/A,No website,,osm
Noble Dental Care,Phoenix,,,,,,,,N/A,No website,,osm
Orthodontic Specialists of Arizona,Phoenix,,,,,,,,N/A,No website,,osm
Arizona Healthy Smiles,Phoenix,,,,,,,,N/A,No website,,osm
Reimage Dental Studio,Phoenix,,,,,,,,N/A,No website,,osm
American Family Dentistry,Phoenix,,,,,,,,N/A,No website,,osm
Global Dental Science,Phoenix,,,,,,,,N/A,No website,,osm
Dynamic Dental Lab,Phoenix,,,,,,,,N/A,No website,,osm
Affordable Dentures & Implants,Phoenix,,,,,,,,N/A,No website,,osm
Tiny Teeth,Phoenix,,,,,,,,N/A,No website,,osm
Desert Sun Smiles,Phoenix,,,,,,,,N/A,No website,,osm
Arizona Center for Dental Implants,Phoenix,,,,,,,,N/A,No website,,osm
Arizona Desert Dental,Phoenix,,,,,,,,N/A,No website,,osm
Signature Dental Studio,Phoenix,,,,,,,,N/A,No website,,osm
West Valley Dental Laboratory,Phoenix,,,,,,,,N/A,No website,,osm
Stratland Dental,Phoenix,,,,,,,,N/A,No website,,osm
Dobra Dental,Glendale,AZ,17235 North 75th Avenue,85308,,,,,N/A,No website,,osm
North Canyon Dentistry,Phoenix,,,,,,,,N/A,No website,,osm
Desert Valley Pediatric Dentistry,Glendale,AZ,17570 North 75th Avenue,85308,,,,,N/A,No website,,osm
New Image Dentistry & Orthodontics,Glendale,AZ,17235 North 75th Avenue,85308,,,,,N/A,No website,,osm
Modern Family Dentistry,Phoenix,,,,,,,,N/A,No website,,osm
Arrowhead Creekside Dental,Glendale,AZ,7530 West Bell Road,85308,,,,,N/A,No website,,osm
Arrowhead Dental Group,Phoenix,,,,,,,,N/A,No website,,osm
Every Kid's Dentist & Orthodontics,Phoenix,,,,,,,,N/A,No website,,osm
Fox Family Dental,Phoenix,,,,,,,,N/A,No website,,osm
Ideal Dentistry,Peoria,AZ,13360 North 94th Drive,85381,,,,,N/A,No website,,osm
Wainwright Dentistry,Phoenix,,,,,,,,N/A,No website,,osm
Peoria Dental Center,Peoria,AZ,8914 North 91st Avenue,85345,,,,,N/A,No website,,osm
Great Braces 4 Less,Phoenix,,,,,,,,N/A,No website,,osm
