name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Osco Drug,Chicago,IL,3531 North Broadway,60657,,,,,N/A,No website,,osm
Katsaros Pharmacy,Chicago,IL,1521 East 53rd Street,60615,,,,,N/A,No website,,osm
Oak Street Pharmacy,Chicago,IL,850 West 63rd Street,60621,,,,,N/A,No website,,osm
Jewel-Osco,Chicago,IL,2940 North Ashland Avenue,60657,,,,,N/A,No website,,osm
Lawndale Christian Health Center Pharmacy,Chicago,IL,3109 West Ogden Avenue,60623,,,,,N/A,No website,,osm
Peace Pharmacy,Chicago,IL,2320 South Wentworth Avenue,60616,,,,,N/A,No website,,osm
Mini Thương Xá,Chicago,,,,,,,,N/A,No website,,osm
Mariam Pharmacy,Chicago,IL,3514 West Lawrence Avenue,60625,+1-773-478-1111,,,,N/A,No website,,osm
AllCareX Discount Pharmacy,Chicago,IL,2750 West North Avenue,60647,,,,,N/A,No website,,osm
Advocate Pharmacy,Chicago,,,,,,,,N/A,No website,,osm
"ENCORE RECEIVABLE MANAGEMENT, INC.",Chicago,IL,114-90  AVENUE CARRERA 45,10004,,,,,N/A,No website,,citydata-chicago
MAGIC SCISSORS BEAUTY SALON,Chicago,IL,2816 N LARAMIE AVE 1,60641,,,,,N/A,No website,,citydata-chicago
LUIGI'S PIZZA,Chicago,IL,4212 W MADISON ST,60624,,,,,N/A,No website,,citydata-chicago
GOURMET GORILLA,Chicago,IL,1200 W CERMAK RD 1 & 2 S 2,60608,,,,,N/A,No website,,citydata-chicago
CANTEEN @ RUSH ADMIN OFFICE,Chicago,IL,2150 W HARRISON ST,60612,,,,,N/A,No website,,citydata-chicago
CANTEEN @ RUSH TOB BLDG 2ND FLOOR MKT,Chicago,IL,1700 W VAN BUREN ST 2,60612,,,,,N/A,No website,,citydata-chicago
CANTEEN @ WEWORK 515 N STATE ST,Chicago,IL,515 N STATE ST,60654,,,,,N/A,No website,,citydata-chicago
Levata US LLC,Chicago,IL,200 W MONROE ST 23RD 2300,60606,,,,,N/A,No website,,citydata-chicago
DULCERIA VELASCO,Chicago,IL,2731 W 59TH ST 1ST,60629,,,,,N/A,No website,,citydata-chicago
82 KIMBAP,Chicago,IL,800 S WELLS ST APT 1350,60607,,,,,N/A,No website,,citydata-chicago
FIRST TEMPORARY,Chicago,IL,55 E JACKSON BLVD 21ST 2150,60604,,,,,N/A,No website,,citydata-chicago
TACTICIANS,Chicago,IL,5027 N HARLEM AVE 1ST,60656,,,,,N/A,No website,,citydata-chicago
CANTEEN @ WEWORK 1 SOUTH DEARBORN,Chicago,IL,1 S DEARBORN ST 20,60603,,,,,N/A,No website,,citydata-chicago
CANTEEN @ WEWORK 330 NORTH WABASH AVE,Chicago,IL,330 N WABASH AVE,60611,,,,,N/A,No website,,citydata-chicago
CANTEEN @ RUSH CAFE7,Chicago,IL,1620 W HARRISON ST,60612,,,,,N/A,No website,,citydata-chicago
DAN RAK DESIGN,Chicago,IL,1724 W GRAND AVE,60622,,,,,N/A,No website,,citydata-chicago
GOLD LADLE THAI CUSINE,Chicago,IL,2011 N DAMEN AVE 1ST,60647,,,,,N/A,No website,,citydata-chicago
CANTEEN @ RUSH JELKE SMART MARKET,Chicago,IL,1620 W HARRISON ST,60612,,,,,N/A,No website,,citydata-chicago
CANTEEN @ WEWORK 220 N GREEN ST,Chicago,IL,220 N GREEN ST,60607,,,,,N/A,No website,,citydata-chicago
CANTEEN @ WEWORK 222 SOUTH RIVERSIDE PLAZA,Chicago,IL,222 S RIVERSIDE PLZ  15,60606,,,,,N/A,No website,,citydata-chicago
Jayson DeGeeter LLC,Chicago,IL,701 W ARMITAGE AVE RETAIL,60614,,,,,N/A,No website,,citydata-chicago
CANTEEN @ WEWORK 625 W ADAMS ST,Chicago,IL,625 W ADAMS ST,60661,,,,,N/A,No website,,citydata-chicago
AMERICA'S WATCHES/JEWELRY REPAIR,Chicago,IL,5 S WABASH AVE 11 1119,60603,,,,,N/A,No website,,citydata-chicago
Clare Britt Photo,Chicago,IL,3701 N RAVENSWOOD AVE  305,60613,,,,,N/A,No website,,citydata-chicago
CITY SPORTS,Chicago,IL,4520 N BROADWAY,60640,,,,,N/A,No website,,citydata-chicago
CORNERSTONE MANAGEMENT & CONSULTING INC.,Chicago,IL,1647 W FULTON ST 2ND,60612,,,,,N/A,No website,,citydata-chicago
The Landhart Corporation,Chicago,IL,79 W MONROE ST 8 800,60603,,,,,N/A,No website,,citydata-chicago
PACIFIC AIR TRAVEL,Chicago,IL,11 E ADAMS ST  310,60603,,,,,N/A,No website,,citydata-chicago
CHRISTIAN CENTURY,Chicago,IL,104 S MICHIGAN AVE 11TH 1100,60603,,,,,N/A,No website,,citydata-chicago
"p3 mediaworks, Inc.",Chicago,IL,5215 N RAVENSWOOD AVE  315,60640,,,,,N/A,No website,,citydata-chicago
CRUISE UTOPIA,Chicago,IL,550 W WELLINGTON AVE 5TH 5W,60657,,,,,N/A,No website,,citydata-chicago
COY L. BUTLER JR.,Chicago,IL,2729  123RD ST  2N,60406,,,,,N/A,No website,,citydata-chicago
CAMILLION DOLLHOUZE LLC,Chicago,IL,7100 S JEFFERY BLVD 1ST B,60649,,,,,N/A,No website,,citydata-chicago
Max and Issy's,Chicago,IL,1028 W DIVERSEY PKWY 1,60614,,,,,N/A,No website,,citydata-chicago
MOSAICS BOUTIQUE & TEA LLC,Chicago,IL,10448 S KEDZIE AVE,60655,,,,,N/A,No website,,citydata-chicago
RICK'S DOG WALKS,Chicago,IL,5450 N WINTHROP AVE  111,60640,,,,,N/A,No website,,citydata-chicago
A. K. AUTO SERVICE INC.,Chicago,IL,4747 N PULASKI RD,60630,,,,,N/A,No website,,citydata-chicago
"NOVA SERVICES, LLC",Chicago,IL,5524 W LAWRENCE AVE 1ST 2,60630,,,,,N/A,No website,,citydata-chicago
TEMPLETON MOTOR,Chicago,IL,2035 N CICERO AVE,60639,,,,,N/A,No website,,citydata-chicago
"TAIBER, KOSMALA & ASSOCIATES, LLC",Chicago,IL,141 W JACKSON BLVD 35 3540,60604,,,,,N/A,No website,,citydata-chicago
LAF,Chicago,IL,120 S LA SALLE ST 9 900,60603,,,,,N/A,No website,,citydata-chicago
MAY YIN YANG,Chicago,IL,5319 W FULLERTON AVE 1,60639,,,,,N/A,No website,,citydata-chicago
RENDERED SERVICES,Chicago,IL,2019 - 2021 W RASCHER AVE 1ST,60625,,,,,N/A,No website,,citydata-chicago
STANDARD PARKING,Chicago,IL,220 W ILLINOIS ST LL,60654,,,,,N/A,No website,,citydata-chicago
ANA SUPER MAIDS,Chicago,IL,4710 N LAWNDALE AVE  BASEMENT,60625,,,,,N/A,No website,,citydata-chicago
Legal Documents Preparation Services,Chicago,IL,3535 S HAMILTON AVE  1 FRONT,60609,,,,,N/A,No website,,citydata-chicago
FERNANDEZ & ASSOCIATES LTD,Chicago,IL,6602 N CLARK ST 1ST,60626,,,,,N/A,No website,,citydata-chicago
MOSAICS,Chicago,IL,10448-10450 S KEDZIE AVE,60655,,,,,N/A,No website,,citydata-chicago
"VALOR INTELLIGENT PROCESSING, LLC",Chicago,IL,8001  CHATHAM CENTER DR  150,31405,,,,,N/A,No website,,citydata-chicago
XL UNLIMITED LLC,Chicago,IL,10448 S KEDZIE AVE  1ST,60655,,,,,N/A,No website,,citydata-chicago
SCHOOLS ARE US INC,Chicago,IL,3146 W 111TH ST 1ST,60655,,,,,N/A,No website,,citydata-chicago
TACO PALATE,Chicago,IL,1608 W NORTH AVE 1ST,60622,,,,,N/A,No website,,citydata-chicago
URBAN INFLUENCE LLC,Chicago,IL,10448 S KEDZIE AVE 1ST,60655,,,,,N/A,No website,,citydata-chicago
Everette's Coffee,Chicago,IL,4256 W DIVERSEY AVE  3,60639,,,,,N/A,No website,,citydata-chicago
"Accounts Receivable Automated Solutions, Inc.",Chicago,IL,140  UNIVERSITY PARK,36081,,,,,N/A,No website,,citydata-chicago
M&S JEWELRY,Chicago,IL,5050 S KEDZIE AVE 1 404,60632,,,,,N/A,No website,,citydata-chicago
BURRITO BEACH,Chicago,IL,19 S LA SALLE ST GROUND,60603,,,,,N/A,No website,,citydata-chicago
PILSEN RECYCLING INC.,Chicago,IL,2513-2525 S ARTESIAN AVE 1ST,60608,,,,,N/A,No website,,citydata-chicago
SALON ECHO,Chicago,IL,2036 W MONTROSE AVE,60618,,,,,N/A,No website,,citydata-chicago
BLU COMMERCIAL CLEANING,Chicago,IL,4628 W LAWRENCE AVE 1ST,60630,,,,,N/A,No website,,citydata-chicago
T-MOBILE CENTRAL LLC,Chicago,IL,120 S HALSTED ST 1ST A,60661,,,,,N/A,No website,,citydata-chicago
"LAKEFRONT CHILDREN'S ACADEMY, L.L.C.",Chicago,IL,400 E RANDOLPH ST 6TH 6B,60601,,,,,N/A,No website,,citydata-chicago
"TESLA, INC.",Chicago,IL,901 N RUSH ST,60611,,,,,N/A,No website,,citydata-chicago
FORNOMAURI,Chicago,IL,620 S DEARBORN ST  B,60605,,,,,N/A,No website,,citydata-chicago
THE UPS STORE,Chicago,IL,17 E MONROE ST,60603,,,,,N/A,No website,,citydata-chicago
