name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Econo Lodge,Nashville,,,,,,,,N/A,No website,,osm
Crossland Economy Studios - Nashville - Airport - Briley Pkwy.,Nashville,,,,,,,,N/A,No website,,osm
Midway Motel,Nashville,,,,,,,,N/A,No website,,osm
Scottish Inn,Nashville,,,,,,,,N/A,No website,,osm
Airways Motel,Nashville,,,,,,,,N/A,No website,,osm
The Capitol Hotel Downtown Nashville,Nashville,,,,,,,,N/A,No website,,osm
Homewood Suites Nashville Downtown,Nashville,,,,,,,,N/A,No website,,osm
J White's House,Nashville,,Murfreesboro Pike,,,,,,N/A,No website,,osm
Residence Inn Nashville Downtown,Nashville,TN,410 5th Avenue South,37203,,,,,N/A,No website,,osm
AC Hotel Nashville Downtown,Nashville,TN,410 5th Avenue South,37203,,,,,N/A,No website,,osm
SpringHill Suites Nashville Downtown,Nashville,TN,410 5th Avenue South,37203,,,,,N/A,No website,,osm
Classic Southern Mansion on Historic Music Row,Nashville,,1204 17th Avenue South,,,,,,N/A,No website,,osm
W Nashville,Nashville,TN,300 12th Avenue South,37203,,,,,N/A,No website,,osm
Staybridge Suites Nashville - Midtown,Nashville,TN,350 22nd Avenue North,37203,,,,,N/A,No website,,osm
Element Nashville Vanderbilt West End,Nashville,TN,4 C1TY BLVD,37209,,,,,N/A,No website,,osm
Euclid Court,Nashville,TN,110 30th Avenue North,37203,+16173000956,,,,N/A,No website,,osm
