name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Carlos Hair Salon,Somerville,MA,497 Somerville Avenue,02143,+16177508946,,,,N/A,No website,,osm
Mario's Salon,Boston,,,,,,,,N/A,No website,,osm
Beto's Unisex Hair Salon,Boston,,,,,,,,N/A,No website,,osm
T&J Nails Design,Boston,,,,,,,,N/A,No website,,osm
Elegance Salon,Boston,,,,,,,,N/A,No website,,osm
Sal's Barber Shop,Boston,,,,,,,,N/A,No website,,osm
Ruby Nails,Boston,,,,+1 617 859 0067,,,,N/A,No website,,osm
Campus Tan,Boston,,,,,,,,N/A,No website,,osm
T&T Hair Salon,Boston,,,,,,,,N/A,No website,,osm
Biyoshi Salon,Boston,,,,,,,,N/A,No website,,osm
A-1 Barber Shop,Boston,,,,,,,,N/A,No website,,osm
Cut-N-Edge,Boston,,,,,,,,N/A,No website,,osm
Darcy Barber Shop,Boston,,,,+1 617-424-5500,,,,N/A,No website,,osm
MiniLuxe,Brookline,,273 Harvard Street,02446,,,,,N/A,No website,,osm
Aicha African Hair Braiding,Somerville,,55 Summer Street,02143,+1 617 764 0036,,,,N/A,No website,,osm
Curlz & Cutz,Boston,,,,,,,,N/A,No website,,osm
Always Beautiful By Evelyn,Boston,,,,,,,,N/A,No website,,osm
West End Salon & Spa,Boston,,68 Staniford Street,02114,,,,,N/A,No website,,osm
Cambridge Nails,Boston,,326 Cambridge Street,02114,,,,,N/A,No website,,osm
Wally's,Boston,,,,,,,,N/A,No website,,osm
Styles Hair,Boston,,,,,,,,N/A,No website,,osm
Nick's Barber Shop,Cambridge,MA,16 Prospect Street,02139,,,,,N/A,No website,,osm
Lewis' Hair Salon,Cambridge,MA,44 Prospect Street,02139,+1 617 576 0108,,,,N/A,No website,,osm
Aveda,Boston,,471 Artisan Way,,,,,,N/A,No website,,osm
Exclusive Barber Shop,Allston,MA,250 Brighton Avenue,02134,,,,,N/A,No website,,osm
Miss Laura's Beauty Culture,Jamaica Plain,MA,46 South Street,02130,+1-617-524-4243,,,,N/A,No website,,osm
station8salon,Jamaica Plain,MA,761 Centre Street,02130,+1-617-553-4884,,,,N/A,No website,,osm
Maria's Hair Fashion & Day Spa,Jamaica Plain,MA,138 South Street,02130,+1-617-522-7783,,,,N/A,No website,,osm
Nails 2000,Jamaica Plain,MA,148 South Street,02130,+1-617-971-0733,,,,N/A,No website,,osm
Professional Barber Shop,Jamaica Plain,MA,140 South Street,02130,+1-857-273-4943,,,,N/A,No website,,osm
Prophecy of the Beauty,Jamaica Plain,MA,152 South Street,02130,+1-617-522-0184,,,,N/A,No website,,osm
Salon Bellissima,Boston,,204 Hampshire Street,,,,,,N/A,No website,,osm
Filomena's,Boston,,164 Hampshire Street,,,,,,N/A,No website,,osm
Bea's Nails,Boston,MA,75 Blossom Court,02114,,,,,N/A,No website,,osm
University Barber Shop,Boston,MA,728A Commonwealth Avenue,02215,+1 617 247 2789,,,,N/A,No website,,osm
Kim Navy's Nails,Boston,,78 Canal Street,,+16177424724,,,,N/A,No website,,osm
Lancôme,Boston,,,,,,,,N/A,No website,,osm
Hair Cuttery,Boston,,495 Artisan Way,,,,,,N/A,No website,,osm
Miniluxe,Boston,MA,18 Kilmarnock Street,02215,,,,,N/A,No website,,osm
Sephora,Boston,MA,1331 Boylston Street,02215,,,,,N/A,No website,,osm
Be Relax,Boston,,,,,,,,N/A,No website,,osm
Fernandez Barbershop,Boston,,,,,,,,N/A,No website,,osm
element,Boston,,,,,,,,N/A,No website,,osm
Cambridge Nails & Skin Spa,Cambridge,MA,2096 Massachusetts Avenue,02140,+1 617 945 1254,,,,N/A,No website,,osm
Jessica Nails Spa & Skin Care,Cambridge,MA,2000 Massachusetts Avenue,02140,+1 617 354 2955,,,,N/A,No website,,osm
Judy Jetson,Cambridge,MA,1765 Massachusetts Avenue,02140,+1 617 354 2628,,,,N/A,No website,,osm
Elite Barber Shop,Cambridge,MA,2384 Massachusetts Avenue,02140,+1-617-497-1287,,,,N/A,No website,,osm
Misrak Salon and Barber Shop,Boston,,,,+1 617 233 0457,,,,N/A,No website,,osm
Hair International,Boston,,,,,,,,N/A,No website,,osm
Skin & Body Works,Somerville,MA,411A Highland Avenue,02144,,,,,N/A,No website,,osm
