name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Clay Medical Pharmacy,San Francisco,,929 Clay Street,,,,,,N/A,No website,,osm
Greenlite Medicine,San Francisco,,3129 Fillmore Street,,,,,,N/A,No website,,osm
Four-Fifty Sutter Pharmacy,San Francisco,CA,450 Sutter Street,94108,+1-415-392-4137,,,,N/A,No website,,osm
Moon Fung Chinese Herbs Ginseng & Tea,San Francisco,,,,,,,,N/A,No website,,osm
Wellman's HealthMart,San Francisco,,1053 Stockton Street,,,,,,N/A,No website,,osm
Round Medical Supply and Uniforms,San Francisco,,1712 Divisadero Street,,,,,,N/A,No website,,osm
Kaiser Mission Bay Pharmacy,San Francisco,,,,,,,,N/A,No website,,osm
Torgsyn Pharmacy,San Francisco,,5614;5612 Geary Boulevard,,,,,,N/A,No website,,osm
Franklin Pharmacy,San Francisco,,,,,,,,N/A,No website,,osm
IndieBio,San Francisco,,2565 3rd Street,,,,,,N/A,No website,,osm
Golden Gate Pharmacy & Medical,San Francisco,,1836 Noriega Street,,+1-415-661-0790,,,,N/A,No website,,osm
