name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Massage Envy,Houston,TX,190,,,,,,N/A,No website,,osm
Massage Heights,Houston,TX,2625 Louisiana Street,77006,,,,,N/A,No website,,osm
Wu-Sa Massage,Houston,,,,,,,,N/A,No website,,osm
The Joint Chiropractic,Houston,,5885 San Felipe Street,,,,,,N/A,No website,,osm
Four Seasons Massage,Houston,,,,,,,,N/A,No website,,osm
Soul Retreat Spa,Houston,,1106 Silber Road,,,,,,N/A,No website,,osm
Real Thai Massge,Houston,,4216 San Felipe Street,,,,,,N/A,No website,,osm
Massage Heaven,Houston,TX,5727 Westheimer Road,,,,,,N/A,No website,,osm
Top Thai Massage,Houston,TX,1801 Durham Drive,77007,,,,,N/A,No website,,osm
CC Foot Massage,Houston,TX,3818 North Shepherd Drive,,,,,,N/A,No website,,osm
Heights Reflexology,Houston,,740 East 20th Street,,,,,,N/A,No website,,osm
Foot Relax,Houston,,9654 Katy Freeway,,,,,,N/A,No website,,osm
Jasmine Center Foot Reflexology,Houston,,,,,,,,N/A,No website,,osm
Thai Healing Therapy,Houston,,,,,,,,N/A,No website,,osm
Luz Spa,Houston,TX,5645 Hillcroft Avenue,77036,+1-281-513-0705,,,,N/A,No website,,osm
Empress of China,Houston,,8412 Katy Freeway,,,,,,N/A,No website,,osm
Spine Rehab,Houston,TX,415 West Parker Road,,,,,,N/A,No website,,osm
Patient 1st Chiropractic Care,Houston,,,,+1-713-485-6434,,,,N/A,No website,,osm
Specialty Injury Clinic,Houston,,,,,,,,N/A,No website,,osm
Nuspine Chiropractic,Houston,TX,187 Heights Boulevard,,,,,,N/A,No website,,osm
Glo Sun Spa,Houston,TX,560 Waugh Drive,77019,+1-713-528-7768,,,,N/A,No website,,osm
Retreat Massage,Houston,TX,126 Heights Boulevard,,,,,,N/A,No website,,osm
The B-12 Store,Houston,,,,,,,,N/A,No website,,osm
OChi Reflexology,Houston,,,,,,,,N/A,No website,,osm
Woodhouse Spa,Houston,,,,,,,,N/A,No website,,osm
Lulin Acupuncture & Herbs,Houston,,,,,,,,N/A,No website,,osm
Lily Massage,Houston,,,,,,,,N/A,No website,,osm
Moxa and More Acupuncture,Houston,TX,9968 Bellaire Boulevard,77036,,,,,N/A,No website,,osm
Grace Acupuncture & Herbs,Houston,TX,9896 Bellaire Boulevard,77036,,,,,N/A,No website,,osm
Peng’s Herb Science & Acupuncture Clinic,Houston,TX,9968 Bellaire Boulevard,77036,,,,,N/A,No website,,osm
Ming Lu Acupuncture Clinic,Houston,,,,,,,,N/A,No website,,osm
Oasis Massage II,Houston,,,,,,,,N/A,No website,,osm
7 Day Spa,Houston,,,,,,,,N/A,No website,,osm
Oasis Massage,Houston,,,,,,,,N/A,No website,,osm
Soul Inn Reflexology,Houston,,,,,,,,N/A,No website,,osm
Ysng Sheng Foot Spa,Houston,,,,,,,,N/A,No website,,osm
Eastern Foot Massage,Houston,,,,,,,,N/A,No website,,osm
Joy Foot Reflexology,Houston,,,,,,,,N/A,No website,,osm
CJ Nature Beauty Foot Massage,Houston,,,,,,,,N/A,No website,,osm
Prosperous Paradise Spa,Houston,,,,,,,,N/A,No website,,osm
Pain Relief Center,Houston,,,,,,,,N/A,No website,,osm
Thai Healing,Houston,TX,9889 Bellaire Boulevard,77036,,,,,N/A,No website,,osm
A1 Foot,Houston,TX,11830 Bellaire Boulevard,77072,,,,,N/A,No website,,osm
