name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Compass,San Francisco,,4156 24th Street,,,,,,N/A,No website,,osm
Combined Realty,San Francisco,,1871 Market Street,,,,,,N/A,No website,,osm
Downing & Company Real Estate Services,San Francisco,,3496 22nd Street,,,,,,N/A,No website,,osm
Thomas D. Harvey Realtor & Insurance,San Francisco,,1048 Valencia Street,,,,,,N/A,No website,,osm
Brick & Mortar,San Francisco,,587 Castro Street,94114,,,,,N/A,No website,,osm
Urban Group Real Estate,San Francisco,,1328 Valencia Street,,,,,,N/A,No website,,osm
Keller Williams Realty,San Francisco,,1624 California Street,94109,,,,,N/A,No website,,osm
Alain Pinel Realtors,San Francisco,,3899 24th Street,,,,,,N/A,No website,,osm
Gordon Property Management,San Francisco,,1596 Church Street,,,,,,N/A,No website,,osm
MYC Realty Group,San Francisco,,2501 Judah Street,,,,,,N/A,No website,,osm
Zephyr Real Estate,San Francisco,CA,215 West Portal Avenue,94127,,,,,N/A,No website,,osm
Mary Zell Spellman,San Francisco,CA,318 West Portal Avenue,94127,,,,,N/A,No website,,osm
Berkshire Hathaway HomeServices,San Francisco,CA,677 Portola Drive,94127,,,,,N/A,No website,,osm
Century 21,San Francisco,CA,101 Vicente Street,94127,,,,,N/A,No website,,osm
"Baynet & Company, Inc.",San Francisco,CA,200 Taraval Street,94116,,,,,N/A,No website,,osm
Ditler Real Estate,San Francisco,CA,244 Taraval Street,94116,,,,,N/A,No website,,osm
Ameristate Properties,San Francisco,CA,232 Taraval Street,94116,,,,,N/A,No website,,osm
BCI Real Estate Services,San Francisco,CA,843 Irving Street,94122,,,,,N/A,No website,,osm
First National Realty,San Francisco,CA,1327 Taraval Street,94116,,,,,N/A,No website,,osm
Intero San Francisco,San Francisco,CA,1430 Taraval Street,94116,,,,,N/A,No website,,osm
Far East Mortgage Company,San Francisco,CA,1121 Vicente Street,94116,,,,,N/A,No website,,osm
Park North,San Francisco,CA,2002 Irving Street,94122,+1 415-233-8333,,,,N/A,No website,,osm
Asia Pacific Groups,San Francisco,CA,1290 24th Avenue,94122,,,,,N/A,No website,,osm
Hogan and Vest Inc,San Francisco,,,,,,,,N/A,No website,,osm
Weiner and Associates Realtors,San Francisco,CA,1918 Taraval Street,,,,,,N/A,No website,,osm
Shamrock Realty,San Francisco,CA,630 Taraval Street,94116,,,,,N/A,No website,,osm
AmeriaSia Invesment Realty,San Francisco,,,,,,,,N/A,No website,,osm
Founders Realty,San Francisco,CA,1248 Noriega Street,94122,,,,,N/A,No website,,osm
Old Republic Title Company,San Francisco,CA,2566 Ocean Avenue,94127,,,,,N/A,No website,,osm
Fidelity National Title,San Francisco,CA,2537 Ocean Avenue,94127,,,,,N/A,No website,,osm
Sequoia Real Estate,San Francisco,,3595 Balboa Street,94121,,,,,N/A,No website,,osm
Sotheby's International Realty,San Francisco,,,,,,,,N/A,No website,,osm
Inspiration Real Estate,San Francisco,,,,,,,,N/A,No website,,osm
Climb Real Estate,San Francisco,,,,,,,,N/A,No website,,osm
Park North Real Estate,San Francisco,CA,721 Monterey Boulevard,94127,,,,,N/A,No website,,osm
HSM,San Francisco,,600 Haight Street,,,,,,N/A,No website,,osm
Brown Bear Realty,San Francisco,,303 Cortland Avenue,,+1-415-285-5700,,,,N/A,No website,,osm
George Goodwin Realty,San Francisco,,1901 Lawton Street,,,,,,N/A,No website,,osm
Sterling Real Estate,San Francisco,CA,3512 Geary Boulevard,94118,,,,,N/A,No website,,osm
The Agency,San Francisco,,3848 24th Street,,,,,,N/A,No website,,osm
Real Management Company,San Francisco,,4193 24th Street,,,,,,N/A,No website,,osm
"United Associates Inv., Inc.",San Francisco,,1580 Taraval Street,,+1 415 566 6868,,,,N/A,No website,,osm
Citibrokers Real Estate Incorporated,San Francisco,,5840 Geary Boulevard,,+1 415-221-5000,,,,N/A,No website,,osm
Bayview Real Estate,San Francisco,,388 12th Avenue,,+1 415 751 6000,,,,N/A,No website,,osm
LT Group - Compass Real Estate,San Francisco,,,,+1-415-606-8210,,,,N/A,No website,,osm
Compass Real Estate,San Francisco,CA,1720 Ocean Avenue,94112,,,,,N/A,No website,,osm
W Real Estate,San Francisco,,1651 Polk Street,,,,,,N/A,No website,,osm
Vanguard Properties,San Francisco,,,,,,,,N/A,No website,,osm
AFI Real Estate,San Francisco,,,,,,,,N/A,No website,,osm
Beam Properties,San Francisco,,1124 12th Avenue,,+1 415-729-7250,,,,N/A,No website,,osm
First American Title Homebuilder Services,San Francisco,,600 Harrison Street,,,,,,N/A,No website,,osm
All Bay Properties,San Francisco,,1313 24th Avenue,,+1 415-298-9888,,,,N/A,No website,,osm
Good Earth Realty,San Francisco,,,,,,,,N/A,No website,,osm
West & Prauszler,San Francisco,,1812 Noriega Street,,,,,,N/A,No website,,osm
Corcoran,San Francisco,,2523 California Street,,,,,,N/A,No website,,osm
Key Realty,San Francisco,,3908 Mission Street,,,,,,N/A,No website,,osm
