name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Tire and Muffler,Los Angeles,,East 3rd Street,90063,,,,,N/A,No website,Get rolling with an online presence: a website that showcases your LA tire and muffler expertise.,osm
Jiffy Lube,Los Angeles,,,,,,,,N/A,No website,Rev up your online presence with a website that showcases Jiffy Lube's LA services and expertise.,osm
Cole Automotive,Los Angeles,,,,,,,,N/A,No website,Rev up your online presence with a website that showcases Cole Automotive's expertise in Los Angeles.,osm
Le Brea Auto Body Shop,Los Angeles,,,,,,,,N/A,No website,"Bring Le Brea Auto Body Shop to life online, showcasing trust, expertise, and LA's best collision repair.",osm
VIP Expert Auto Repair,Los Angeles,,,,,,,,N/A,No website,Transform your Los Angeles auto repair shop with a professional website that showcases your expertise.,osm
KT Automotive,Los Angeles,,1163 South La Brea Avenue,,,,,,N/A,No website,"Bring KT Automotive online, showcasing your Los Angeles expertise, and reaching a wider audience of car enthusiasts.",osm
AmeriPros Auto Body,Los Angeles,CA,747 South La Brea Avenue,,,,,,N/A,No website,Transform your LA auto body shop with a website that shines as brightly as your repair work.,osm
EZ Lube,Los Angeles,,,,,,,,N/A,No website,Get your wheels turning online - EZ Lube needs a website to rev up customer engagement.,osm
Kragen,Los Angeles,,,,,,,,N/A,No website,Bring Kragen Auto Parts into the digital age with a user-friendly website for seamless customer experience.,osm
Midas,Los Angeles,,,,,,,,N/A,No website,Midas in LA deserves a shining online presence to attract clients and showcase expertise in Los Angeles.,osm
RYAN'S AUTO REPAIR,Los Angeles,,Huntington Drive,,,,,,N/A,No website,Get found online and drive more customers to RYAN'S AUTO REPAIR with a custom-built website.,osm
Overland Tire Center,Los Angeles,,,,,,,,N/A,No website,Get ahead of the competition with a fresh online presence for Overland Tire Center in LA.,osm
Platinum,Los Angeles,,,,,,,,N/A,No website,Create a luxurious online presence for Platinum to showcase its high-end services and attract new clients.,osm
Beverly Hills Auto Body,Los Angeles,,,,,,,,N/A,No website,Elevate your reputation and attract more customers with a professional online presence for Beverly Hills Auto Body.,osm
Infinity,Los Angeles,,,,,,,,N/A,No website,Help Infinity shine in LA with a professional website that showcases their unique services and style.,osm
