name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Nashville Auto Service,Nashville,,3730 Nolensville Pike,37211,,,,,N/A,No website,Get online with Nashville Auto Service and attract new customers in the heart of Music City.,osm
Larry's Auto & Tire Inc.,Nashville,,3600 Nolensville Pike,37211,,,,,N/A,No website,Let's get Larry's Auto & Tire Inc. online and rev up their business in Nashville.,osm
Alva's Quick lube plus,Nashville,,524 Thompson Lane,37211,,,,,N/A,No website,Get seen by Nashville car owners with a modern website that showcases Alva's Quick Lube Plus services.,osm
Alva's Automotive & tire center,Nashville,,530 Thompson Lane,37211,,,,,N/A,No website,Help Alva's Automotive & Tire Center in Nashville roll out a website to rev up online visibility.,osm
Latino Tires Inc.,Nashville,,3404 Nolensville Pike,37211,,,,,N/A,No website,"Help Latino Tires Inc. roll out a professional online presence, reaching Nashville's Latino community.",osm
Greg's Auto Repair,Nashville,TN,634 Main Street,37206,+1-615-256-3985,,,,N/A,No website,Get online and drive more customers to Greg's Auto Repair with a professional website.,osm
Pep Boys,Nashville,,,,,,,,N/A,No website,"Let's build a website for Pep Boys Nashville, showcasing services and helping locals keep their rides running smoothly.",osm
Midas,Nashville,,,,,,,,N/A,No website,Midas Nashville needs a professional online presence to showcase its expert auto repair services and attract new customers.,osm
Southern Ride Customs,Nashville,TN,6666 Brookmont Terrace,37205,,,,,N/A,No website,Transform your passion into a national brand with a professional website showcasing Southern Ride Customs' unique craftsmanship.,osm
Advance Auto Parts,Nashville,,,,,,,,N/A,No website,"Give Nashvillians easy access to auto parts and services through a user-friendly, locally-focused Advance Auto Parts website.",osm
Ron Hall's Service Center,Nashville,TN,6830 Charlotte Pike,37209,+1-615-353-0326,,,,N/A,No website,Get discovered by Nashville's car owners with a website showcasing your trusted service center expertise.,osm
