name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Resolute Law Group,Tampa,FL,2304 E Fletcher Ave,33612,,,,,N/A,No website,,osm
Federation of Defense & Corporate Counsel,Tampa,,,,,,,,N/A,No website,,osm
Larrinaga Law Group,Tampa,,,,,,,,N/A,No website,,osm
Michael Moecker & Associates,Tampa,FL,1409 W Swann Ave,33606,,,,,N/A,No website,,osm
Stuart & Strickland,Tampa,FL,South Boulevard,33606,,,,,N/A,No website,,osm
"David L Langan, PA, Attorney",Tampa,,,,,,,,N/A,No website,,osm
Floridan Legal Center,Tampa,FL,North Marion Street,33602,,,,,N/A,No website,,osm
"Mills Law, PA",Tampa,,,,,,,,N/A,No website,,osm
Jodat Law Group,Tampa,,,,,,,,N/A,No website,,osm
Prida Guida & Company,Tampa,,1106 North Franklin Street,,,,,,N/A,No website,,osm
"Thomas C. Grajek, Attorney at Law",Tampa,FL,4107 N. Himes Avenue,33607,,,,,N/A,No website,,osm
"Mintzer Sarowitz Zeris Ledva & Meyers, LLP",Tampa,FL,6921 Pistol Range Road,33635,,,,,N/A,No website,,osm
Bolin Law Group,Tampa,FL,1905 East 7th Avenue,33605,,,,,N/A,No website,,osm
