name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
City to City Commercial,Scottsdale,AZ,7135 East Camelback Road,85251,,,,,N/A,No website,,osm
ProSmart Realty,Peoria,AZ,10651 West Olive Avenue,85345,+1-480-227-1891,,,,N/A,No website,,osm
Real Estate School of Scottsdale,Scottsdale,AZ,16427 North Scottsdale Road,85254,,,,,N/A,No website,,osm
Phoenix Home Gallery,Scottsdale,AZ,16427 North Scottsdale Road,85254,,,,,N/A,No website,,osm
RE/MAX,Scottsdale,AZ,16451 North Scottsdale Road,85254,,,,,N/A,No website,,osm
Urman Enterprises Property Management,Scottsdale,AZ,16050 North 76th Street,85260,,,,,N/A,No website,,osm
David Weekley Homes,Phoenix,,,,,,,,N/A,No website,,osm
Realty Executives,Phoenix,,,,,,,,N/A,No website,,osm
AZ Prime Property Management,Phoenix,,,,,,,,N/A,No website,,osm
Hewson Properties,Phoenix,,,,,,,,N/A,No website,,osm
Summit Real Estate Investment,Phoenix,,,,,,,,N/A,No website,,osm
Century 21,Phoenix,,,,,,,,N/A,No website,,osm
BuySellAZHouse.com,Phoenix,,,,,,,,N/A,No website,,osm
ZRM Real Estate,Phoenix,,,,,,,,N/A,No website,,osm
Arizona Homes Plus,Phoenix,,,,,,,,N/A,No website,,osm
Crest Premier Properties,Phoenix,,,,,,,,N/A,No website,,osm
Respect Realty,Phoenix,,,,,,,,N/A,No website,,osm
Greg Hauger Real Estate,Phoenix,,,,,,,,N/A,No website,,osm
Apartment Finders,Phoenix,,,,,,,,N/A,No website,,osm
New Sunrise,Phoenix,,,,,,,,N/A,No website,,osm
Free Agent Properties,Phoenix,,,,,,,,N/A,No website,,osm
Exit Realty Living,Phoenix,,,,,,,,N/A,No website,,osm
Gerson Realty & Management,Phoenix,,,,,,,,N/A,No website,,osm
C5 Property Management,Phoenix,,,,,,,,N/A,No website,,osm
Hubster,Phoenix,,,,,,,,N/A,No website,,osm
Homehelper Consultants,Phoenix,,,,,,,,N/A,No website,,osm
Cook & Associates Real Estate Advisors,Phoenix,,,,,,,,N/A,No website,,osm
The Noonan Group,Phoenix,,,,,,,,N/A,No website,,osm
Cullum Homes,Phoenix,,,,,,,,N/A,No website,,osm
Davis Commercial AZ,Phoenix,,,,,,,,N/A,No website,,osm
Bolte Homes,Phoenix,,,,,,,,N/A,No website,,osm
Ascend Realty,Phoenix,,,,,,,,N/A,No website,,osm
Signature Vacation Rentals,Phoenix,,,,,,,,N/A,No website,,osm
STORE Capital,Phoenix,,,,,,,,N/A,No website,,osm
Libertas Real Estate,Phoenix,,,,,,,,N/A,No website,,osm
A-Crew Team,Phoenix,,,,,,,,N/A,No website,,osm
Advanced Real Estate Resources,Phoenix,,,,,,,,N/A,No website,,osm
501c Realty Team,Glendale,AZ,17235 North 75th Avenue,85308,,,,,N/A,No website,,osm
HUNT Real Estate ERA,Phoenix,,,,,,,,N/A,No website,,osm
AZ Associates,Glendale,AZ,17235 North 75th Avenue,85308,,,,,N/A,No website,,osm
WestUSA Realty,Peoria,AZ,16150 North Arrowhead Fountains Center Drive,85382,,,,,N/A,No website,,osm
Diversified Inspections,Peoria,AZ,16140 North Arrowhead Fountains Center Drive,85345,,,,,N/A,No website,,osm
Lund Realty LLC,Phoenix,,,,,,,,N/A,No website,,osm
Real Living Property For You,Phoenix,,,,,,,,N/A,No website,,osm
JAG Development,Phoenix,,,,,,,,N/A,No website,,osm
KRK Realty & Management,Phoenix,,,,,,,,N/A,No website,,osm
JLK Real Estate Investment Corp.,Scottsdale,AZ,6730 East Mcdowell Road,85257,,,,,N/A,No website,,osm
Take ll Investments,Phoenix,,,,,,,,N/A,No website,,osm
Invest In AZ Properties,Phoenix,,,,,,,,N/A,No website,,osm
E&G Real Estate Services,Phoenix,,,,,,,,N/A,No website,,osm
Menlo Group,Phoenix,,,,,,,,N/A,No website,,osm
We Buy Houses,Phoenix,,,,,,,,N/A,No website,,osm
Golden Valley Property Management,Phoenix,,,,,,,,N/A,No website,,osm
Associated Asset Management,Phoenix,,,,,,,,N/A,No website,,osm
Foursite,Phoenix,,,,,,,,N/A,No website,,osm
AMH,Phoenix,,,,,,,,N/A,No website,,osm
NetWorth Realty,Phoenix,,,,,,,,N/A,No website,,osm
The Restaurant Brokers,Phoenix,,,,,,,,N/A,No website,,osm
Valley Income Properties,Phoenix,,,,,,,,N/A,No website,,osm
Redfin | Phoenix Real Estate Agents,Phoenix,,,,,,,,N/A,No website,,osm
RSDS LLC,Phoenix,,,,,,,,N/A,No website,,osm
Silverleaf Realty,Phoenix,,,,,,,,N/A,No website,,osm
AZ Advance Realty,Phoenix,,,,,,,,N/A,No website,,osm
Top Comp Homes,Phoenix,,,,,,,,N/A,No website,,osm
