name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Sunny Massage & Spa,San Diego,,,,,,,,N/A,No website,,osm
Goldring Chiropractic,San Diego,,,,,,,,N/A,No website,,osm
Massage Envy,San Diego,,4911 Clairemont Drive,92117,,,,,N/A,No website,,osm
Lucky Foot Massage,San Diego,,,,,,,,N/A,No website,,osm
So Relax,San Diego,,,,,,,,N/A,No website,,osm
Foot Massage,San Diego,CA,5375 Kearny Villa Road,92123,,,,,N/A,No website,,osm
Happy Foot Massage,San Diego,,,,,,,,N/A,No website,,osm
Chinese Acupuncture and Massage,San Diego,,,,,,,,N/A,No website,,osm
Mesa Spa,San Diego,,,,,,,,N/A,No website,,osm
Massage and Body Care,San Diego,CA,4425 Convoy Street,,,,,,N/A,No website,,osm
Tierrasanta Chiropractic Group,San Diego,,,,,,,,N/A,No website,,osm
iSpa Massage,San Diego,,,,,,,,N/A,No website,,osm
Just Yu Massage,San Diego,,,,,,,,N/A,No website,,osm
Point Loma Foot Massage,San Diego,,,,,,,,N/A,No website,,osm
OB Massage,San Diego,,,,,,,,N/A,No website,,osm
Comfort Spa,San Diego,CA,10601 Tierrasanta Boulevard,92124,,,,,N/A,No website,,osm
Osaka Oriental Spa,San Diego,,,,,,,,N/A,No website,,osm
The Balanced Bear,San Diego,,,,,,,,N/A,No website,,osm
Shara Boutique,San Diego,,,,,,,,N/A,No website,,osm
La Jolla Village Acupuncture,San Diego,,,,,,,,N/A,No website,,osm
Waring Massage Spa,San Diego,CA,5154 Waring Road,92120,,,,,N/A,No website,,osm
Thai Massage,San Diego,,,,,,,,N/A,No website,,osm
Convoy Massage,San Diego,CA,4690 Convoy Street,92111,+1 858-571-9999,,,,N/A,No website,,osm
SpaTerre,San Diego,,,,,,,,N/A,No website,,osm
Sakura Massage,San Diego,CA,3860 Convoy Street,92111,+1 858-505-9988,,,,N/A,No website,,osm
Heng Long Ginseng,San Diego,CA,7330 Clairemont Mesa Boulevard,92111,,,,,N/A,No website,,osm
Massage Super,San Diego,,,,,,,,N/A,No website,,osm
Envision,San Diego,CA,Alvarado Canyon Road,,,,,,N/A,No website,,osm
Aart Massage,San Diego,,8028,,,,,,N/A,No website,,osm
JH Massage,San Diego,,,,,,,,N/A,No website,,osm
Saigon Massage,San Diego,,,,,,,,N/A,No website,,osm
