name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Bah's Hair Braiding,Evanston,IL,309 Howard Street,60202,,,,,N/A,No website,,osm
Mandy Nail,Evanston,IL,335 Howard Street,60202,,,,,N/A,No website,,osm
Nail Fairy & Spa,Chicago,,,,,,,,N/A,No website,,osm
Mona's Beauty Salon,Chicago,IL,1150 West Belmont Avenue,60657,,,,,N/A,No website,,osm
Hairitics... Dye For Your Beliefs,Chicago,IL,2340 North Milwaukee Avenue,60647,,,,,N/A,No website,,osm
Gina Salon,Skokie,IL,Dempster Street,60076,,,,,N/A,No website,,osm
Perfectly Polished Nail Salon,Skokie,IL,Dempster Street,60076,,,,,N/A,No website,,osm
675 Nails,Skokie,IL,Dempster Street,60076,,,,,N/A,No website,,osm
Nuevo Estilo,Chicago,,,,,,,,N/A,No website,,osm
Lina's Beauty Salon,Chicago,,,,,,,,N/A,No website,,osm
Avenue Hairstyling,Evanston,,919 Chicago Avenue,60202,+1-847-475-9115,,,,N/A,No website,,osm
Celebrity Salon,Evanston,,1041B Chicago Avenue,60202,,,,,N/A,No website,,osm
Luminosity,Evanston,,941 Chicago Avenue,60202,+1-847-869-7514,,,,N/A,No website,,osm
Rock Star Nails & Spa,Evanston,IL,635 Chicago Avenue,60202,,,,,N/A,No website,,osm
Indira Aveda Salon Spa,Chicago,IL,3337 North Southport Avenue,60657,+1 773 348 3838,,,,N/A,No website,,osm
Dazzle Nails,Evanston,IL,628 Church Street,60201,+1-847-905-0204,,,,N/A,No website,,osm
Eyebrow Plus,Evanston,IL,706 Church Street,60201,,,,,N/A,No website,,osm
Avenue Nail Spa,Evanston,,1239 Chicago Avenue,60202,,,,,N/A,No website,,osm
The Comb,Evanston,IL,729 Chicago Avenue,,,,,,N/A,No website,,osm
Choice Beauty,Evanston,IL,319 Howard Street,60202,,,,,N/A,No website,,osm
Michèle Lamothe Salon,Evanston,IL,609 Howard Street,60202,,,,,N/A,No website,,osm
Beards & Bellas,Evanston,IL,751 Howard Street,60202,,,,,N/A,No website,,osm
Tia Nails - Nail Salon Evanston,Evanston,IL,2304 Main Street,60202,,,,,N/A,No website,,osm
Main Beauty Supply,Evanston,,838 Dodge Avenue,60202,,,,,N/A,No website,,osm
BeauVie Nail Studio,Evanston,IL,844 Dodge Avenue,60202,,,,,N/A,No website,,osm
Exhale Spa,Evanston,IL,846 Dodge Avenue,60202,,,,,N/A,No website,,osm
Evanston Nails,Evanston,IL,1158 Dodge Avenue,60202,,,,,N/A,No website,,osm
Joe's Hair Salon,Evanston,IL,1314 Chicago Avenue,60201,,,,,N/A,No website,,osm
Beauty Spot,Evanston,,607 Dempster Street,60201,+1-847-864-2167,,,,N/A,No website,,osm
Frida Hair Studio,Evanston,,1005 Davis Street,60201,+1-847-332-2324,,,,N/A,No website,,osm
Egea Spa,Evanston,IL,1521 Sherman Avenue,60201,,,,,N/A,No website,,osm
Jay's Barber Shop,Evanston,IL,1579 Maple Avenue,60201,,,,,N/A,No website,,osm
Edessa's Salon,Evanston,IL,1609 Chicago Avenue,60201,+1-847-475-2727,,,,N/A,No website,,osm
Vincent & Company,Evanston,IL,1626 Orrington Avenue,60201,,,,,N/A,No website,,osm
Kiara Nail Spa,Evanston,IL,1633 Chicago Avenue,60201,,,,,N/A,No website,,osm
Elegance Salon & Barbershop,Evanston,IL,1704 Sherman Avenue,60201,,,,,N/A,No website,,osm
Semper Laser Hair Removal,Evanston,IL,900 Church Street,60201,,,,,N/A,No website,,osm
Vera's Hair Salon,Evanston,,810 Clark Street,60201,,,,,N/A,No website,,osm
Eva Nails,Evanston,IL,824 Clark Street,60201,,,,,N/A,No website,,osm
INail,Chicago,IL,711 West 43rd Street,60609,,,,,N/A,No website,,osm
Joe's Barbershop,Chicago,IL,643 West 43rd Street,60609,,,,,N/A,No website,,osm
Pete's Barber Shop,Chicago,IL,2875 North Elston Avenue,60618,,,,,N/A,No website,,osm
Sephora,Chicago,,,,,,,,N/A,No website,,osm
Salon Exhale,Chicago,,,,,,,,N/A,No website,,osm
Haley's African Hair Braiding,Chicago,,,,,,,,N/A,No website,,osm
B Selfish,Chicago,,,,,,,,N/A,No website,,osm
Hair 4 U Salon,Chicago,,,,,,,,N/A,No website,,osm
Guyse Salon of Beauty,Chicago,,,,,,,,N/A,No website,,osm
Dubose Barber Shop,Chicago,,,,,,,,N/A,No website,,osm
Sparrow,Chicago,IL,2545 North Milwaukee Avenue,60647,,,,,N/A,No website,,osm
The Bird's Nest,Chicago,,,,,,,,N/A,No website,,osm
Marin Hair,Chicago,,2500 North California Avenue,,,,,,N/A,No website,,osm
Lush,Chicago,,,,,,,,N/A,No website,,osm
Pink Nail Spa,Chicago,,,,,,,,N/A,No website,,osm
Art + Science,Chicago,,,,,,,,N/A,No website,,osm
Salon M-Oka,Chicago,,,,,,,,N/A,No website,,osm
Wicked Nails,Chicago,,,,,,,,N/A,No website,,osm
Asia Nails,Chicago,,,,,,,,N/A,No website,,osm
Trim,Chicago,,,,,,,,N/A,No website,,osm
Aesop,Chicago,,1653 North Damen Avenue,,,,,,N/A,No website,,osm
Logan Square Nail Salon,Chicago,IL,2453 North Milwaukee Avenue,60647,,,,,N/A,No website,,osm
Chez Francis Salon,Chicago,,,,,,,,N/A,No website,,osm
Ruby Room,Chicago,,,,,,,,N/A,No website,,osm
Winchester Club,Chicago,,,,,,,,N/A,No website,,osm
Yohel's Barber Shop,Chicago,IL,2834 West Fullerton Avenue,60647,,,,,N/A,No website,,osm
Penny Lane,Chicago,IL,2658 North Sawyer Avenue,60647,,,,,N/A,No website,,osm
Kiehl's,Chicago,IL,520 North Michigan Avenue,60611,,,,,N/A,No website,,osm
Nail Perfection,Chicago,,,,,,,,N/A,No website,,osm
Floyd's Barber Shop,Chicago,,,,,,,,N/A,No website,,osm
Look's Nails,Chicago,,,,,,,,N/A,No website,,osm
Spa DaBin,Chicago,,,,,,,,N/A,No website,,osm
Who's Next,Chicago,,,,,,,,N/A,No website,,osm
Savvy Coif,Chicago,,,,,,,,N/A,No website,,osm
Today's Avon,Chicago,,,,,,,,N/A,No website,,osm
Luxe Blue,Chicago,,,,,,,,N/A,No website,,osm
