name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Midas,Miami,,,,,,,,N/A,No website,"Create a luxurious online presence for Midas in Miami, reflecting their high-end service and exceptional customer experience.",osm
Motorcycles of miami,Miami,,,,,,,,N/A,No website,Get your engines revving: create a high-performance website that showcases Motorcycles of Miami's sleek rides.,osm
Magic Touch Auto Body Shop Wizard,Miami,FL,10325,,,,,,N/A,No website,Revamp your auto body shop's image with a modern website that showcases your Miami magic.,osm
Car Repair,Miami,,,,,,,,N/A,No website,"Get your Miami car repairs online with a mobile-friendly website, reaching 1.5 million local drivers.",osm
Autobahn Car Services,Miami,FL,7245 Southwest 42nd Terrace,33155,,,,,N/A,No website,Get on the road to success with a professional website for Autobahn Car Services in Miami.,osm
Motor City Miami,Miami,FL,7248 Southwest 42nd Terrace,33155,,,,,N/A,No website,Give Motor City Miami a sleek online presence to rev up bookings and fuel their automotive business.,osm
Tire Kingdom,Miami,FL,8790 Southwest 24th Street,33165,,,,,N/A,No website,Elevate Tire Kingdom's online presence in Miami with a modern website that drives sales and builds customer loyalty.,osm
Motor Fix Auto Repair,Miami,FL,8718 Southwest 25th Street,33165,,,,,N/A,No website,Get more customers in the driver's seat with a professional website for Motor Fix Auto Repair in Miami.,osm
West Miami Paint and Body Shop,West Miami,FL,6468 Southwest 8th Street,33144,+1-305-266-5226,,,,N/A,No website,Bring West Miami Paint and Body Shop into the digital age with an informative and visually appealing website.,osm
Abana Auto,Miami,FL,222 Southwest 22nd Avenue,33135,,,,,N/A,No website,Give Abana Auto a digital edge with a professional website showcasing their services and Miami expertise.,osm
Shorty & Fred's Auto Repair,Miami,,1520 Alton Road,,,,,,N/A,No website,Get your car back on the road with a website that fixes your online presence.,osm
Tints2Go,Miami,,,,,,,,N/A,No website,Elevate your brand with a sleek website showcasing Tints2Go's automotive expertise to Miami's car enthusiasts.,osm
Goodyear,Doral,FL,7902 Northwest 36th Street,33166,,,,,N/A,No website,"Create a user-friendly website to showcase Goodyear's Doral services, products, and promotions, driving local customers in.",osm
Firestone,Miami,,,,,,,,N/A,No website,"Transform your Miami presence with a custom Firestone website, reaching customers and boosting sales.",osm
Gabriel's Speciality Autobodyshop,Miami,,,33186,+1-305-542-0957,,,,N/A,No website,Establish a strong online presence in Miami to attract customers and boost Gabriel's Autobody shop's reputation.,osm
Jiffy Lube,Miami,,,,,,,,N/A,No website,We'll help Jiffy Lube Miami shift into high gear with a website that drives customers and revenue.,osm
"Tech & Tire, CORP.",Miami,,,,,,,,N/A,No website,"Transform Tech & Tire's offline presence online, showcasing Miami's leading auto solutions to a wider audience.",osm
NAPA Auto Parts,Miami,,,,,,,,N/A,No website,Get a website that drives sales and puts NAPA Auto Parts at the wheel in Miami's competitive car market.,osm
Tires Max,Miami,,,,+1-305-716-9028,,,,N/A,No website,Get Tires Max on the road to online success with a user-friendly website that drives sales.,osm
Classic Collision,North Miami,FL,1650 Northeast 134th Street,33181,+1-305-381-0317,,,,N/A,No website,Get online and grow your business with a modern website showcasing Classic Collision's repair expertise in North Miami.,osm
Chachy's Auto Tinting,Miami,FL,2601 Northwest 103rd Street,33147,+1-305-696-7798,,,,N/A,No website,Transform your car's look with custom tinting - let Chachy's Auto Tinting in Miami help.,osm
Goodyear,Miami,,,,,,,,N/A,No website,"Get ready to roll with a digital presence, Miami - a Goodyear website is long overdue.",osm
Yolanda Tires,Hialeah,FL,2045 East 4th Avenue,33010,+1-786-222-2060,,,,N/A,No website,Get noticed in Hialeah with a website showcasing Yolanda Tires' services and competitive pricing.,osm
