name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Channel District;Salon 1.0,Tampa,FL,101 South 12th Street,33602,,,,,N/A,No website,,osm
Zoom Tan,Tampa,,,,,,,,N/A,No website,,osm
Hair Studio,Tampa,FL,E Fletcher Ave,33612,,,,,N/A,No website,,osm
City Nails,Tampa,FL,1441 E Fletcher Ave,33612,,,,,N/A,No website,,osm
Boom Hair,Tampa,FL,1441 E Fletcher Ave #131,33612,,,,,N/A,No website,,osm
Universal Hair Styles,Tampa,FL,1402 E Fletcher Ave,33612,,,,,N/A,No website,,osm
Barbers' Extraordinare,Tampa,FL,2002 E Fletcher Ave,33612,,,,,N/A,No website,,osm
Noara Beauty Boutique,Tampa,,,,,,,,N/A,No website,,osm
Upper Cuts,Tampa,,,,,,,,N/A,No website,,osm
Star Beauty Supply/Beauty Salon,Tampa,FL,E Fletcher Ave,33612,,,,,N/A,No website,,osm
Tampa Woman's Health Center,Tampa,,,,,,,,N/A,No website,,osm
Mama's Beauty Supply & Salon,Tampa,FL,E Fletcher Ave,33612,,,,,N/A,No website,,osm
Queen's African Hair,Tampa,FL,1908 E Fletcher Ave,33612,,,,,N/A,No website,,osm
Precious Nails,Tampa,FL,1908 E Fletcher Ave,33612,,,,,N/A,No website,,osm
Lady's 1st Beauty Salon,Tampa,FL,1515 E Fletcher Ave,33612,,,,,N/A,No website,,osm
Miracales in Motion Hair & Barber,Tampa,FL,1518 E Fletcher Ave,33612,,,,,N/A,No website,,osm
Hair's the Way Salon,Tampa,,,,,,,,N/A,No website,,osm
Salon Kynnedi,Tampa,,,,,,,,N/A,No website,,osm
Planet Beach,Tampa,,,,,,,,N/A,No website,,osm
Elite Nails,Tampa,,,,,,,,N/A,No website,,osm
Elegant Nails & Spa,Tampa,,,,,,,,N/A,No website,,osm
Nail Image and Tan,Tampa,,,,,,,,N/A,No website,,osm
Tan USA,Tampa,,,,,,,,N/A,No website,,osm
Badar's Hair 'n' All,Tampa,,,,,,,,N/A,No website,,osm
T P Nails & Spa,Tampa,,,,,,,,N/A,No website,,osm
Cindy Nails,Tampa,,,,,,,,N/A,No website,,osm
B-Snipped Barber Shop,Tampa,,,,,,,,N/A,No website,,osm
Diamond Beauty Supply,Tampa,,,,,,,,N/A,No website,,osm
Prerana's Beauty & Boutique,Tampa,,,,,,,,N/A,No website,,osm
Salon One,Tampa,,,,,,,,N/A,No website,,osm
1 Stop Beauty Shop,Tampa,,,,,,,,N/A,No website,,osm
Alex's Barber Shop,Tampa,,,,,,,,N/A,No website,,osm
SerenBe Day Spa,Tampa,,,,,,,,N/A,No website,,osm
Tahitian Gold Salon & Spa,Tampa,,,,,,,,N/A,No website,,osm
Entorage Hair & Body Salon,Tampa,,,,,,,,N/A,No website,,osm
Moe's Barber Shop,Tampa,,,,,,,,N/A,No website,,osm
Lutz Haircutters,Tampa,,,,,,,,N/A,No website,,osm
Rick's Barber Shop,Tampa,,7137 N Armenia Ave,33604-5263,,,,,N/A,No website,,osm
Jazz it Up,Tampa,,,,,,,,N/A,No website,,osm
Amerinails,Tampa,,,,,,,,N/A,No website,,osm
Aveda Salon,Tampa,,,,,,,,N/A,No website,,osm
Asian Nails,Saint Petersburg,FL,11012 4th Street North,33716,,,,,N/A,No website,,osm
Tanning,Saint Petersburg,FL,4th Street North,33716,,,,,N/A,No website,,osm
Big League Haircuts,Tampa,FL,West Hillsborough Avenue,33635,,,,,N/A,No website,,osm
Signature Nails & Spa,Saint Petersburg,FL,Roosevelt Boulevard North,33716,,,,,N/A,No website,,osm
Millennium Salon & Spa,Tampa,,,,,,,,N/A,No website,,osm
Bangz Salon & Spa,Tampa,,West Kennedy Boulevard,,,,,,N/A,No website,,osm
Westshore Nails & Spa,Tampa,,,,,,,,N/A,No website,,osm
Sharp Expressions,Tampa,,4307 West Kennedy Boulevard,,,,,,N/A,No website,,osm
Tampa's Nails,Tampa,,4325 West Kennedy Boulevard,,,,,,N/A,No website,,osm
Manicures Spa Pedicure,Tampa,,3217C South Macdill Avenue,,,,,,N/A,No website,,osm
Barber Shop,Tampa,,,,,,,,N/A,No website,,osm
Day Spa,Tampa,,,,,,,,N/A,No website,,osm
Organic Nail Bar,Saint Petersburg,FL,10308 Roosevelt Boulevard North,,,,,,N/A,No website,,osm
Tribeca Coloursalon,Tampa,,,,,,,,N/A,No website,,osm
Oriental Nails,Tampa,,,,,,,,N/A,No website,,osm
Cicely's Beauty Supply,Tampa,,,,,,,,N/A,No website,,osm
Lee Nails,Tampa,FL,International Plaza,33607,,,,,N/A,No website,,osm
Toni & Guy,Tampa,FL,Suite 103 International Plaza,33607,,,,,N/A,No website,,osm
Bangz Salon,Tampa,,,,,,,,N/A,No website,,osm
T & L Nails,Tampa,FL,304 East Davis Boulevard,33606,+1-813-259-9920,,,,N/A,No website,,osm
Kendra & Co,Tampa,FL,403 West Grand Central Avenue,33606,,,,,N/A,No website,,osm
Tribeca Salon,Tampa,FL,920 West Kennedy Boulevard,33606,,,,,N/A,No website,,osm
SOHO Wellness & Med Spa,Tampa,FL,103 South Boulevard,33606,,,,,N/A,No website,,osm
Unique Nails and Spa,Tampa,,,,,,,,N/A,No website,,osm
The Lash Lounge,Tampa,,,,,,,,N/A,No website,,osm
Noire Nails and Spa,Tampa,FL,4033 South Dale Mabry Highway,,,,,,N/A,No website,,osm
Brow Art 23,Tampa,,,,,,,,N/A,No website,,osm
The Barber Lounge II,Tampa,,,,,,,,N/A,No website,,osm
World of Beauty,Tampa,,,,,,,,N/A,No website,,osm
Bath & Body Works,Tampa,,,,,,,,N/A,No website,,osm
Sephora,Tampa,,,,,,,,N/A,No website,,osm
Royale,Tampa,,,,,,,,N/A,No website,,osm
Venus Med Spa,Tampa,,,,,,,,N/A,No website,,osm
Paul Mitchell The School,Tampa,,,,,,,,N/A,No website,,osm
