name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Dazzle Beauty Salon,New York,,,,,,,,N/A,No website,,osm
Nail One,New York,,,,,,,,N/A,No website,,osm
Charming Nails,New York,,,,+1-718-638-5320,,,,N/A,No website,,osm
Almonte Casual,New York,,506 39th Street,11232,+1-718-360-0994,,,,N/A,No website,,osm
Sephora,New York,,,,,,,,N/A,No website,,osm
Barry Gordin Hair Design,New York,NY,4 Morton Street,10014,+1-212-242-6209,,,,N/A,No website,,osm
Bath & Body Works,New York,,Lexington Avenue,,,,,,N/A,No website,,osm
City Barber Shop,New York,,,,+1-212-682-5166,,,,N/A,No website,,osm
Benny's Barber Shop,New York,,809 Franklin Avenue,11216,+1-718-637-1200,,,,N/A,No website,,osm
Harlyn Barber Shop,New York,,,,+1-347-365-5780,,,,N/A,No website,,osm
You Barber Shop,New York,,,,,,,,N/A,No website,,osm
Marlenes,New York,,,,,,,,N/A,No website,,osm
Locks 'n Chops,New York,,365 West 34th Street,10001,,,,,N/A,No website,,osm
Nyx,New York,NY,41 Union Square West,10003,,,,,N/A,No website,,osm
José-Ismael Barber Shop,New York,NY,2587 Broadway,10025,+1-646-952-0113,,,,N/A,No website,,osm
Yissel Beauty Salon,New York,,728 Sterling Place,11216,+1-718-783-2198,,,,N/A,No website,,osm
Shear Madness Salon,Hoboken,NJ,81 Park Avenue,07030,,,,,N/A,No website,,osm
David's Barber Shop,New York,,,,,,,,N/A,No website,,osm
Solomon's Classic Barber Shop,New York,NY,104 West 96th Street,10025,+1-212-663-6207,,,,N/A,No website,,osm
Daniel's Barbershop,New York,NY,230 West 99th Street,10025,+1-646-429-8332,,,,N/A,No website,,osm
Soul Beauty Plus,New York,,,,+1-718-564-4864,,,,N/A,No website,,osm
Dream Nails,New York,,,,+1-718-221-8018,,,,N/A,No website,,osm
Refresh Nail & Spa,New York,NY,2528 Broadway,10025,+1-917-261-4396,,,,N/A,No website,,osm
Perfect Brows NYC,New York,,,,+1-212-785-0233,,,,N/A,No website,,osm
Lys Nail & Spa Corp,Brooklyn,NY,312 Bedford Avenue,11249,+1-718-388-0909,,,,N/A,No website,,osm
Jolie Toi Salon and Spa,New York,,,,,,,,N/A,No website,,osm
Theater Hair Salon,New York,NY,671 Amsterdam Avenue,10025,,,,,N/A,No website,,osm
Beauty Supply Plaza,Bronx,,32 Mount Eden Avenue,,+1-718-731-3100,,,,N/A,No website,,osm
Kenny Styling,New York,NY,529 Amsterdam Avenue,10024,+1-212-362-1001,,,,N/A,No website,,osm
Nail Salon On 8,New York,,393 8th Avenue,10001,,,,,N/A,No website,,osm
Broadway Unisex Barbershop,New York,,,,,,,,N/A,No website,,osm
Kiehl's,New York,,,,,,,,N/A,No website,,osm
Franks Barbershop,New York,,66A Argyle Road,11218,+1-718-928-7102,,,,N/A,No website,,osm
El Angel,New York,,66B Argyle Road,11218,+1-718-287-2783,,,,N/A,No website,,osm
Pinky,New York,,2079 86th Street,11214,+1-718-373-1818,,,,N/A,No website,,osm
Cobble Nails & Spa,New York,,,,+1-718-222-0021,,,,N/A,No website,,osm
Doo's Barber Shop,New York,,,,+1-718-624-8769,,,,N/A,No website,,osm
Salon 718,New York,,,,+1-718-802-9200,,,,N/A,No website,,osm
Timbuktu,New York,,1178 Bedford Avenue,11216,+1-718-622-0180,,,,N/A,No website,,osm
Hair By Nami,New York,,,,,,,,N/A,No website,,osm
Reymond Barbershop,New York,,1914 Church Avenue,11226,,,,,N/A,No website,,osm
Naye African Hair Braiding,New York,,736 Nostrand Avenue,11216,+1-718-493-3302,,,,N/A,No website,,osm
Sunny Nail & Salon,New York,,758B Nostrand Avenue,11216,,,,,N/A,No website,,osm
QQ Nails & Spa,New York,NY,167 Amsterdam Avenue,10023,,,,,N/A,No website,,osm
GE DUN Beauty & Nail Salon,New York,,260 Kings Highway,11223,,,,,N/A,No website,,osm
Design Z&L Nails,New York,,1015 Cortelyou Road,11218,+1-718-462-8526,,,,N/A,No website,,osm
Genesis Salon,New York,,,,+1-929-289-5197,,,,N/A,No website,,osm
Wi Nail & Spa,New York,,490 Court Street,11231,+1-718-935-1700,,,,N/A,No website,,osm
Juniors Barber Shop,New York,,1617 Cortelyou Road,11226,,,,,N/A,No website,,osm
L & C Natural Nail,New York,,1619 Cortelyou Road,11226,+1-718-826-2371,,,,N/A,No website,,osm
Ten Colors Nail,New York,,,,+1-347-799-1128,,,,N/A,No website,,osm
Marigold Beauty Space,New York,,96 Henry Street,11201,,,,,N/A,No website,,osm
