name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Massage Green,Dallas,,,,,,,,N/A,No website,,osm
Massage Envy,Dallas,,,,,,,,N/A,No website,,osm
Healing Foot Spa,Dallas,,7734 Forest Lane,,,,,,N/A,No website,,osm
Camp Wisdom Back & Neck Care Center,Duncanville,TX,217 East Camp Wisdom Road,75116,+1-972-296-6173,,,,N/A,No website,,osm
Vitalife Wellness,Dallas,,,,,,,,N/A,No website,,osm
O'Chi Reflexology,Dallas,,,,,,,,N/A,No website,,osm
Elevate Sports Recovery,Dallas,,,,+1-972-807-2380,,,,N/A,No website,,osm
Modern Acupuncture,Dallas,,,,,,,,N/A,No website,,osm
Day Massage,Dallas,,,,,,,,N/A,No website,,osm
Star Massage,Dallas,,,,,,,,N/A,No website,,osm
Blackwell Chiropractic,Dallas,,,,,,,,N/A,No website,,osm
King Foot Massage,Dallas,,5834 Abrams Road,,,,,,N/A,No website,,osm
Sole Therapy,Dallas,,,,,,,,N/A,No website,,osm
Aligned Chiropractic,Dallas,,,,+1-972-213-8559,,,,N/A,No website,,osm
Sala Massage & Spa,Dallas,TX,11811 Preston Road,75230,,,,,N/A,No website,,osm
Foot Therapy,Dallas,,,,,,,,N/A,No website,,osm
Live Oak Massage & Foot Spa,Dallas,,2819 Live Oak Street,,,,,,N/A,No website,,osm
Luna Massage,Dallas,,9540 Garland Road,,,,,,N/A,No website,,osm
Tri Massage & Bodywork,Dallas,,9533 Losa Drive,,,,,,N/A,No website,,osm
Restoration Dallas,Dallas,,1152 North Buckner Boulevard,,,,,,N/A,No website,,osm
