name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Dodge Fitness Center,New York,NY,,,,,,,N/A,No website,,osm
Greenpoint Branch YMCA,New York,NY,95 Meserole Avenue,11222,,,,,N/A,No website,,osm
Eastern District YMCA,New York,NY,,,,,,,N/A,No website,,osm
Brownsville Recreation Center,New York,NY,,,,,,,N/A,No website,,osm
McBurney YMCA,New York,NY,,,,,,,N/A,No website,,osm
West Side YMCA,New York,NY,,10023,,,,,N/A,No website,,osm
Cityview Racquet club,New York,,,,,,,,N/A,No website,,osm
YMCA,New York,,,,,,,,N/A,No website,,osm
NYSC,Queens,NY,38-11 30th Avenue,11103,,,,,N/A,No website,,osm
New York Sports Clubs,New York,NY,2527 Broadway,10025,,,,,N/A,No website,,osm
Barry's,New York,,,,,,,,N/A,No website,,osm
RC Aircraft Flying,New York,,,,,,,,N/A,No website,,osm
Astoria Dance Center,New York,,,,,,,,N/A,No website,,osm
Re.Form,New York,,534 Henry Street,11231,,,,,N/A,No website,,osm
Everyday Athlete,New York,,130 Clinton Street,11201,,,,,N/A,No website,,osm
A•Line Pilates,New York,,236 Carroll Street,11231,,,,,N/A,No website,,osm
Renew'd,New York,,,,+1-929-284-7272,,,,N/A,No website,,osm
Hotworx,New York,NY,784 Broadway,10003,+1-212-970-7099,,,,N/A,No website,,osm
Home,New York,,130 Nevins Street,11217,,,,,N/A,No website,,osm
Yoga Tai-Chi Brain Respiration Training,New York,,,,,,,,N/A,No website,,osm
The Furnace,New York,,8302 5th Avenue,11209,+1-347-492-0352,,,,N/A,No website,,osm
Champion's Tae Kwon Do,New York,,,,+1-718-436-5425,,,,N/A,No website,,osm
Panda King's Taekwondo,New York,,5701 6th Avenue,11220,+1-646-824-6661,,,,N/A,No website,,osm
Harbor Fitness Go,Brooklyn,NY,2825 Nostrand Avenue,11234,,,,,N/A,No website,,osm
PingPod Club,New York,NY,42 Allen Street,10002,,,,,N/A,No website,,osm
Seeva,New York,,,,,,,,N/A,No website,,osm
Warriors Nation,New York,,166 Water Street,11201,,,,,N/A,No website,,osm
Richie's Gym,New York,,6 Stanwix Street,11206,,,,,N/A,No website,,osm
"Dani Scher, LLC",New York,,,,,,,,N/A,No website,,osm
Golf & Body,New York,,883 6th Avenue,10001,,,,,N/A,No website,,osm
JetSet Modern Pilates,New York,,257 3rd Avenue,10010,,,,,N/A,No website,,osm
Throwback Fitness,New York,NY,303 5th Avenue,10016,,,,,N/A,No website,,osm
