name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Magnolia Village Barber Shop,Seattle,,2229 32nd Avenue West,98199,,,,,N/A,No website,,osm
Vixen,Seattle,,3209 West McGraw Street,98199,,,,,N/A,No website,,osm
Henry Simmons Salon,Seattle,,2430 32nd Avenue West,98199,,,,,N/A,No website,,osm
Magnolia Skin Care,Seattle,,3414 West McGraw Street,98199,,,,,N/A,No website,,osm
Golden Nails & Spa,Seattle,,3409 West McGraw Street,98199,+1 206-283-0819,,,,N/A,No website,,osm
Kings Den,Seattle,WA,219 James Street,98104,+1-509-820-1666,,,,N/A,No website,,osm
Clean Cut,Seattle,WA,221 James Street,98104,+1-206-340-1885,,,,N/A,No website,,osm
University Avenue Barbershop,Seattle,,4219 University Way Northeast,98105,,,,,N/A,No website,,osm
Sephora,Seattle,,2676 Northeast University Village Street,98105,,,,,N/A,No website,,osm
Seattle Sun Tan,Seattle,,4606 25th Avenue Northeast,98105,,,,,N/A,No website,,osm
Eastlake Hair,Seattle,,,,+1-206-778-9388,,,,N/A,No website,,osm
SkinSpirit,Seattle,,2692 Northeast 49th Street,98105,,,,,N/A,No website,,osm
Admiral Nail Salon,Seattle,WA,4219 Southwest Admiral Way,98116,,,,,N/A,No website,,osm
Apollo Nails,Seattle,,2128 Queen Anne Avenue North,98109,,,,,N/A,No website,,osm
13 Boston Hair Design,Seattle,,,,,,,,N/A,No website,,osm
Bostonian Barber Shop,Seattle,,,,,,,,N/A,No website,,osm
Have Good Nail,Seattle,,2207 Queen Anne Avenue North,98109,,,,,N/A,No website,,osm
Mosaic Salon & Spa,Seattle,WA,816 1st Avenue,98104,,,,,N/A,No website,,osm
Salon Mercury,Seattle,,,,,,,,N/A,No website,,osm
Mac & Milo's,Seattle,,423 15th Avenue East,98112,,,,,N/A,No website,,osm
Integra Hair Design,Seattle,,521 15th Avenue East,98112,,,,,N/A,No website,,osm
Om Threading Salon,Seattle,,422 Broadway East,98102,+1-206-643-8876,,,,N/A,No website,,osm
Hardware,Seattle,,424 Broadway East,98102,+1-206-329-5392,,,,N/A,No website,,osm
Tropical Tan,Seattle,WA,261 Northeast 45th Street,98105,,,,,N/A,No website,,osm
Folio,Seattle,,267 Northeast 45th Street,98105,,,,,N/A,No website,,osm
Maison Blanc,Seattle,,4429 Wallingford Avenue North,98103,,,,,N/A,No website,,osm
Steven Cole Salon,Seattle,,,,,,,,N/A,No website,,osm
Vybrant,Seattle,,6203 15th Avenue Northwest,98107,,,,,N/A,No website,,osm
Ballard Barber Shop,Seattle,,6207 15th Avenue Northwest,98107,,,,,N/A,No website,,osm
White Lotus,Seattle,,5350 Ballard Avenue Northwest,98107,,,,,N/A,No website,,osm
Mosaic Salon + Spa,Seattle,,5400 Leary Avenue Northwest,98107,,,,,N/A,No website,,osm
Lashy Baby,Seattle,,4356 Leary Way Northwest,98107,,,,,N/A,No website,,osm
Royal Nails,Seattle,,7725 24th Avenue Northwest,98117,,,,,N/A,No website,,osm
Ann's Hair Salon & Nails,Seattle,,7551 15th Avenue Northwest,98117,+1-206-706-3180,,,,N/A,No website,,osm
Two Smiling Feet,Seattle,,600 North 36th Street,98103,,,,,N/A,No website,,osm
Asterie Hair Collective,Seattle,,3603 Woodland Park Avenue North,98103,,,,,N/A,No website,,osm
Zerø.,Seattle,WA,1519 Queen Anne Avenue North,98109,,,,,N/A,No website,,osm
Pro Nails,Seattle,WA,1523 Queen Anne Avenue North,98109,,,,,N/A,No website,,osm
Lake City Hair Salon,Seattle,,12530 Lake City Way Northeast,,,,,,N/A,No website,,osm
Salon Swagger,Seattle,,201 Summit Avenue East,98102,,,,,N/A,No website,,osm
SUGARINGNYC,Seattle,,511 Broadway East,98102,,,,,N/A,No website,,osm
Starling,Seattle,,131 15th Avenue East,98112,,,,,N/A,No website,,osm
Noveau,Seattle,,1315 East Pine Street,98122,,,,,N/A,No website,,osm
Gary Manuel Aveda Institute,Seattle,,1514 10th Avenue,98122,,,,,N/A,No website,,osm
Bowie Salon & Spa,Seattle,WA,1507 Belmont Avenue,98122,,,,,N/A,No website,,osm
High Maintenance,Seattle,,1706 Bellevue Avenue,98122,,,,,N/A,No website,,osm
Radiant Waxing,Seattle,WA,317 East Pine Street,98122,,,,,N/A,No website,,osm
Aesop,Seattle,WA,321 East Pine Street,98122,+1-206-403-1449,,,,N/A,No website,,osm
Frank's Barber & Beauty Shop,Seattle,WA,1026 Madison Street,98104,+1-206-747-3636,,,,N/A,No website,,osm
Sports Hair Salon,Seattle,,1103 Boylston Avenue,98101,,,,,N/A,No website,,osm
Vain,Seattle,,1121 Pike Street,98101,,,,,N/A,No website,,osm
Benedetto,Seattle,,1125 Pike Street,98101,,,,,N/A,No website,,osm
Kally Threading,Seattle,WA,1418 Harvard Avenue,98122,,,,,N/A,No website,,osm
La Nails & Waxing,Seattle,WA,807 East Pike Street,98122,+1-206-325-4099,,,,N/A,No website,,osm
SalonBar-Kon,Seattle,WA,1416 Boylston Avenue,98122,+1-206-890-6675,,,,N/A,No website,,osm
Welcome Nails,Seattle,,930 Northeast 43rd Street,98105,,,,,N/A,No website,,osm
May Salon,Seattle,,2950 Eastlake Avenue East,98102,,,,,N/A,No website,,osm
Tenth Avenue Nails & Spa,Seattle,,2358 10th Avenue East,98102,,,,,N/A,No website,,osm
5 Shades of Fades,Seattle,,810 Northwest 85th Street,98117,,,,,N/A,No website,,osm
Michannes Salon,Seattle,WA,304 North 125th Street,98133,,,,,N/A,No website,,osm
KAnder Salon,Seattle,,7106 Greenwood Avenue North,98103,,,,,N/A,No website,,osm
Glamour Nails,Seattle,,7722 Aurora Avenue North,98103,+1-206-523-7421,,,,N/A,No website,,osm
K Hair Salon,Seattle,,4211 University Way Northeast,98105,+1-206-633-1535,,,,N/A,No website,,osm
Tight Cuts,Seattle,,4309 University Way Northeast,98105,,,,,N/A,No website,,osm
Shanti Threading Salon,Seattle,,4340 University Way Northeast,98105,,,,,N/A,No website,,osm
Luminati,Seattle,,4546 University Way Northeast,98105,,,,,N/A,No website,,osm
Top Hair Studio,Seattle,,4723 University Way Northeast,98105,,,,,N/A,No website,,osm
Purity Medical Spa,Seattle,,5235 University Way Northeast,98105,,,,,N/A,No website,,osm
Supreme Cutz,Seattle,,5239 University Way Northeast,98105,,,,,N/A,No website,,osm
Lady Neptune,Seattle,,5615 University Way Northeast,98105,,,,,N/A,No website,,osm
Estrella,Seattle,WA,2909 1st Avenue,98121,,,,,N/A,No website,,osm
Sublime Hair,Seattle,WA,405 Cedar Street,98121,,,,,N/A,No website,,osm
Helix Salon,Seattle,WA,2508 5th Avenue,98121,,,,,N/A,No website,,osm
Oui Salon & Spa,Seattle,WA,2207 3rd Avenue,98121,,,,,N/A,No website,,osm
Spa Noir,Seattle,WA,2120 2nd Avenue,98121,,,,,N/A,No website,,osm
