name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Basil Viet Kitchen,Seattle,WA,4002 University Way Northeast,98105,+1-206-566-5136,,,,N/A,No website,,osm
Easy Street Cafe,Seattle,WA,4557 California Avenue Southwest,98116,,,,,N/A,No website,,osm
Indofusion,Seattle,WA,4719 California Avenue Southwest,98116,,,,,N/A,No website,,osm
Lotus on the Beach,Seattle,WA,2768 Alki Avenue Southwest,98116,,,,,N/A,No website,,osm
Nikos Gyros,Seattle,,2231 32nd Avenue West,98199,+1-206-285-4778,,,,N/A,No website,,osm
Kinnaree,Seattle,,3311 West McGraw Street,98199,,,,,N/A,No website,,osm
El Ranchon,Seattle,,3416 West McGraw Street,98199,+1-206-281-9233,,,,N/A,No website,,osm
Gim Wah,Seattle,,3418 West McGraw Street,98199,,,,,N/A,No website,,osm
Ichiro Sushi & Teriyaki,Seattle,,2434 32nd Avenue West,98199,,,,,N/A,No website,,osm
Nutty Squirrel Gelato - Magnolia,Seattle,WA,2425 33rd Avenue West,98199,,,,,N/A,No website,,osm
Smile Thai Cuisine,Seattle,,6411 Latona Avenue Northeast,98115,,,,,N/A,No website,,osm
St. Andrews Bar and Grill,Seattle,WA,7406 Aurora Avenue North,98103,+1-206-523-1193,,,,N/A,No website,,osm
Happy Lemon,Seattle,WA,9025 25th Avenue Southwest,98106,,,,,N/A,No website,,osm
Noodle Bar,Seattle,WA,422 Yale Avenue North,98109,,,,,N/A,No website,,osm
Mexican Bar,Seattle,,,,,,,,N/A,No website,,osm
Fiore Sunset Hill,Seattle,,3125 Northwest 85th Street,98117,+1 206-706-7580,,,,N/A,No website,,osm
Turtle Coffee,Seattle,,,,,,,,N/A,No website,,osm
Tacos & Beer,Seattle,,,,,,,,N/A,No website,,osm
Taqueria Tequila,Seattle,,301 Northwest 85th Street,98117,,,,,N/A,No website,,osm
Las Margaritas,Seattle,,,,,,,,N/A,No website,,osm
Manna Teriyaki,Seattle,,,,,,,,N/A,No website,,osm
Mexican Snack,Seattle,WA,12248 Aurora Avenue North,98133,,,,,N/A,No website,,osm
Chuan House,Seattle,WA,4509 University Way Northeast,98105,,,,,N/A,No website,,osm
Café Urban Bakery,Seattle,WA,7850 East Green Lake Drive North,98103,+1-206-524-7951,,,,N/A,No website,,osm
Bobalust,Seattle,WA,University Way Northeast,98105,,,,,N/A,No website,,osm
Pizza Twist / Taco Twist,Seattle,WA,4549 University Way Northeast,98105,,,,,N/A,No website,,osm
