name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Wynkoop Brewing Company,Denver,CO,1634 18th Street,80202,+1-303-297-2700,,,,N/A,No website,,osm
The Cherry Cricket,Denver,CO,2220 Blake Street,80205,,,,,N/A,No website,,osm
Cactus Club,Denver,CO,1621 Blake Street,80202,,,,,N/A,No website,,osm
"Burnt Barrel, Colorado Spirits & Sports",Denver,CO,1201 16th Street,80202,,,,,N/A,No website,,osm
My Brother's Bar,Denver,CO,2376 15th Street,80202,+1-303-455-9991,,,,N/A,No website,,osm
Cherry Cricket,Denver,,,,,,,,N/A,No website,,osm
Reiver's,Denver,,,,,,,,N/A,No website,,osm
Venice Ristorante,Denver,CO,1700 Wynkoop Street,80202,,,,,N/A,No website,,osm
Cruise Room,Denver,CO,1600 17th Street,80202,,,,,N/A,No website,,osm
Urban Farmer,Denver,CO,1659 Wazee Street,80202,,,,,N/A,No website,,osm
Jax Fish House,Denver,CO,1539 17th Street,80202,+1-303-292-5767,,,,N/A,No website,,osm
Fogo de Chão,Denver,CO,1513 Wynkoop Street,80202,+1-303-623-9600,,,,N/A,No website,,osm
Coyote Ugly,Denver,CO,500 16th Street,80202,,,,,N/A,No website,,osm
The Delectable Egg,Denver,CO,1625 Court Place,80202,,,,,N/A,No website,,osm
Breakfast On Broadway,Denver,,,,,,,,N/A,No website,,osm
Magnet Inn,Denver,,2893 South Broadway,,,,,,N/A,No website,,osm
Heidi's Brooklyn Grill,Denver,CO,555 17th Street,80202,,,,,N/A,No website,,osm
Jelly,Denver,,East Evans Avenue,80210,,,,,N/A,No website,,osm
Stadium Inn,Denver,,,,,,,,N/A,No website,,osm
Scruffy Murphy's,Denver,CO,2030 Larimer Street,80205,+1-303-291-6992,,,,N/A,No website,,osm
Shish Kabob Grill,Denver,CO,1503 Grant Street,80203,,,,,N/A,No website,,osm
City Grille,Denver,CO,321 East Colfax Avenue,80203,,,,,N/A,No website,,osm
China Kitchen,Denver,CO,406 East Colfax Avenue,80203,,,,,N/A,No website,,osm
Great Wall Chinese Food,Denver,CO,440 East Colfax Avenue,80203,,,,,N/A,No website,,osm
Pete's Steak House,Denver,CO,514 East Colfax Avenue,80203,,,,,N/A,No website,,osm
1up Colfax Arcade & Bar,Denver,CO,717 East Colfax Avenue,80203,,,,,N/A,No website,,osm
Velvet Banjo,Denver,CO,741 East Colfax Avenue,80203,+1-303-862-9555,,,,N/A,No website,,osm
Good Times,Denver,CO,808 East Colfax Avenue,80218,,,,,N/A,No website,,osm
Pita Grill and Hookah,Denver,CO,911 East Colfax Avenue,80218,,,,,N/A,No website,,osm
Nallen's Irish Pub,Denver,CO,1429 Market Street,80202,+1-303-572-0667,,,,N/A,No website,,osm
P.F. Chang's,Denver,CO,1415 Market Street,80202,,,,,N/A,No website,,osm
Las Delicias Maxican Restaurant,Denver,CO,419 East 19th Avenue,80203,,,,,N/A,No website,,osm
Carroll's Pub,Denver,,,,,,,,N/A,No website,,osm
Fat Fenders,Denver,,,,,,,,N/A,No website,,osm
Bubba Gump Shrimp Co.,Denver,CO,1437 California Street,80202,,,,,N/A,No website,,osm
Shag Lounge,Denver,CO,830 15th Street,80202,,,,,N/A,No website,,osm
Shish Kabob,Denver,,,,,,,,N/A,No website,,osm
Gold Panda,Denver,CO,757 East 20th Avenue,80205,+1 303-831-1313,,,,N/A,No website,,osm
Moe's Original BBQ,Denver,,,,,,,,N/A,No website,,osm
Table Steaks,Denver,,,,,,,,N/A,No website,,osm
Candlelight Tavern,Denver,,,,,,,,N/A,No website,,osm
Vert Restaurant,Denver,CO,704 South Pearl Street,80209,,,,,N/A,No website,,osm
Tacos Rapidos,Denver,,,,,,,,N/A,No website,,osm
Ink! Coffee,Denver,CO,621 17th Street,80202,+1-303-292-2374,,,,N/A,No website,,osm
Falling Rock Tap House,Denver,CO,1919 Blake Street,80202,,,,,N/A,No website,,osm
Anthony's Pizza and Pasta,Denver,,,,,,,,N/A,No website,,osm
Noodles & Company,Denver,,,,,,,,N/A,No website,,osm
Samburu Grille,Denver,,,,,,,,N/A,No website,,osm
Blue Fin Sushi,Denver,,,,,,,,N/A,No website,,osm
Udi's Bread Cafe,Denver,,,,,,,,N/A,No website,,osm
Little India,Denver,,,,,,,,N/A,No website,,osm
Pub on Pearl,Denver,CO,1101 South Pearl Street,,,,,,N/A,No website,,osm
Rio Grande,Denver,CO,1525 Blake Street,80202,,,,,N/A,No website,,osm
Metropolis Coffee,Denver,,South Broadway,,,,,,N/A,No website,,osm
Osteria Marco,Denver,CO,1453 Larimer Street,80202,,,,,N/A,No website,,osm
Ming's Dynasty,Denver,,,,,,,,N/A,No website,,osm
Sexy Pizza,Denver,,1579 South Pearl Street,80210,,,,,N/A,No website,,osm
Forest Room 5,Denver,CO,2532 15th Street,80211,+1-303-433-7001,,,,N/A,No website,,osm
Giggling Grizzly Bar & Grill,Denver,CO,1320 20th Street,80202,,,,,N/A,No website,,osm
Peet's Coffee,Denver,CO,1550 Court Place,80202,,,,,N/A,No website,,osm
16Mix,Denver,CO,1550 Court Place,80202,,,,,N/A,No website,,osm
Pizzeria Colóre,Denver,CO,1647 Court Place,80202,,,,,N/A,No website,,osm
Graphic,Denver,CO,8 Broadway,80203,,,,,N/A,No website,,osm
Ink!,Denver,CO,2415 East 2nd Avenue,80206,,,,,N/A,No website,,osm
Vesta Dipping Grill,Denver,CO,1822 Blake Street,80202,+1-303-296-1970,,,,N/A,No website,,osm
Anthony's Pizza & Pasta,Denver,CO,1550 California Street,80202,,,,,N/A,No website,,osm
Two Fisted Mario's Pizza,Denver,CO,1626 Market Street,80202,,,,,N/A,No website,,osm
Delectable Egg,Denver,CO,1642 Market Street,80202,,,,,N/A,No website,,osm
Pour House Pub,Denver,CO,1435 Market Street,80202,+1-303-623-7687,,,,N/A,No website,,osm
Jackson's,Denver,CO,1520 20th Street,80202,+1-303-298-7625,,,,N/A,No website,,osm
Sports Column,Denver,CO,1930 Blake Street,80202,,,,,N/A,No website,,osm
Cheba Hut,Denver,CO,1531 Champa Street,80202,+1-720-974-1880,,,,N/A,No website,,osm
Ike's Love & Sandwiches,Denver,CO,1512 Larimer Street,80202,+1-303-635-6390,,,,N/A,No website,,osm
Green Fine Salad Company,Denver,CO,1201 16th Street,80202,,,,,N/A,No website,,osm
The Wine Loft,Denver,CO,1527 Wazee Street,80202,,,,,N/A,No website,,osm
