name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Sakana,Phoenix,,,,,,,,N/A,No website,,osm
Zipps Sports Grill,Chandler,AZ,3950 West Ray Road,85226,,,,,N/A,No website,,osm
Syndey's,Chandler,AZ,3825 West Ray Road,85226,,,,,N/A,No website,,osm
CK's Tavern & Grill,Phoenix,,,,,,,,N/A,No website,,osm
Olympic Gyros,Phoenix,,,,,,,,N/A,No website,,osm
Wasted Grain,Phoenix,,,,,,,,N/A,No website,,osm
Rito's,Phoenix,,,,,,,,N/A,No website,,osm
Tom's Watch Bar,Phoenix,,,,,,,,N/A,No website,,osm
Duck and Decanter,Phoenix,,,,,,,,N/A,No website,,osm
Cartel Coffee Lab,Phoenix,AZ,1 North 1st Street,85004,+1-480-621-6381,,,,N/A,No website,,osm
Crazy Jim's,Phoenix,,,,,,,,N/A,No website,,osm
Canyon Cafe,Phoenix,,,,,,,,N/A,No website,,osm
Rubio's,Chandler,AZ,5055 West Ray Road,85226,+1-480-753-0633,,,,N/A,No website,,osm
The Blooze Bar,Phoenix,AZ,12014 North 32nd Street,85028,,,,,N/A,No website,,osm
Chen and Wok Gourmet Oriental,Phoenix,,,,+1-602-263-0072,,,,N/A,No website,,osm
Los Compadres,Phoenix,,,,,,,,N/A,No website,,osm
Courthouse Cafe,Phoenix,,,,,,,,N/A,No website,,osm
Nick's,Phoenix,,,,,,,,N/A,No website,,osm
The Normal Diner,Phoenix,,,,,,,,N/A,No website,,osm
Willie's Taco Joint,Phoenix,AZ,333 East Jefferson Street,85004,,,,,N/A,No website,,osm
The Kettle Black Kitchen & Pub,Phoenix,AZ,1 North 1st Street,85004,+1-602-651-1185,,,,N/A,No website,,osm
Huarachis Taqueria,Phoenix,,814 North Central Avenue,85004,,,,,N/A,No website,,osm
Peter Piper Pizza,Phoenix,,,,,,,,N/A,No website,,osm
Streets of New York,Phoenix,,,,,,,,N/A,No website,,osm
Nee House,Phoenix,,,,,,,,N/A,No website,,osm
La Petite Maison,Phoenix,,,,,,,,N/A,No website,,osm
Peter Pipper Pizza,Phoenix,AZ,,85033,,,,,N/A,No website,,osm
Keegan's Grill,Phoenix,,,,,,,,N/A,No website,,osm
