name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Seattle Flowers,Seattle,WA,600 2nd Avenue,98104,+1-206-728-2588,,,,N/A,No website,,osm
J.Crew,Seattle,,2660 Northeast University Village Street,98105,,,,,N/A,No website,,osm
Lululemon,Seattle,,2656 Northeast University Village Street,98105,,,,,N/A,No website,,osm
Free People,Seattle,,2680 Northeast University Village Street,98105,,,,,N/A,No website,,osm
Ravenna Gardens,Seattle,,,,,,,,N/A,No website,,osm
Banana Republic,Seattle,,4613 26th Avenue Northeast,98105,,,,,N/A,No website,,osm
Gap,Seattle,,4625 27th Avenue Northeast,98105,,,,,N/A,No website,,osm
4 Gift Seattle,Seattle,,300 15th Avenue East,98112,,,,,N/A,No website,,osm
Admiral Shoe Repair,Seattle,,,,,,,,N/A,No website,,osm
Vixen Collection,Seattle,,2135 Queen Anne Avenue North,,,,,,N/A,No website,,osm
Foundation,Seattle,WA,1817 Queen Anne Avenue North,98109,,,,,N/A,No website,,osm
Flowers on 15th,Seattle,,515 15th Avenue East,98112,,,,,N/A,No website,,osm
Pema Kharpo,Seattle,,8554 Greenwood Avenue North,98103,,,,,N/A,No website,,osm
Prism,Seattle,,5208 Ballard Avenue Northwest,98107,,,,,N/A,No website,,osm
Standard Goods,Seattle,,5317 Ballard Avenue Northwest,98107,,,,,N/A,No website,,osm
Fair Trade Winds,Seattle,,5323 Ballard Avenue Northwest,98107,,,,,N/A,No website,,osm
Bon Voyage Vintage,Seattle,,5334 Ballard Avenue Northwest,98107,,,,,N/A,No website,,osm
September,Seattle,,5410 22nd Avenue Northwest,98107,,,,,N/A,No website,,osm
Thread Hunter,Seattle,,5510 22nd Avenue Northwest,98107,,,,,N/A,No website,,osm
Lemon Drop Boutique,Seattle,WA,5818 24th Avenue Northwest,98107,,,,,N/A,No website,,osm
Evolve,Seattle,,607 Broadway East,98102,+1-206-860-6052,,,,N/A,No website,,osm
Throwbacks Northwest,Seattle,,1507 11th Avenue,98122,,,,,N/A,No website,,osm
Atelier,Seattle,,1523 10th Avenue,98122,,,,,N/A,No website,,osm
Stussy,Seattle,,1108 Pike Street,98101,,,,,N/A,No website,,osm
Pretty Parlor,Seattle,,119 Summit Avenue East,98102,,,,,N/A,No website,,osm
Glasswing,Seattle,,1525 Melrose Avenue,98122,,,,,N/A,No website,,osm
Taylor Stitch,Seattle,WA,315 East Pine Street,98122,,,,,N/A,No website,,osm
Marine Layer,Seattle,WA,319 East Pine Street,98122,,,,,N/A,No website,,osm
The Little Store,Seattle,WA,411 East Pine Street,98122,,,,,N/A,No website,,osm
Indian Summer,Seattle,,534 Summit Avenue East,98102,,,,,N/A,No website,,osm
Retail Therapy,Seattle,,905 East Pike Street,98122,,,,,N/A,No website,,osm
Slow Dance,Seattle,,909 East Pike Street,98122,,,,,N/A,No website,,osm
Love Lurra,Seattle,,3427 Fremont Place North,98103,,,,,N/A,No website,,osm
Lucky Dog On the Ave,Seattle,,4542 University Way Northeast,98105,,,,,N/A,No website,,osm
Late Night Vintage Mall,Seattle,,4552 University Way Northeast,98105,,,,,N/A,No website,,osm
Valley Of Roses Boutique,Seattle,,4748 University Way Northeast,98105,+1-206-522-6887,,,,N/A,No website,,osm
Christinna's Bridal,Seattle,WA,2617 5th Avenue,98121,,,,,N/A,No website,,osm
Karan Dannenberg,Seattle,WA,2232 1st Avenue,98121,,,,,N/A,No website,,osm
Fantasy Unlimited,Seattle,WA,2027 Westlake Avenue,98121,,,,,N/A,No website,,osm
Buki Pop-Up Shop,Seattle,WA,1826 6th Avenue,98101,,,,,N/A,No website,,osm
Young Flower,Seattle,WA,607 Stewart Street,98101,,,,,N/A,No website,,osm
Encore Vintage,Seattle,,2811-2 East Madison Street,98112,,,,,N/A,No website,,osm
The Original Childrens Shop,Seattle,,4216 East Madison Street,98112,,,,,N/A,No website,,osm
Martha E. Harris,Seattle,,4218 East Madison Street,98112,,,,,N/A,No website,,osm
Madison Park Jewelers,Seattle,,4230 East Madison Street,98112,+1-206-325-1880,,,,N/A,No website,,osm
Juniper,Seattle,,3314 East Spring Street,98122,,,,,N/A,No website,,osm
Gather,Seattle,WA,4863 Rainier Avenue South,98118,,,,,N/A,No website,,osm
Friday,Seattle,WA,113 1st Avenue South,98104,,,,,N/A,No website,,osm
Gutweis,Seattle,WA,118 1st Avenue South,98104,,,,,N/A,No website,,osm
Nature's,Seattle,WA,212 1st Avenue South,98104,,,,,N/A,No website,,osm
Sew Generous,Seattle,WA,608 2nd Avenue,98104,,,,,N/A,No website,,osm
Klondike Mercantile,Seattle,WA,164 South Jackson Street,98104,+1-206-220-4240,,,,N/A,No website,,osm
