name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Eleanor Green Roberts Aquatic Center,Los Angeles,,,,,,,,N/A,No website,,osm
Lincoln Park Recreation Center,Los Angeles,,,,,,,,N/A,No website,,osm
Los Angeles Athletic Club,Los Angeles,CA,431 West 7th Street,90014,,,,,N/A,No website,,osm
Rush Gymnasium,Los Angeles,CA,,,,,,,N/A,No website,,osm
Alumni Gymnasium,Los Angeles,CA,,,,,,,N/A,No website,,osm
Mission Street Yoga,South Pasadena,CA,1017 Mission Street,91030,,,,,N/A,No website,,osm
Kor Gym,Los Angeles,,,,,,,,N/A,No website,,osm
Hangar 18 Southbay Rock Climbing Gym,Los Angeles,,,,,,,,N/A,No website,,osm
Beverly Wood Swim School,Los Angeles,,,,,,,,N/A,No website,,osm
Evolution Fitness,Los Angeles,,,,,,,,N/A,No website,,osm
Yoga Nest Venice,Marina Del Rey,CA,38 Washington Boulevard,90292,+1 323 546 9610,,,,N/A,No website,,osm
Pilates,Los Angeles,,,,,,,,N/A,No website,,osm
Core Body Studio,Los Angeles,,,,,,,,N/A,No website,,osm
Pure Barre,Los Angeles,,,,,,,,N/A,No website,,osm
Set & Flow Yoga Academy,Los Angeles,CA,1645 North La Brea Avenue,,,,,,N/A,No website,,osm
DREAMYOGA,Los Angeles,CA,1915 Highland Avenue,,,,,,N/A,No website,,osm
BARRE BELLE,Los Angeles,,,,,,,,N/A,No website,,osm
bellacurves,Los Angeles,,,,,,,,N/A,No website,,osm
Rey Diogo Brazilian Jiu Jitsu,Los Angeles,CA,8733 Venice Boulevard,90034,,,,,N/A,No website,,osm
CorePower Yoga,Los Angeles,CA,1031 Glendon Avenue,90024,,,,,N/A,No website,,osm
Physique 57,Los Angeles,,,,,,,,N/A,No website,,osm
Power Yoga East,Los Angeles,,522 Santa Monica Boulevard,,,,,,N/A,No website,,osm
Fitness 19,Los Angeles,,,,,,,,N/A,No website,,osm
Cycle House,Los Angeles,,,,,,,,N/A,No website,,osm
Myogenics Fitness,West Hollywood,CA,8159 Santa Monica Boulevard,90046,,,,,N/A,No website,,osm
Venice Barbell Club,Los Angeles,,,,,,,,N/A,No website,,osm
Lyons Center,Los Angeles,,McClintock Avenue,,,,,,N/A,No website,,osm
USC Village Gym,Los Angeles,CA,929 West Jefferson Boulevard,90007,+1-213-764-7940,,,,N/A,No website,,osm
Prevail Boxing,Los Angeles,CA,5957 West 3rd Street,90036,,,,,N/A,No website,,osm
One Down Dog,Los Angeles,CA,4343 Sunset Boulevard,90029,,,,,N/A,No website,,osm
Centre Fitness,South Pasadena,CA,1017.5 Mission Street,91030,,,,,N/A,No website,,osm
SoulCycle,Los Angeles,CA,898 Olive Street,,,,,,N/A,No website,,osm
F45 Training,Los Angeles,CA,300 Santa Fe Avenue,90013,,,,,N/A,No website,,osm
Evoke Yoga,Los Angeles,CA,731 South Spring Street,90014,,,,,N/A,No website,,osm
Bikram Yoga Downtown L.A.,Los Angeles,CA,700 West 1st Street,90012,,,,,N/A,No website,,osm
Orangetheory Fitness,Los Angeles,CA,515 Figueroa Street,90017,+1 213-279-2900,,,,N/A,No website,,osm
Beyond Fitness 365,Glendale,CA,1727 South Brand Boulevard,91204,,,,,N/A,No website,,osm
K2 CrossFit,Los Angeles,,,,,,,,N/A,No website,,osm
Wild Card Boxing,Los Angeles,,,,,,,,N/A,No website,,osm
DogTown Crossfit,Los Angeles,,,,,,,,N/A,No website,,osm
Back for Yoga,El Segundo,CA,255 Main Street,90245,,,,,N/A,No website,,osm
Cyclebar,Los Angeles,,,,,,,,N/A,No website,,osm
Sixpax Gym,Los Angeles,,,,,,,,N/A,No website,,osm
Veda Yoga,Los Angeles,,,,,,,,N/A,No website,,osm
Y7 Studio,Los Angeles,,4300,,,,,,N/A,No website,,osm
ROAM,Los Angeles,CA,650 Hoover Street,90004,,,,,N/A,No website,,osm
Bishoy's Gym,Los Angeles,,,,,,,,N/A,No website,,osm
Body Dada,Los Angeles,CA,5709 N Figueroa Street,90042,,,,,N/A,No website,,osm
9 Round,Los Angeles,,,,,,,,N/A,No website,,osm
Highland Park Crossfit,Los Angeles,,5917 North Figueroa Street,,,,,,N/A,No website,,osm
IconFit,Los Angeles,,,,,,,,N/A,No website,,osm
Pilates Essence,Los Angeles,,,,,,,,N/A,No website,,osm
Zooga,Los Angeles,,,,,,,,N/A,No website,,osm
The Gym Venice,Los Angeles,,,,,,,,N/A,No website,,osm
Beyond Fitness,Los Angeles,,,,,,,,N/A,No website,,osm
Churchill Boxing,Los Angeles,,,,,,,,N/A,No website,,osm
P2 Power Pilates,Los Angeles,,,,,,,,N/A,No website,,osm
Pilates Cave,Los Angeles,,3250 Pico Boulevard,,,,,,N/A,No website,,osm
A Tighter U,Los Angeles,,,,,,,,N/A,No website,,osm
Paradiso Crossfit,Los Angeles,,,,,,,,N/A,No website,,osm
Club Pilates,Los Angeles,,,,,,,,N/A,No website,,osm
Sessions Personal Trainer,Los Angeles,,,,,,,,N/A,No website,,osm
Orangetheory Fitness,Santa Monica,CA,1431 2nd Street,90401,+1 310-730-1399,,,,N/A,No website,,osm
Boxing Fitness Factory,Los Angeles,,,,,,,,N/A,No website,,osm
The Full Routine,Los Angeles,,5225 Rosecrans Avenue,,,,,,N/A,No website,,osm
Studio (MDR),Los Angeles,,,,,,,,N/A,No website,,osm
JV Training Center,Los Angeles,,,,,,,,N/A,No website,,osm
Red Diamond Yoga,Los Angeles,,,,,,,,N/A,No website,,osm
Orangetheory Fitness,El Segundo,CA,2041 Rosecrans Avenue,90245,+1 310-400-5662,,,,N/A,No website,,osm
Yoga Shala West,Los Angeles,,,,,,,,N/A,No website,,osm
Solidcore,Los Angeles,,,,,,,,N/A,No website,,osm
Bunda,Los Angeles,,,,,,,,N/A,No website,,osm
Uprise MMA,Los Angeles,,,,,,,,N/A,No website,,osm
Light on Lotus,Los Angeles,,,,,,,,N/A,No website,,osm
Fightr Boxing,Los Angeles,,,,,,,,N/A,No website,,osm
