name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Vere Electric,New York,,726 Sterling Place,11216,+1-718-783-2930,,,,N/A,No website,,osm
Culver Electric,New York,,380 Court Street,11231,+1-347-799-1001,,,,N/A,No website,,osm
Electrical & Contractors,New York,,,,+1-917-909-1048,,,,N/A,No website,,osm
A#1 Universal Electrical,New York,,,,+1-718-768-0360,,,,N/A,No website,,osm
Brooklyn & Queens Electric Co,New York,,,,+1-718-383-0256,,,,N/A,No website,,osm
Slope Electric Inc.,New York,,,,+1-718-499-5069,,,,N/A,No website,,osm
Inner City Electrical Contractors,New York,,,,,,,,N/A,No website,,osm
Pacific Electric,New York,,,,+1-718-789-3562,,,,N/A,No website,,osm
High Speed Electric,New York,,25 Story Street,11218,,,,,N/A,No website,,osm
Midland Electric,New York,,273 44th Street,11232,+1-718-877-7034,,,,N/A,No website,,osm
Budico Corp,Fort Lee,NJ,Pembroke Lane,07657,+1 646-972-4231,,,,N/A,No website,,osm
Proton Electric,New York,,,,+1-718-259-6462,,,,N/A,No website,,osm
C T Electric,New York,,,,,,,,N/A,No website,,osm
Reno Electrical,New York,,305 90th Street,11209,+1-718-836-8955,,,,N/A,No website,,osm
Citywide Electrical Wiring Inc,Astoria,NY,20-22 Steinway Street,11105,+1-718-932-1019,,,,N/A,No website,,osm
"JAMES ROBINSON, INC.",New York,NY,480,10022,2127526166,,,,N/A,No website,,citydata-new york
EMPIRE DIAMOND CORPORATION,New York,NY,350,10118,2125644777,,,,N/A,No website,,citydata-new york
"HECHT SEWING MACHINE & MOTOR CO., INC.",New York,NY,304,10018,2125635950,,,,N/A,No website,,citydata-new york
IDEAL AUTO EXCHANGE CORP.,New York,NY,8825,11435,7186585132,,,,N/A,No website,,citydata-new york
"CHARLES FRANKEL JEWELER, INC.",New York,NY,1927,11229,7186482712,,,,N/A,No website,,citydata-new york
"FRENCH & COMPANY, INC.",New York,NY,17,10065,2125353330,,,,N/A,No website,,citydata-new york
CENTRAL TIME CLOCK INC.,New York,NY,523,11101,7187844900,,,,N/A,No website,,citydata-new york
"NESLE, INC.",New York,NY,3815,11101,2127550515,,,,N/A,No website,,citydata-new york
"SCHWEITZER, PAUL",New York,NY,108,10011,2126750035,,,,N/A,No website,,citydata-new york
"COMMERCIAL HOTEL, INC.",New York,NY,9636,11429,7184686400,,,,N/A,No website,,citydata-new york
"CARMEL GARAGE, INC.",New York,NY,6861,11375,718-544-2322,,,,N/A,No website,,citydata-new york
"ATTARA, PATRICIA & ATTARA, THERESA",New York,NY,165,11201,9177577792,,,,N/A,No website,,citydata-new york
NEW YORK PARKING 51ST STREET CORP.,New York,NY,251,10022,212-308-5959,,,,N/A,No website,,citydata-new york
"ALMAR GARAGE, INC.",New York,NY,700,10021,2127444750,,,,N/A,No website,,citydata-new york
RAINBOW PARKING CORP.,New York,NY,300,10021,212-308-5959,,,,N/A,No website,,citydata-new york
74 HUDSON STREET PARKING CORP.,New York,NY,74,10013,2124760135,,,,N/A,No website,,citydata-new york
"SHAH, JYOTEE HARESH",New York,NY,,10022,7182753049,,,,N/A,No website,,citydata-new york
TOWER EAST GARAGE CORP.,New York,NY,191,10021,2128887400,,,,N/A,No website,,citydata-new york
"MUTUAL PARKING, INC.",New York,NY,61,10028,2128887400,,,,N/A,No website,,citydata-new york
NEW YORK PARKING 56TH ST. CORP,New York,NY,65,10019,2123085959,,,,N/A,No website,,citydata-new york
CAROLE STORAGE CORPORATION,New York,NY,777,10017,212-753-6116,,,,N/A,No website,,citydata-new york
GEMA PARKING CORP.,New York,NY,333,10003,,,,,N/A,No website,,citydata-new york
"KRD REALTY CO., INC.",New York,NY,330,10036,2122658189,,,,N/A,No website,,citydata-new york
"CIRCLE LINE - SIGHTSEEING YACHTS, INC.",New York,NY,83,10036,2126308810,,,,N/A,No website,,citydata-new york
980 FIFTH AVENUE CORPORATION,New York,NY,980,10075,2123502808,,,,N/A,No website,,citydata-new york
CORNELL UNIVERSITY MEDICAL COLLEGE,New York,NY,404,10021,2127461089,,,,N/A,No website,,citydata-new york
KINGS HIGHWAY REALTY CORP.,New York,NY,5455,11203,7186290197,,,,N/A,No website,,citydata-new york
JIB REALTY HOLDING CORP.,New York,NY,15820,11365,7185912000,,,,N/A,No website,,citydata-new york
"SHAH, SUREKHA P.",New York,NY,,10023,(917) 257-0981,,,,N/A,No website,,citydata-new york
"CHARLES CHERIFF GALLERIES, LTD.",New York,NY,84,10003,2126756131,,,,N/A,No website,,citydata-new york
"KINGS INFINITI, INC.",New York,NY,20,11235,7186463331,,,,N/A,No website,,citydata-new york
"SPARR'S TRANSPORTATION, INC.",New York,NY,4115,11103,7187186014,,,,N/A,No website,,citydata-new york
"FRIMAN & STEIN, INC.",New York,NY,589,10017,2123086200,,,,N/A,No website,,citydata-new york
FREMAN GARAGE CORP.,New York,NY,137,10024,2127244600,,,,N/A,No website,,citydata-new york
9495 PARKING CORP.,New York,NY,1832,10128,2122893800,,,,N/A,No website,,citydata-new york
69 WARREN STREET PARKING CORPORATION,New York,NY,67,10007,2122335688,,,,N/A,No website,,citydata-new york
249 PARKING CORP.,New York,NY,249,10001,(121) 292-9940,,,,N/A,No website,,citydata-new york
"4 EAST 76TH ST. GARAGE, INC.",New York,NY,4,10021,2124072516,,,,N/A,No website,,citydata-new york
ELEVEN RIVERSIDE DRIVE GARAGE CORP.,New York,NY,11,10023,2128741435,,,,N/A,No website,,citydata-new york
INTERTOWN PARKING CORP.,New York,NY,55,10028,2127367171,,,,N/A,No website,,citydata-new york
"AREA GARAGE, LLC",New York,NY,24,10002,2126858314,,,,N/A,No website,,citydata-new york
"NORMANDY REPAIRS, INC.",New York,NY,447,10456,7186652550,,,,N/A,No website,,citydata-new york
"PASCAP CO., INC.",New York,NY,4250,10475,7183257200,,,,N/A,No website,,citydata-new york
MARY FINKELSTEIN JEWELRY CORP.,New York,NY,34,10036,2127191708,,,,N/A,No website,,citydata-new york
"PELHAM GARAGE, INC.",New York,NY,140,10465,7188248683,,,,N/A,No website,,citydata-new york
"JET AUTO WRECKERS, INC.",New York,NY,5805,11234,7182519204,,,,N/A,No website,,citydata-new york
333 West 46th St Corp,New York,NY,327,10036,2122658189,,,,N/A,No website,,citydata-new york
CARMEN KOTLOWICZ REALTY CORP,New York,NY,2041,10462,9172829378,,,,N/A,No website,,citydata-new york
12 GARAGE CORP.,New York,NY,12,10022,2127550717,,,,N/A,No website,,citydata-new york
395 PARKING CORP.,New York,NY,395,10013,2122269797,,,,N/A,No website,,citydata-new york
EAST 71ST STREET GARAGE CORP.,New York,NY,135,10021,2128799451,,,,N/A,No website,,citydata-new york
DRAYNIB CORP.,New York,NY,25,10453,7187169482,,,,N/A,No website,,citydata-new york
"FISHER, PAUL",New York,NY,1,10020,2122475725,,,,N/A,No website,,citydata-new york
STELTER MARINE SALES INC,New York,NY,495,10464,7188851300,,,,N/A,No website,,citydata-new york
"HILLTOP AUTO SALVAGE, INC.",New York,NY,4157,10466,7183240706,,,,N/A,No website,,citydata-new york
R-A-F SALVAGE CORP.,New York,NY,4260,10475,7183247575,,,,N/A,No website,,citydata-new york
"RALPH M. CHAIT GALLERIES, INC.",New York,NY,16,10022,212-397-2818,,,,N/A,No website,,citydata-new york
NAGIN JEWELRY CO. INC.,New York,NY,66,10036,2127192185,,,,N/A,No website,,citydata-new york
LESTER KEHOE MACHINERY CORP.,New York,NY,2581,10303,7184473410,,,,N/A,No website,,citydata-new york
"MASPETH HALL, INC.",New York,NY,6920,11378,7184298285,,,,N/A,No website,,citydata-new york
