name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Cottonwood Animal Hospital,Dallas,,,,,,,,N/A,No website,,osm
Buckingham Plano Road,Dallas,,,,,,,,N/A,No website,,osm
VGA Pet Doctor Animal Hospital,Dallas,,,,,,,,N/A,No website,,osm
Banfield Pet Hospital,Dallas,,,,,,,,N/A,No website,,osm
Pet Vet,Dallas,,,,,,,,N/A,No website,,osm
Skillman Animal Clinic,Dallas,,,,,,,,N/A,No website,,osm
Isla Veterinary,Dallas,,,,,,,,N/A,No website,,osm
Spay Neuter Network,Dallas,,,,,,,,N/A,No website,,osm
Meadow Central Veterinary Clinic,Dallas,,,,,,,,N/A,No website,,osm
Cornerstone Animal Clinic,Dallas,,,,,,,,N/A,No website,,osm
Preston Royal Animal Clinic,Dallas,,,,,,,,N/A,No website,,osm
ReadyVet,Dallas,,,,,,,,N/A,No website,,osm
Petfolk Veterinary & Urgent Care,Dallas,,1904 Abrams Parkway,75214,,,,,N/A,No website,,osm
My Village Pet Clinic,Irving,TX,East Shady Grove Road,,,,,,N/A,No website,,osm
Abrams Royal Animal Clinic,Dallas,,8244 Abrams Road,,,,,,N/A,No website,,osm
Story Road Animal Hospital,Dallas,,,,,,,,N/A,No website,,osm
