name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Clean Start Total Body Cleansing,Miami,FL,6901 Biscayne Boulevard,,,,,,N/A,No website,,osm
Massage Envy,Miami,,767 17th Street,,,,,,N/A,No website,,osm
Xpress Spa,Miami,,,,,,,,N/A,No website,,osm
Massage Envy,North Miami,FL,1815 Northeast 123rd Street,33181,,,,,N/A,No website,,osm
Heavenly Organic Spa,North Miami,FL,1683 Northeast 123rd Street,33181,,,,,N/A,No website,,osm
Spectrum Healthcare Center,North Miami,FL,13468 Biscayne Boulevard,33181,,,,,N/A,No website,,osm
Keystone Eye Center,North Miami,FL,12563 Biscayne Boulevard,33181,,,,,N/A,No website,,osm
Dr. Ryan A. Fisher D.C.,North Miami,FL,12571 Biscayne Boulevard,33181,,,,,N/A,No website,,osm
Vivify,Miami,,,,,,,,N/A,No website,,osm
Coconut Grove Chiropractic,Miami,FL,3400 Coral Way,33145,,,,,N/A,No website,,osm
Equilibrium Pilates and Holistic Center,Bay Harbor Islands,FL,1045 Kane Concourse,33154,,,,,N/A,No website,,osm
Ondara Spa,Miami Beach,FL,4041 Collins Avenue,33140,+1 786-605-4010,,,,N/A,No website,,osm
"Dr. Emilia Cabrera Acupuncture,Counseling, & Homeopathy | Holistic & Oriental Medicine",Bay Harbor Islands,FL,1108 96th Street,33154,,,,,N/A,No website,,osm
Chakra Healing & Reiki,Miami Beach,FL,214 67th Street,33141-5701,+1-786-266-2714,,,,N/A,No website,,osm
