name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Draper Jewelers,Nashville,,,,,,,,N/A,No website,,osm
Billy Reid,Nashville,TN,1200 Villa Place,37212,,,,,N/A,No website,,osm
Opry Originals,Nashville,TN,300 Broadway A,37203,,,,,N/A,No website,,osm
Spell's Dancewear,Nashville,,,,,,,,N/A,No website,,osm
Music Imprints,Nashville,TN,467 Chestnut Street,37203,,,,,N/A,No website,,osm
Black Shag Vintage,Nashville,,,,,,,,N/A,No website,,osm
Men's Wearhouse,Nashville,,,,,,,,N/A,No website,,osm
Buffalo Exchange,Nashville,,,,,,,,N/A,No website,,osm
Ray Ban,Nashville,,,,,,,,N/A,No website,,osm
The Normal Brand,Nashville,,,,,,,,N/A,No website,,osm
State & Liberty,Nashville,,,,,,,,N/A,No website,,osm
Molly Green,Nashville,,,,,,,,N/A,No website,,osm
The Nash Collection,Nashville,,,,,,,,N/A,No website,,osm
Ariat,Nashville,,,,,,,,N/A,No website,,osm
Hollie Rae,Nashville,,,,,,,,N/A,No website,,osm
Free People,Nashville,,,,,,,,N/A,No website,,osm
Tecovas,Nashville,,,,,,,,N/A,No website,,osm
Levi's,Nashville,,,,,,,,N/A,No website,,osm
Carhartt,Nashville,,,,,,,,N/A,No website,,osm
Gus Mayer,Nashville,TN,,37215,,,,,N/A,No website,,osm
Lovisa,Nashville,TN,2126 Abbott Martin Road,37215,+1 332-322-8656,,,,N/A,No website,,osm
Lids,Nashville,TN,,37215,,,,,N/A,No website,,osm
Garage,Nashville,TN,,37215,,,,,N/A,No website,,osm
American Eagle Outfitters,Nashville,TN,,37215,,,,,N/A,No website,,osm
Aerie,Nashville,TN,,37215,,,,,N/A,No website,,osm
Abercrombie & Fitch,Nashville,TN,2126 Abbott Martin Road,37215,+1 615-522-0044,,,,N/A,No website,,osm
Aritzia,Nashville,TN,,37215,,,,,N/A,No website,,osm
Hugo Boss,Nashville,TN,,37215,,,,,N/A,No website,,osm
Sundance,Nashville,TN,,37215,,,,,N/A,No website,,osm
Marine Layer,Nashville,TN,,37215,,,,,N/A,No website,,osm
J.Crew,Nashville,TN,,37215,,,,,N/A,No website,,osm
The North Face,Nashville,TN,2126 Abbott Martin Road,37215,+1 615-292-4414,,,,N/A,No website,,osm
Brighton Collectibles,Nashville,TN,,37215,,,,,N/A,No website,,osm
Altar'd State,Nashville,TN,,37215,,,,,N/A,No website,,osm
Tommy John,Nashville,TN,,37215,,,,,N/A,No website,,osm
OFFLINE By Aerie,Nashville,TN,,37215,,,,,N/A,No website,,osm
Intimissimi,Nashville,TN,,37215,,,,,N/A,No website,,osm
Pure,Nashville,TN,,37215,,,,,N/A,No website,,osm
Zara,Nashville,TN,,37215,,,,,N/A,No website,,osm
Dry Goods,Nashville,TN,,37215,,,,,N/A,No website,,osm
Urban Outfitters,Nashville,TN,2126 Abbott Martin Road,37215,+1 615-471-8296,,,,N/A,No website,,osm
Gap Kids,Nashville,TN,,37215,,,,,N/A,No website,,osm
Janie & Jack,Nashville,TN,,37215,,,,,N/A,No website,,osm
Fabletics,Nashville,TN,,37215,,,,,N/A,No website,,osm
Psycho Bunny,Nashville,TN,,37215,,,,,N/A,No website,,osm
Palm Beach Autographs,Nashville,TN,,37215,,,,,N/A,No website,,osm
Lilly Pulitzer,Nashville,TN,,37215,,,,,N/A,No website,,osm
Alo Yoga,Nashville,TN,,37215,,,,,N/A,No website,,osm
Swarovski,Nashville,TN,,37215,,,,,N/A,No website,,osm
Tory Burch,Nashville,TN,,37215,,,,,N/A,No website,,osm
David Yurman,Nashville,TN,,37215,,,,,N/A,No website,,osm
Gucci,Nashville,TN,,37215,,,,,N/A,No website,,osm
Everything But Water,Nashville,TN,,37215,,,,,N/A,No website,,osm
Marc Jacobs,Nashville,TN,,37215,,,,,N/A,No website,,osm
St. John,Nashville,TN,,37215,,,,,N/A,No website,,osm
Saint Laurent,Nashville,TN,,37215,,,,,N/A,No website,,osm
Hive & Colony,Nashville,TN,,37215,,,,,N/A,No website,,osm
Kay Jewelers,Nashville,TN,2126 Abbott Martin Road,37215-2690,+1 615-385-1279,,,,N/A,No website,,osm
JoS. A. Bank,Nashville,TN,,37215,,,,,N/A,No website,,osm
Louis Vuitton,Nashville,TN,,37215,,,,,N/A,No website,,osm
Jason of Beverly Hills,Nashville,TN,,37215,,,,,N/A,No website,,osm
Dolce & Gabbana,Nashville,TN,,37215,,,,,N/A,No website,,osm
Johnny Was,Nashville,TN,,37215,,,,,N/A,No website,,osm
Burberry,Nashville,TN,2126 Abbott Martin Road,37215,+1 615-823-8980,,,,N/A,No website,,osm
Evereve,Nashville,TN,,37215,,,,,N/A,No website,,osm
Eileen Fisher,Nashville,TN,,37215,,,,,N/A,No website,,osm
AllSaints,Nashville,,,,,,,,N/A,No website,,osm
Backslide Vintage,Nashville,,,,,,,,N/A,No website,,osm
High Class Hillbilly,Nashville,,,,,,,,N/A,No website,,osm
hatWRKS,Nashville,,1027 8th Avenue South,,,,,,N/A,No website,,osm
Hermès,Nashville,TN,510 Houston Street,37203,+1-629-236-6908,,,,N/A,No website,,osm
Talk Nice,Nashville,TN,730 Mc Ferrin Avenue,37206,,,,,N/A,No website,,osm
