name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Family Hair Salon,Orlando,FL,11969 Apopka Vineland Road,,,,,,N/A,No website,,osm
Gorgeous Hair Salon & Spa,Orlando,FL,5464 International Drive,,,,,,N/A,No website,,osm
BC Beauty Salon,Orlando,FL,5609 International Drive,,,,,,N/A,No website,,osm
Hair Salon Spa,Orlando,FL,6151 Westwood Boulevard,,,,,,N/A,No website,,osm
Salon Salon Aveda,Orlando,,,,,,,,N/A,No website,,osm
Bamboo Hair Salon,Orlando,FL,8540 Palm Parkway,32836,,,,,N/A,No website,,osm
Magic Nails and Day Spa,Orlando,,,,,,,,N/A,No website,,osm
PRO Nails and Spa,Orlando,,,,,,,,N/A,No website,,osm
Cut & Color Room,Orlando,FL,7932 West Sand Lake Road,32819,,,,,N/A,No website,,osm
La Nails,Winter Springs,FL,5888 Red Bug Lake Road,32708,+1-407-695-4401,,,,N/A,No website,,osm
Spa Nails and Beyond,Orlando,,,,,,,,N/A,No website,,osm
Xpressions Hair Salon,Orlando,,,,,,,,N/A,No website,,osm
Vista Nails & Spa,Orlando,,,,+1-407-851-8588,,,,N/A,No website,,osm
Dynasty Cuttz Barber Shop,Orlando,FL,400 Pine Hills Road,32811,,,,,N/A,No website,,osm
Gary Lambert Salon & Nail Bar,Orlando,,,,,,,,N/A,No website,,osm
L'Occitane,Orlando,FL,International Drive,32819,+1 407 351 5011,,,,N/A,No website,,osm
Hair Cuttery,Orlando,,,,,,,,N/A,No website,,osm
Sephora,Orlando,,,,,,,,N/A,No website,,osm
Phoenix Salon Suites,Winter Park,FL,601 South New York Avenue,32789,,,,,N/A,No website,,osm
SmartStyle,Orlando,,,,,,,,N/A,No website,,osm
Fashion Nails & Spa,Orlando,,,,,,,,N/A,No website,,osm
Envy.Me Hair Salon,Orlando,,,,,,,,N/A,No website,,osm
Natural Nails,Orlando,,,,,,,,N/A,No website,,osm
Elizabeth Arden,Orlando,FL,International Drive,32819,+1 407 956 4885,,,,N/A,No website,,osm
Bath & Body Works,Orlando,FL,International Drive,32819,+1 407 351 1822,,,,N/A,No website,,osm
Yoyo Barber Shop,Orlando,FL,,,,,,,N/A,No website,,osm
Lavish Salon & Spa,Orlando,,,,,,,,N/A,No website,,osm
Garra Spa,Orlando,,,,,,,,N/A,No website,,osm
Her Salon,Orlando,,,,,,,,N/A,No website,,osm
Brow Art 23,Orlando,,,,,,,,N/A,No website,,osm
The Body Shop,Orlando,,,,,,,,N/A,No website,,osm
MAC Cosmetics,Orlando,,,,,,,,N/A,No website,,osm
Prédiré,Orlando,,,,,,,,N/A,No website,,osm
Yings Day Spa,Orlando,,,,,,,,N/A,No website,,osm
Lush,Orlando,,,,,,,,N/A,No website,,osm
bareMinerals,Orlando,,,,,,,,N/A,No website,,osm
Morphe,Orlando,,,,,,,,N/A,No website,,osm
Fracassi Lashes,Orlando,,,,,,,,N/A,No website,,osm
Green Biotics,Orlando,,,,,,,,N/A,No website,,osm
SPA Terminal Getaway,Orlando,,,,,,,,N/A,No website,,osm
Nail Lounge,Orlando,,,,,,,,N/A,No website,,osm
Floyd's 99 Barbershop,Orlando,,,,,,,,N/A,No website,,osm
The Nail Place,Orlando,FL,8125 Vineland Avenue,32821,,,,,N/A,No website,,osm
Zen Barbers,Orlando,FL,8117 Vineland Avenue,32821,,,,,N/A,No website,,osm
