name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
The Elephant Room,Austin,TX,315 Congress Avenue,78701,,,,,N/A,No website,,osm
La Palapa,Austin,,,,,,,,N/A,No website,,osm
Pappasitos,Austin,,,,,,,,N/A,No website,,osm
Chinatown,Austin,,,,,,,,N/A,No website,,osm
Phoenicia Bakery & Deli,Austin,,,,,,,,N/A,No website,,osm
Giovanni Pizza Stand,Austin,,,,,,,,N/A,No website,,osm
Sap's Fine Thai Cuisine,Austin,,,,,,,,N/A,No website,,osm
Mexican grille,Austin,,,,,,,,N/A,No website,,osm
Upper Crust Bakery,Austin,,,,,,,,N/A,No website,,osm
Pacha,Austin,,,,,,,,N/A,No website,,osm
Maru Japanese,Austin,,,,,,,,N/A,No website,,osm
Billy's on Burnet Road,Austin,,,,,,,,N/A,No website,,osm
Fonda San Miguel,Austin,,,,,,,,N/A,No website,,osm
The Aristocrat,Austin,TX,6507 Burnet Road,78757,+1-512-363-5288,,,,N/A,No website,,osm
El Mercado,Austin,,,,,,,,N/A,No website,,osm
Top Notch,Austin,,,,,,,,N/A,No website,,osm
Madam Mam's,Austin,,,,,,,,N/A,No website,,osm
Texadelphia,Austin,,,,,,,,N/A,No website,,osm
Genuine Joe Coffeehouse,Austin,,,,,,,,N/A,No website,,osm
Teo's Gelato and Espresso,Austin,,,,,,,,N/A,No website,,osm
Russell's Bakery,Austin,,,,,,,,N/A,No website,,osm
Chez Zee,Austin,,,,,,,,N/A,No website,,osm
Dan's Hamburgers,Austin,,,,,,,,N/A,No website,,osm
Short Stop,Austin,,,,,,,,N/A,No website,,osm
Torchy's Tacos - Austin,Austin,,,,,,,,N/A,No website,,osm
Taco Shack,Austin,,,,,,,,N/A,No website,,osm
Cabo Bob's,Austin,,,,,,,,N/A,No website,,osm
Ken's Donuts,Austin,,,,,,,,N/A,No website,,osm
Torchy's Tacos,Austin,,,,,,,,N/A,No website,,osm
Trudy's Texas Star,Austin,,,,,,,,N/A,No website,,osm
Boomerang's,Austin,,,,,,,,N/A,No website,,osm
La Tazza Fresca,Austin,,,,,,,,N/A,No website,,osm
Back,Austin,,,,,,,,N/A,No website,,osm
Asia Cafe Sichuan,Austin,,,,,,,,N/A,No website,,osm
Maudies Hacienda,Austin,,900 W. Slaughter Lane,,,,,,N/A,No website,,osm
Tino's Greek Cafe,Austin,TX,190 Brodie Lane,78748,,,,,N/A,No website,,osm
Wok On Fire,Austin,,120 Brodie Lane,,,,,,N/A,No website,,osm
Texenza Coffie,Austin,,110 Brodie Lane,,,,,,N/A,No website,,osm
Casa Maria's,Austin,,,,,,,,N/A,No website,,osm
Pok-e-Jo's BAR B Q,Austin,,,,,,,,N/A,No website,,osm
la Madeleine,Austin,,,,,,,,N/A,No website,,osm
Twin Lion,Austin,,,,,,,,N/A,No website,,osm
Brick Oven,Austin,,,,,,,,N/A,No website,,osm
Modern Market,Austin,,,,,,,,N/A,No website,,osm
Shipley Do-Nuts,Austin,,1945 West William Cannon Drive,,,,,,N/A,No website,,osm
Posse East,Austin,TX,2900 Duval Street,78705,,,,,N/A,No website,,osm
Latchkey,Austin,,,,,,,,N/A,No website,,osm
Mr. Catfish,Austin,,,,,,,,N/A,No website,,osm
Golden Chick,Austin,,,,,,,,N/A,No website,,osm
El Pollo Rico,Austin,,,,,,,,N/A,No website,,osm
Kobe Japanese Steakhouse,Austin,,,,,,,,N/A,No website,,osm
Jardin Corona Mexican Food,Austin,,,,,,,,N/A,No website,,osm
Water Tank,Austin,,,,,,,,N/A,No website,,osm
Krispy Kreme,Austin,,,,,,,,N/A,No website,,osm
Boston Market,Austin,,,,,,,,N/A,No website,,osm
Michi Ramen,Austin,,,,,,,,N/A,No website,,osm
Big City Bagels & Subs,Austin,,,,,,,,N/A,No website,,osm
El Rincon,Austin,,,,,,,,N/A,No website,,osm
WhipIn,Austin,,,,,,,,N/A,No website,,osm
Taco Deli,Austin,,,,,,,,N/A,No website,,osm
Sazon,Austin,,1816 South Lamar Boulevard,78704,+1-512-326-4395,,,,N/A,No website,,osm
Picnik,Austin,,,,,,,,N/A,No website,,osm
Black Sheep Lodge,Austin,,,,,,,,N/A,No website,,osm
Kelly's Irish Pub,Austin,,,,,,,,N/A,No website,,osm
Curra's Grill,Austin,,,,,,,,N/A,No website,,osm
The Greek Bar,Austin,,534 East Oltorf Street,78704-5639,,,,,N/A,No website,,osm
888 Pan Asian Restaurant,Austin,,,78741,,,,,N/A,No website,,osm
Polvo's,Austin,,,,,,,,N/A,No website,,osm
Perla's,Austin,,,,,,,,N/A,No website,,osm
Fair Bean Coffee,Austin,,,,,,,,N/A,No website,,osm
Lenoir,Austin,,,,,,,,N/A,No website,,osm
Woodland,Austin,,,,,,,,N/A,No website,,osm
Vespaio,Austin,,,,,,,,N/A,No website,,osm
Once Over Coffee Bar,Austin,,,,,,,,N/A,No website,,osm
Little Mexico,Austin,,,,,,,,N/A,No website,,osm
