name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Nike Factory Store,Orlando,FL,481 North Alafaya Trail,32828,+1 321-206-0347,,,,N/A,No website,,osm
Swalstead Jewelers,Orlando,,,,,,,,N/A,No website,,osm
Siegel's,Orlando,,,,,,,,N/A,No website,,osm
Perguntando-Innovation Gift Shop,Orlando,FL,5157 International Drive,,,,,,N/A,No website,,osm
DXL Men's Apparel,Orlando,FL,5728 International Drive,,,,,,N/A,No website,,osm
Best Price Gift Shop,Orlando,FL,7535 International Drive,,,,,,N/A,No website,,osm
NY Fashion Jewelry,Orlando,FL,5449 International Drive,32819,,,,,N/A,No website,,osm
Famous Labels,Orlando,FL,5498 Touchstone Drive,,,,,,N/A,No website,,osm
Disney Store,Orlando,FL,8629 Palm Parkway,,,,,,N/A,No website,,osm
Old Navy,Orlando,,,,,,,,N/A,No website,,osm
Lululemon,Orlando,FL,695 North Alafaya Trail,32828,,,,,N/A,No website,,osm
H&M,Orlando,FL,Florida Mall Avenue,32809,,,,,N/A,No website,,osm
Duty Free Store,Orlando,,,,,,,,N/A,No website,,osm
On Location,Orlando,,,,,,,,N/A,No website,,osm
Sahara Traders,Orlando,,,,,,,,N/A,No website,,osm
Rosie's Irish Shop,Orlando,,,,,,,,N/A,No website,,osm
Borgin & Burkes,Orlando,,,,,,,,N/A,No website,,osm
Kwik-E-Mart,Orlando,,,,,,,,N/A,No website,,osm
Spongebob Storepants,Orlando,,,,,,,,N/A,No website,,osm
MIB Gear,Orlando,,,,,,,,N/A,No website,,osm
Banana Republic,Orlando,,,,,,,,N/A,No website,,osm
Corona Cigar Company,Orlando,,,,,,,,N/A,No website,,osm
Bay Hill Jewlers,Orlando,,,,,,,,N/A,No website,,osm
Golden Seahorse Gifts,Orlando,,,,,,,,N/A,No website,,osm
Universal Studios Legacy Store,Orlando,,,,,,,,N/A,No website,,osm
Super Silly Stuff,Orlando,,,,,,,,N/A,No website,,osm
Brown Derby Hat Shop,Orlando,,,,,,,,N/A,No website,,osm
Theatre Magic,Orlando,,,,,,,,N/A,No website,,osm
Tommy Hilfiger,Orlando,FL,International Drive,32819,+1 407 352 8518,,,,N/A,No website,,osm
Chain Charlie,Orlando,,,,,,,,N/A,No website,,osm
Armani Exchange,Orlando,,,,,,,,N/A,No website,,osm
Navy Exchange,Orlando,,,,,,,,N/A,No website,,osm
Supply Vault,Orlando,,,,,,,,N/A,No website,,osm
The Film Vault,Orlando,,,,,,,,N/A,No website,,osm
Madame Malkin's Robes for All Occasions,Orlando,,,,,,,,N/A,No website,,osm
Weasley's Wizard Wheezes,Orlando,,,,,,,,N/A,No website,,osm
Quality Quidditch Supplies,Orlando,,,,,,,,N/A,No website,,osm
Wiseacre's Wizard Equipment,Orlando,,,,,,,,N/A,No website,,osm
Wands by Gregorovitch,Orlando,,,,,,,,N/A,No website,,osm
Magical Menagerie,Orlando,,,,,,,,N/A,No website,,osm
Scribbulus,Orlando,,,,,,,,N/A,No website,,osm
Studio Styles,Orlando,,,,,,,,N/A,No website,,osm
E.T. Toy Closet,Orlando,,,,,,,,N/A,No website,,osm
Wicked Store,Orlando,,,,,,,,N/A,No website,,osm
Outlet Marketplace,Orlando,,,,,,,,N/A,No website,,osm
Universal Studios Store,Orlando,,,,,,,,N/A,No website,,osm
The North Face,Orlando,FL,International Drive,32819,+1 407 248 1292,,,,N/A,No website,,osm
Nike,Orlando,FL,International Drive,32819,+1 407 351 9400,,,,N/A,No website,,osm
al uniform eran,Orlando,,,,,,,,N/A,No website,,osm
Aramark Uniform Service,Orlando,,,,,,,,N/A,No website,,osm
Aeropostale,Orlando,FL,International Drive,32819,+1 407 248 9024,,,,N/A,No website,,osm
OshKosh B'gosh,Orlando,FL,International Drive,32819,+1 407 352 6414,,,,N/A,No website,,osm
Calvin Klein,orlando,FL,International Drive,32819,+1 407 354 4916,,,,N/A,No website,,osm
Levi's,Orlando,FL,International Drive,32819,+1 407 903 5412,,,,N/A,No website,,osm
U.S. Polo Association Outlet,Orlando,FL,International Drive,32819,+1 407 264 5782,,,,N/A,No website,,osm
Guess,Orlando,FL,International Drive,32819,+1 407 264 5284,,,,N/A,No website,,osm
Swarovski,Orlando,FL,International Drive,32819,+1 407 363 4652,,,,N/A,No website,,osm
Quiet Flight Surf Shop,Orlando,,,,,,,,N/A,No website,,osm
Jewels By Peter B,Orlando,,,,,,,,N/A,No website,,osm
SeaWorld Store,Orlando,,,,,,,,N/A,No website,,osm
Tervis,Orlando,,,,,,,,N/A,No website,,osm
Beales,Orlando,,1728 Sand Lake Road,,,,,,N/A,No website,,osm
David's Bridal,Orlando,,,,,,,,N/A,No website,,osm
Tillys,Orlando,FL,International Drive,32819,+1 407 903 0584,,,,N/A,No website,,osm
Nautica,Orlando,FL,International Drive,32819,+1 407 226 1661,,,,N/A,No website,,osm
Gap Factory,Orlando,FL,International Drive,32819,+1 407 345 0467,,,,N/A,No website,,osm
Billabong,Orlando,FL,International Drive,32819,+1 407 351 1352,,,,N/A,No website,,osm
Carter's,Orlando,FL,International Drive,32819,+1 407 345 0003,,,,N/A,No website,,osm
Timberland,Orlando,FL,International Drive,32819,+1 407 370 6630,,,,N/A,No website,,osm
Michael Kors,Orlando,FL,International Drive,32819,+1 407 363 0360,,,,N/A,No website,,osm
Ann Taylor,Orlando,FL,International Drive,32819,+1 407 803 5591,,,,N/A,No website,,osm
Chico's,Orlando,FL,International Drive,32819,,,,,N/A,No website,,osm
Zales,Orlando,FL,International Drive,32819,,,,,N/A,No website,,osm
Polo Ralph Lauren,Orlando,FL,International Drive,32819,+1 407 903 0339,,,,N/A,No website,,osm
J.Crew,Orlando,FL,International Drive,32819,+1 407 226 6862,,,,N/A,No website,,osm
