name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Population,San Francisco,,,,,,,,N/A,No website,,osm
Felicia Gelardi Skin Care,San Francisco,,,,,,,,N/A,No website,,osm
Flip Salon,San Francisco,,2414 Chestnut Street,,,,,,N/A,No website,,osm
Nails n Beauty,San Francisco,CA,2385 Lombard Street,,,,,,N/A,No website,,osm
Cut 'N Curl,San Francisco,,,,,,,,N/A,No website,,osm
Simply Cuts,San Francisco,,,,,,,,N/A,No website,,osm
Savvy Hair Salon,San Francisco,,,,,,,,N/A,No website,,osm
Nice Cuts,San Francisco,,,,,,,,N/A,No website,,osm
Ciao Bella Nail Salon,San Francisco,CA,2277 Chestnut Street,,,,,,N/A,No website,,osm
The New Nails,San Francisco,CA,2291 Chestnut Street,,,,,,N/A,No website,,osm
Sugarcoat Salon,San Francisco,,619 Post Street,,+1 415 4411868,,,,N/A,No website,,osm
Kim's Precision Cuts,San Francisco,,554 Columbus Avenue,,,,,,N/A,No website,,osm
Crystal Spa,San Francisco,CA,577 Geary Street,,+1 415-829-7553,,,,N/A,No website,,osm
Stacy's Hair Studio,San Francisco,CA,3012 Taraval Street,94116,,,,,N/A,No website,,osm
Winding Beauty Mart,San Francisco,,,,,,,,N/A,No website,,osm
Hollywood Nail Time,San Francisco,,,,,,,,N/A,No website,,osm
Fingertips,San Francisco,,1309 Sutter Street,,+1 415-567-2092,,,,N/A,No website,,osm
Mani-Pedi Spa,San Francisco,,4106 24th Street,,,,,,N/A,No website,,osm
Danu Hair Design,San Francisco,,,,,,,,N/A,No website,,osm
Flo's Barber Shop,San Francisco,,,,,,,,N/A,No website,,osm
B and M Studio,San Francisco,,3412 25th Street,,,,,,N/A,No website,,osm
Esme’s Beauty Studio,San Francisco,,3378 24th Street,,,,,,N/A,No website,,osm
Fekaso Hair Salon,San Francisco,,3315 22nd Street,,,,,,N/A,No website,,osm
Lisa Hair Design,San Francisco,,415 Castro Street,94114,+1-415-626-6268,,,,N/A,No website,,osm
Bruno Hair Design,San Francisco,,597 Castro Street,94114,+1 415-621-7710,,,,N/A,No website,,osm
The Woodbridge Salon,San Francisco,,2072 Chestnut Street,,,,,,N/A,No website,,osm
Union Nails,San Francisco,,,,+1 415-931-0414,,,,N/A,No website,,osm
Solon V,San Francisco,,1609 Vallejo Street,94109,,,,,N/A,No website,,osm
Green Twig Salon,San Francisco,,1299 Church Street,,,,,,N/A,No website,,osm
The Mission's Barbershop,San Francisco,,3160 24th Street,94110,+1-415-400-4531,,,,N/A,No website,,osm
The Alchemist Barbershop,San Francisco,,3422 25th Street,,+1 415-947-7087,,,,N/A,No website,,osm
