name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Wyndham Houston West Energy Corridor,Houston,,,,,,,,N/A,No website,,osm
Americas Best Value Inn & Suites - Houston / Katy Fwy,Houston,,,,,,,,N/A,No website,,osm
Limited Houston Sharpstown,Houston,,,,,,,,N/A,No website,,osm
Motel 7,Houston,,,,,,,,N/A,No website,,osm
Lexus Inn,Houston,,,,,,,,N/A,No website,,osm
Casa flaco hermano Jean,Houston,,,,,,,,N/A,No website,,osm
Auntie Melody,Houston,,,,,,,,N/A,No website,,osm
The Moran CITYCENTRE Hotel,Houston,TX,800 Sorella Court,77079,,,,,N/A,No website,,osm
Express Inn,Houston,,,,,,,,N/A,No website,,osm
Scottish Inn & Suites,Houston,,,,,,,,N/A,No website,,osm
Western Inn,Houston,,,,,,,,N/A,No website,,osm
America’s Best Value Inn & Suites,Houston,,,,,,,,N/A,No website,,osm
Crown Inn,Houston,,,,,,,,N/A,No website,,osm
Hollywood Inn,Houston,,,,,,,,N/A,No website,,osm
Motel Kung,Houston,,,,,,,,N/A,No website,,osm
Palace Inn,Houston,,,,,,,,N/A,No website,,osm
Scottish Inns & Suites,Houston,,,,,,,,N/A,No website,,osm
"Club Quarters Hotel, Houston, Downtown",Houston,TX,720 Fannin Street,77002,,,,,N/A,No website,,osm
Le Meridien Houston Downtown,Houston,TX,1121 Walker Street,77002,,,,,N/A,No website,,osm
Northline Motel,Houston,,,,,,,,N/A,No website,,osm
Swan Inn,Houston,,,,,,,,N/A,No website,,osm
Crystal Inn,Houston,,,,,,,,N/A,No website,,osm
Americas Best Value Inn,Houston,TX,7003 N Loop E Fwy,77028,+1 713-671-2100,,,,N/A,No website,,osm
