name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Twirl,San Diego,,,,,,,,N/A,No website,,osm
Designer Style Sunglasses,San Diego,,,,,,,,N/A,No website,,osm
Buffalo Exchange,San Diego,,,,,,,,N/A,No website,,osm
Babette Schawartz,San Diego,,,,,,,,N/A,No website,,osm
Pure,San Diego,,,,,,,,N/A,No website,,osm
Conroy Flowers,San Diego,,,,,,,,N/A,No website,,osm
LSKD,San Diego,,,,,,,,N/A,No website,,osm
Dave's Flower Box,San Diego,,,,,,,,N/A,No website,,osm
D&O Asian Import,San Diego,,,,,,,,N/A,No website,,osm
All the King's Flags,San Diego,,,,,,,,N/A,No website,,osm
Jammin,San Diego,,,,,,,,N/A,No website,,osm
H&M,San Diego,,,,,,,,N/A,No website,,osm
Sun Diego,San Diego,CA,7007 Friars Rd,92108,+1-619-268-2295,,,,N/A,No website,,osm
Windy City Flowers,San Diego,,,,,,,,N/A,No website,,osm
Edible Arrangements,San Diego,,,,,,,,N/A,No website,,osm
Nordstrom Rack,San Diego,,,,,,,,N/A,No website,,osm
Big Frog Custom T-shirts And More,San Diego,,Clairemont Dr,,+1-858-270-3764,,,,N/A,No website,,osm
Burlington,San Diego,CA,,,,,,,N/A,No website,,osm
Balboa Park Visitors Center,San Diego,,,,,,,,N/A,No website,,osm
J.B. Jewelers,San Diego,,,,,,,,N/A,No website,,osm
Lane Bryant,San Diego,,,,,,,,N/A,No website,,osm
Tillys,San Diego,,,,,,,,N/A,No website,,osm
Crystals & Gemstones,San Diego,,,,,,,,N/A,No website,,osm
Victoria's Secret,San Diego,,,,,,,,N/A,No website,,osm
Papaya Plus,San Diego,,,,,,,,N/A,No website,,osm
Zales,San Diego,,,,,,,,N/A,No website,,osm
Daniel's Jewelers,San Diego,,,,,,,,N/A,No website,,osm
Express,San Diego,,,,,,,,N/A,No website,,osm
American Eagle Outfitters,San Diego,,,,,,,,N/A,No website,,osm
David's Bridal,San Diego,,,,,,,,N/A,No website,,osm
Jared,San Diego,,,,,,,,N/A,No website,,osm
Vans Off the Wall,San Diego,,,,,,,,N/A,No website,,osm
Sports Fan,San Diego,,,,,,,,N/A,No website,,osm
Windsor,San Diego,,,,,,,,N/A,No website,,osm
Kay Jewelers,San Diego,,,,,,,,N/A,No website,,osm
Zumiez,San Diego,,,,,,,,N/A,No website,,osm
Hot Topic,San Diego,,,,,,,,N/A,No website,,osm
Spencer's,San Diego,,,,,,,,N/A,No website,,osm
Men's District,San Diego,,,,,,,,N/A,No website,,osm
La Loupe Vintage,San Diego,,4646-1 Park Boulevard,,,,,,N/A,No website,,osm
Edelweiss Flowers,San Diego,,,,,,,,N/A,No website,,osm
Balboa Jewelry,San Diego,CA,5937 Balboa Avenue,92111,,,,,N/A,No website,,osm
Bert Levi Family Jewelers,San Diego,CA,1050 University Avenue,92103,,,,,N/A,No website,,osm
Golden Key Jewelers,San Diego,,,,,,,,N/A,No website,,osm
Mi Casa Es Mi Casa,San Diego,,2448 San Diego Avenue,,,,,,N/A,No website,,osm
wandering sage,San Diego,,104 San Diego Avenue,,,,,,N/A,No website,,osm
Mermaid Cove,San Diego,,San Diego Avenue,,,,,,N/A,No website,,osm
Amore Leather,San Diego,,108 San Diego Avenue,,,,,,N/A,No website,,osm
Pearl Factory,San Diego,,,,,,,,N/A,No website,,osm
Navy Exchange,San Diego,,,,,,,,N/A,No website,,osm
Armani Exchange,San Diego,,,,,,,,N/A,No website,,osm
Cotton On,San Diego,,,,,,,,N/A,No website,,osm
Gap Kids,San Diego,,,,,,,,N/A,No website,,osm
Urban Outfitters,San Diego,,,,,,,,N/A,No website,,osm
Rosamariposa,San Diego,,611 West Fir Street,92101,,,,,N/A,No website,,osm
Verde San Diego,San Diego,,1742 India Street,92101,,,,,N/A,No website,,osm
Azzurra Capri Boutique,San Diego,,,,,,,,N/A,No website,,osm
Vitreum,San Diego,,,,,,,,N/A,No website,,osm
Mamma's Sogno,San Diego,,,,,,,,N/A,No website,,osm
Casa Artelexia,San Diego,,,,,,,,N/A,No website,,osm
blue-jeans and bikini,San Diego,,435 J Street,,,,,,N/A,No website,,osm
Destination XL,San Diego,,,,,,,,N/A,No website,,osm
Lisa's Boutique,San Diego,,,,,,,,N/A,No website,,osm
DXL Men's Apparel,San Diego,,,,,,,,N/A,No website,,osm
Presidio Jewelry,San Diego,,,,,,,,N/A,No website,,osm
Lolo,San Diego,,,,,,,,N/A,No website,,osm
Best of San Diego,San Diego,,,,,,,,N/A,No website,,osm
Crazy Shirts,San Diego,,,,,,,,N/A,No website,,osm
Tamara G,San Diego,,,,,,,,N/A,No website,,osm
Captain's Cove,San Diego,,,,,,,,N/A,No website,,osm
Village Hat Shop,San Diego,,,,,,,,N/A,No website,,osm
Magnuts,San Diego,,,,,,,,N/A,No website,,osm
America's National Heroes,San Diego,,,,,,,,N/A,No website,,osm
For Bare Feet,San Diego,,,,,,,,N/A,No website,,osm
Harley-Davidson San Diego,San Diego,,,,,,,,N/A,No website,,osm
