name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Ralphs Hair Place,San Diego,,,,,,,,N/A,No website,,osm
Winn's Barber Shop,San Diego,,,,,,,,N/A,No website,,osm
Lena's Barbara and Beauty,San Diego,,,,,,,,N/A,No website,,osm
Toxic's Beauty Salon,San Diego,CA,3523 El Cajon Boulevard,92104,,,,,N/A,No website,,osm
Johnny's Barber Shop,San Diego,CA,1900 Rosecrans Street,92106,+1-619-222-4753,,,,N/A,No website,,osm
Barber of Seville,San Diego,,4510 Park Boulevard,92116,,,,,N/A,No website,,osm
Glam Dolls Hair & Make-Up Studio,San Diego,,1951 4th Avenue,92101,,,,,N/A,No website,,osm
Muse Beauty Salon,San Diego,,7710 Balboa Avenue,92111,,,,,N/A,No website,,osm
Cut,San Diego,CA,1975 5th Avenue,92101,+1-619-233-0300,,,,N/A,No website,,osm
Haircut Plaza,San Diego,,,,,,,,N/A,No website,,osm
Dream Hair Design,San Diego,,,,,,,,N/A,No website,,osm
Royal Nails and Spa,San Diego,,,,,,,,N/A,No website,,osm
Bath & Body Works,San Diego,,,,,,,,N/A,No website,,osm
Happy Nails and Spa,San Diego,,,,,,,,N/A,No website,,osm
Tan Diego Tanning Salon,San Diego,,,,,,,,N/A,No website,,osm
Haircut Store,San Diego,,,,,,,,N/A,No website,,osm
Lido Hair Fashions,San Diego,,,,,,,,N/A,No website,,osm
Finesse Nails,San Diego,,,,,,,,N/A,No website,,osm
One Stop Hair & Nails,San Diego,,,,,,,,N/A,No website,,osm
Julia's Hair Studio,San Diego,,,,,,,,N/A,No website,,osm
Ks Spa,San Diego,CA,Convoy Street,92111,+1 858-223-1212,,,,N/A,No website,,osm
PNT Nails,San Diego,,,,,,,,N/A,No website,,osm
Ameri Nails,San Diego,,,,,,,,N/A,No website,,osm
Empire Beauty,San Diego,,,,,,,,N/A,No website,,osm
Hair Delight,San Diego,,,,,,,,N/A,No website,,osm
The Lab a salon,San Diego,,3034 University Avenue,,+1 619 543 9952,,,,N/A,No website,,osm
Happy Barber,San Diego,,4684 Clairemont Mesa Boulevard,,,,,,N/A,No website,,osm
Park Jun's SD Beauty Lab,San Diego,,,,,,,,N/A,No website,,osm
Angel Nails,San Diego,,,,,,,,N/A,No website,,osm
Salon Eros,San Diego,,3205 Thorn Street,92104,,,,,N/A,No website,,osm
Linda Vista Salon,San Diego,,,,,,,,N/A,No website,,osm
Rose Nails,San Diego,,,,,,,,N/A,No website,,osm
The Haircut,San Diego,,,,,,,,N/A,No website,,osm
Nails by Mary,San Diego,,,,,,,,N/A,No website,,osm
Weight and Cosmetic,San Diego,,,,,,,,N/A,No website,,osm
JV Barber Shop,San Diego,,,,,,,,N/A,No website,,osm
Apollo Nails & Spa,San Diego,,,,,,,,N/A,No website,,osm
Tierrasanta Barber,San Diego,,,,,,,,N/A,No website,,osm
Santo Asian Spa,San Diego,,,,,,,,N/A,No website,,osm
Downtown Nail & Spa,San Diego,,255 G Street,,+1-619-531-0999,,,,N/A,No website,,osm
Visage Beauty Salon,San Diego,,,,,,,,N/A,No website,,osm
Vince's Barber Shop,San Diego,CA,2030 India Street,92101,,,,,N/A,No website,,osm
Sunset Clipps,San Diego,,4804 Santa Monica Avenue,92107,+1 619-223-1171,,,,N/A,No website,,osm
Anakin's Barber Shop,San Diego,,2991 Broadway,92102,,,,,N/A,No website,,osm
Heavenly Nails & Spa,San Diego,,,,,,,,N/A,No website,,osm
What's up? Barber Shop,San Diego,,,,,,,,N/A,No website,,osm
Romantic Nails,San Diego,,,,,,,,N/A,No website,,osm
Nina international beauty salon,San Diego,,,,,,,,N/A,No website,,osm
Salon Mia,San Diego,CA,7878 Clairemont Mesa Boulevard,92111,,,,,N/A,No website,,osm
Annie's Hair Club,San Diego,,,,+1-619-476-6698,,,,N/A,No website,,osm
TLC Hair & Nails,San Diego,,,,,,,,N/A,No website,,osm
LV Nails,San Diego,,,,,,,,N/A,No website,,osm
Linda’s Salon,San Diego,,,,,,,,N/A,No website,,osm
O’Leisure Nails & Spa,San Diego,,,,,,,,N/A,No website,,osm
Don Barber,San Diego,,,,,,,,N/A,No website,,osm
Bella Donna’s,San Diego,,,,,,,,N/A,No website,,osm
Magic Mel Hair Creations,San Diego,CA,10601 Tierrasanta Boulevard,92124,+1-858-277-7021,,,,N/A,No website,,osm
Top Star Nails,San Diego,CA,10601 Tierrasanta Boulevard,92124,+1-858-467-9901,,,,N/A,No website,,osm
Floyd's 99 Barbershop,San Diego,,,,,,,,N/A,No website,,osm
Arcade Salon,San Diego,,J,,+1 619 223 7474,,,,N/A,No website,,osm
Pigtails & Crewcuts: Haircuts for Kids,San Diego,,2865 Sims Rd. Suite 100,,+1-619-501-2375,,,,N/A,No website,,osm
iNails & Spa,San Diego,,,,,,,,N/A,No website,,osm
SD Nails,San Diego,CA,5375 Kearny Villa Road,92123,,,,,N/A,No website,,osm
End Zone Barbershop,San Diego,CA,9353 Clairemont Mesa Boulevard,92123,+1-858-277-7789,,,,N/A,No website,,osm
The Laser Cafe,San Diego,,,,,,,,N/A,No website,,osm
Tokyo Blonde Paul Mitchell,San Diego,,,,,,,,N/A,No website,,osm
Velvet Hair Lounge,San Diego,,,,,,,,N/A,No website,,osm
Strand’s Nails,San Diego,,,,,,,,N/A,No website,,osm
The Park Salon,San Diego,,4640,,,,,,N/A,No website,,osm
Regal Nails,San Diego,,,,,,,,N/A,No website,,osm
Ling's Hair Design,San Diego,,,,,,,,N/A,No website,,osm
Ultimate Nails,San Diego,CA,5250 Murphy Canyon Road,92123,+1-858-292-0970,,,,N/A,No website,,osm
Elite Nail Salon,San Diego,CA,9353 Clairemont Mesa Boulevard,92123,,,,,N/A,No website,,osm
Uni'k,San Diego,,,,,,,,N/A,No website,,osm
Elli’s Hair Studio,San Diego,CA,1495 Pacific Highway,92101,,,,,N/A,No website,,osm
