name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Bleemer Family Chriopractic and Massage,San Francisco,,145 Vallejo Street,,,,,,N/A,No website,,osm
Massage Envy,San Francisco,,,,,,,,N/A,No website,,osm
Healthy Life Chiropractic,San Francisco,,101 Clement Street,,,,,,N/A,No website,,osm
Devie Spa & Massage,San Francisco,CA,1429 Polk Street,94109,+1 415 345 8788,,,,N/A,No website,,osm
Noe Integrative Health,San Francisco,,1199 Sanchez Street,,,,,,N/A,No website,,osm
Valley Chiropractic,San Francisco,,1326 Church Street,,,,,,N/A,No website,,osm
More Mojo Chiropractic,San Francisco,,1347 Church Street,,,,,,N/A,No website,,osm
Purple Iris Healing Center,San Francisco,,1404 Church Street,,,,,,N/A,No website,,osm
The Green Door Massage,San Francisco,,,,,,,,N/A,No website,,osm
Spark Chiropractic,San Francisco,,284 29th Street,,,,,,N/A,No website,,osm
New Mission Acupuncture,San Francisco,,3420 22nd Street,,,,,,N/A,No website,,osm
U-Feet Massage,San Francisco,CA,1117 Irving Street,94122,+1-415-504-6618,,,,N/A,No website,,osm
Hen's Massage,San Francisco,CA,338 Balboa Street,94118,,,,,N/A,No website,,osm
La Biang Thai,San Francisco,CA,1301 Polk Street,,,,,,N/A,No website,,osm
Karen Acupuncture,San Francisco,CA,1310 20th Avenue,94122,,,,,N/A,No website,,osm
Long Rainbow Health Center,San Francisco,CA,1311 23rd Avenue,94122,,,,,N/A,No website,,osm
Foot Reflexology,San Francisco,,662 Jackson Street,,,,,,N/A,No website,,osm
Taraval Chiropractic,San Francisco,CA,634 Taraval Street,94116,,,,,N/A,No website,,osm
"Jia M. Lee L.Ac, Ph. D",San Francisco,CA,1315 16th Avenue,94122,+1 415-759-8859,,,,N/A,No website,,osm
Mike Le Chiropractic,San Francisco,CA,1637 Irving Street,94122,,,,,N/A,No website,,osm
Asian Palace Spa,San Francisco,,704 Kearny Street,,+1 415 4779988,,,,N/A,No website,,osm
Fung Soong Reflexology / Massage,San Francisco,,,,,,,,N/A,No website,,osm
Ocean Chiropractic Center,San Francisco,CA,2549 Ocean Avenue,94127,,,,,N/A,No website,,osm
Gong Hui Rong Acupuncture,San Francisco,,3408 Balboa Street,94121,+1 415 387 2378,,,,N/A,No website,,osm
Shiatsu Massage,San Francisco,,3735 Balboa Street,,+1 415-379-9739,,,,N/A,No website,,osm
Jenny Beauty World,San Francisco,,3202 Balboa Street,94121,+1-415-668-7027,,,,N/A,No website,,osm
Dan Tian Wellness & Natural Medicine,San Francisco,,638 Stanyan Street,,,,,,N/A,No website,,osm
Vitality,San Francisco,,,,+1 415 4403377,,,,N/A,No website,,osm
Yellow Orchid Spa,San Francisco,CA,323 Kearny Street,94108,+1 415 9899633,,,,N/A,No website,,osm
Divis Reflexologu,San Francisco,,773 Divisadero Street,,,,,,N/A,No website,,osm
Nature's Edge Spa,San Francisco,,404 Balboa Street,94118,,,,,N/A,No website,,osm
Traditional Chinese Massage,San Francisco,,901 Cortland Avenue,,,,,,N/A,No website,,osm
East-West Bernal Integrative Medicine,San Francisco,,,,,,,,N/A,No website,,osm
Saby Thai Massage,San Francisco,CA,3159 Mission Street,,,,,,N/A,No website,,osm
Zone Chiropractic Care,San Francisco,,4027 Judah Street,,,,,,N/A,No website,,osm
Shiatsu Point,San Francisco,CA,195 Commonwealth Avenue,94118,,,,,N/A,No website,,osm
Massage,San Francisco,CA,3430 Geary Boulevard,94118,+1 415 387 1328,,,,N/A,No website,,osm
Sweet & Smile Massage,San Francisco,,1443B Noriega Street,,+1 415 213 5469,,,,N/A,No website,,osm
KangLe HealthCare,San Francisco,,1606 Noriega Street,,+1 415 682 7077,,,,N/A,No website,,osm
Ocean View Spa,San Francisco,,1632 Noriega Street,,+1 415 665 5238,,,,N/A,No website,,osm
Iyara,San Francisco,,1721 Haight Street,,,,,,N/A,No website,,osm
Johnson’s Acupuncture,San Francisco,,245 Clement Street,,+1 415 387 9738,,,,N/A,No website,,osm
The Enchanting Place,San Francisco,,311 4th Avenue,,+1 415 876 6373,,,,N/A,No website,,osm
Beaufort Day Spa,San Francisco,,4726 Geary Boulevard,,+1 415 668 1381,,,,N/A,No website,,osm
Massage Lounge,San Francisco,,388 11th Avenue,,+1 415 933 8898,,,,N/A,No website,,osm
王教授中醫,San Francisco,,4827 Geary Boulevard,,+1 415 387 7808,,,,N/A,No website,,osm
Laina Li Acupuncture,San Francisco,,4225 Geary Boulevard,,+1 415 876 2238,,,,N/A,No website,,osm
Oasis Day Spa,San Francisco,,2501 Clement Street,,+1 415 668 6299,,,,N/A,No website,,osm
Harmony Massage,San Francisco,,1053 Powell Street,,,,,,N/A,No website,,osm
Nikki's Oriental Massage,San Francisco,,,,+1 415 7710522,,,,N/A,No website,,osm
Chiropractic,San Francisco,,129 Fillmore Street,,,,,,N/A,No website,,osm
"Acupuncture, Ann Perkins",San Francisco,,,,+1 415 7229848,,,,N/A,No website,,osm
Paradise Massage,San Francisco,,,,+1 415 4410157,,,,N/A,No website,,osm
Sauna House Oriental Massage,San Francisco,CA,866 Sutter Street,,+1 415 8858020,,,,N/A,No website,,osm
Susu Oriental Massage,San Francisco,,,,,,,,N/A,No website,,osm
Empire Spa,San Francisco,,428 O'Farrell Street,,+1 415 441 4133,,,,N/A,No website,,osm
Lily Massage,San Francisco,,1474 Pine Street,,,,,,N/A,No website,,osm
Latch & So Chiropractic,San Francisco,,,,,,,,N/A,No website,,osm
Delightful Massage Foot Reflexology,San Francisco,,1538 Polk Street,,,,,,N/A,No website,,osm
Fung Soong Reflexology,San Francisco,,1623 Polk Street,,+1 415-567-8298,,,,N/A,No website,,osm
Angel Health Center Massage & Spa,San Francisco,,1347 Divisadero Street,,+1 415-359-9959,,,,N/A,No website,,osm
Nob Hill Sports Massage,San Francisco,,954 Bush Street,,,,,,N/A,No website,,osm
Buddha Bliss,San Francisco,,,,,,,,N/A,No website,,osm
Elite Massage,San Francisco,,1640 Bush Street,,,,,,N/A,No website,,osm
Acupuncture & Herbs,San Francisco,,2408 Clement Street,,+1 415-752-6413,,,,N/A,No website,,osm
Rincon Chiro,San Francisco,,,,,,,,N/A,No website,,osm
Fu Jian Traditional Chinese Medical Center,San Francisco,,,,+1 415-780-1676,,,,N/A,No website,,osm
Royal Thai Spa,San Francisco,,,,,,,,N/A,No website,,osm
Northpoint Chiropractic,San Francisco,,,,+1 415-931-9355,,,,N/A,No website,,osm
Aquamassage,San Francisco,,,,,,,,N/A,No website,,osm
Thamma Thai Spa,San Francisco,,112 Gough Street,,,,,,N/A,No website,,osm
Ning Ning Acupuncture,San Francisco,,,,+1 415-505-6002,,,,N/A,No website,,osm
Wela Thai Massage,San Francisco,,2343 Market Street,,,,,,N/A,No website,,osm
SOMA Health Center,San Francisco,,862 Folsom Street,,,,,,N/A,No website,,osm
Brannan Street Acupuncture,San Francisco,,141 Brannan Street,,,,,,N/A,No website,,osm
