name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Miami Lashes,Miami,,,,,,,,N/A,No website,,osm
Dore Beauty Salon,Miami,,,,,,,,N/A,No website,,osm
Sephora,Miami,,721 Collins Avenue,33139,+1-305-532-0904,,,,N/A,No website,,osm
JC Nails,Miami,,,,,,,,N/A,No website,,osm
La Tijera de Oro,Miami,,3974 Palm Avenue,33012,+1-305-822-8802,,,,N/A,No website,,osm
Ulta Beauty,Miami,,337 Lincoln Road,33139,+1 305-538-7316,,,,N/A,No website,,osm
Molton Brown,Miami,,,,,,,,N/A,No website,,osm
Skin by Tatum,Miami,,,,,,,,N/A,No website,,osm
Atma Beauty,Miami,,1874 West Avenue,,,,,,N/A,No website,,osm
Hair & Nails,Miami,,1753 Alton Road,,,,,,N/A,No website,,osm
Sparkle & Shine,Miami,,,,,,,,N/A,No website,,osm
Love Nail Salon,Miami,,,,,,,,N/A,No website,,osm
Uni K. Wax Center,Miami,,771 17th Street,,,,,,N/A,No website,,osm
exhale,Miami,,,,,,,,N/A,No website,,osm
Hall of Fame Barbershop,Miami,,1665 Washington Avenue,33139,,,,,N/A,No website,,osm
Look Boutique,Miami,,,,,,,,N/A,No website,,osm
Drybar,Miami,,,,,,,,N/A,No website,,osm
Secret hair salon,Miami,,,,,,,,N/A,No website,,osm
By Angels Salon & Spa,Bay Harbor Islands,FL,1013 Kane Concourse,33154,+1-305-763-8034,,,,N/A,No website,,osm
MP Nails,North Miami,FL,13180 Biscayne Boulevard,33181,,,,,N/A,No website,,osm
Wild Hair Unisex Haircutters,North Miami,FL,1601 Northeast 123rd Street,33181,,,,,N/A,No website,,osm
J's Barber Shop,North Miami,FL,1681 Northeast 123rd Street,33181,,,,,N/A,No website,,osm
The Shop North Miami,North Miami,FL,1677 Northeast 123rd Street,33181,,,,,N/A,No website,,osm
Trucutz Barber Lounge,North Miami,FL,13416 Biscayne Boulevard,33181,,,,,N/A,No website,,osm
Suenset Nails & Beauty,Miami,FL,8738 Southwest 72nd Street,33173,+1 305-595-1688,,,,N/A,No website,,osm
Davinci MedEsthetic,Miami,FL,8876 Southwest 24th Street,33165,,,,,N/A,No website,,osm
Noelia's Beauty Salon,Miami,FL,8878 Southwest 24th Street,33165,,,,,N/A,No website,,osm
Studio 2000 Hair Designers,Miami,FL,8729 Southwest 24th Street,33165,,,,,N/A,No website,,osm
Venetian Nail Spa,Miami Beach,FL,7353 Collins Avenue,33141,,,,,N/A,No website,,osm
Liquid Glamour Nail Salon,Miami,FL,7956 Southwest 8th Street,33144,,,,,N/A,No website,,osm
The Hair Stop,Miami Springs,FL,243 Westward Drive,33166,,,,,N/A,No website,,osm
IGK SALON,Miami,FL,3930 Northeast 2nd Avenue,33137,,,,,N/A,No website,,osm
Just dream beauty salon,North Miami,FL,1688 Northeast 123rd Street,33181,,,,,N/A,No website,,osm
bluemercury,Miami,,,,,,,,N/A,No website,,osm
Nail Republic,Miami,,,,,,,,N/A,No website,,osm
Forever Flawless,Miami Beach,FL,704 Lincoln Road,33139,,,,,N/A,No website,,osm
Hair Republic,Miami,,,,,,,,N/A,No website,,osm
Paul Lynn - Nail Brow Lash Miami,Miami,,1526 Alton Road,,,,,,N/A,No website,,osm
Salon Vaso,Miami,,1500 Alton Road,,,,,,N/A,No website,,osm
Amici Barber Shop,Miami Beach,FL,1431-A Alton Road,33139,,,,,N/A,No website,,osm
Blush Nails,Miami Beach,FL,1433 Alton Road,33139,,,,,N/A,No website,,osm
Hair Cuttery,Miami Beach,FL,1527 Alton Road,33139,,,,,N/A,No website,,osm
New Company Beauty Shop,Miami,FL,5747 Southwest 40th Street,33155,,,,,N/A,No website,,osm
Esthetique Spa,Miami,FL,5751 Southwest 40th Street,33155,,,,,N/A,No website,,osm
Hair Cuttery,Miami,FL,6794 Southwest 40th Street,33155,,,,,N/A,No website,,osm
Bath & Body Works,Miami,,,,,,,,N/A,No website,,osm
DR. BARBARA STURM,Miami,FL,140 Northeast 39th Street,33137,,,,,N/A,No website,,osm
FEMME COIFFURE HAIR SALON,Miami,FL,140 Northeast 39th Street,33137,+1-305-864-4400,,,,N/A,No website,,osm
iLash and Skincare,Miami,FL,430 South Dixie Highway,33146,,,,,N/A,No website,,osm
Aesop,Miami,FL,160 Northeast 41st Street,33137,+1-917-890-0219,,,,N/A,No website,,osm
The Spot Barbershop,Miami,FL,151 Northeast 41st Street,33137,+1-305-363-6477,,,,N/A,No website,,osm
PT Nails,Miami,,,,,,,,N/A,No website,,osm
