name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Smokey Bones,Orlando,,,,,,,,N/A,No website,,osm
Wing House,Orlando,,3789 Kirkman Road,32811,,,,,N/A,No website,,osm
Mark Hibachi,Orlando,,,,,,,,N/A,No website,,osm
Romano's Macaroni Grill,Orlando,,,,,,,,N/A,No website,,osm
Confisco Grille,Orlando,,,,,,,,N/A,No website,,osm
The Burger Digs,Orlando,,,,,,,,N/A,No website,,osm
China sun,Orlando,,,,,,,,N/A,No website,,osm
Dragon Court Super Buffet,Orlando,FL,12384 Apopka Vineland Road,,,,,,N/A,No website,,osm
Phillysteak,Orlando,FL,11985 Apopka Vineland Road,,,,,,N/A,No website,,osm
Bab al-Hara Hookah Café,Orlando,FL,11955 Apopka Vineland Road,,,,,,N/A,No website,,osm
China 3,Orlando,FL,11981 Apopka Vineland Road,,,,,,N/A,No website,,osm
Champs,Orlando,,,,,,,,N/A,No website,,osm
Nature's Table Cafe,Orlando,,,,,,,,N/A,No website,,osm
Eden's Fresh Co.,Orlando,,,,,,,,N/A,No website,,osm
Caffè Ritazza,Orlando,,200 South Orange Avenue,,,,,,N/A,No website,,osm
Dan's Sandwich Shoppe & Midnite Pizza,Orlando,FL,28 South Orange Avenue,,,,,,N/A,No website,,osm
Downtown Pour House,Orlando,FL,20 South Orange Avenue,,,,,,N/A,No website,,osm
Roho Art Café,Orlando,,,,,,,,N/A,No website,,osm
Ichiban,Orlando,FL,19 South Orange Avenue,,,,,,N/A,No website,,osm
The Pita Pit,Orlando,,,,,,,,N/A,No website,,osm
Fat Daddy's Grill,Orlando,FL,63 North Orange Avenue,,,,,,N/A,No website,,osm
Jam'Eng Restaurant,Orlando,FL,65 North Orange Avenue,32801,+14072864045;+17185010759,,,,N/A,No website,,osm
Finnhenry's,Orlando,FL,39 North Orange Avenue,,,,,,N/A,No website,,osm
Lizzy McCormack's,Orlando,FL,55 North Orange Avenue,,,,,,N/A,No website,,osm
Bar BQ Bar,Orlando,FL,64 North Orange Avenue,,,,,,N/A,No website,,osm
Independent Bar,Orlando,FL,68-70 North Orange Avenue,,,,,,N/A,No website,,osm
Annie's,Orlando,,,,,,,,N/A,No website,,osm
Leo's Diner,Orlando,FL,333 North Orange Avenue,,,,,,N/A,No website,,osm
Dixie's Cafe,Orlando,FL,331 North Orange Avenue,,,,,,N/A,No website,,osm
Planet Smoothie,Orlando,FL,7824 Sand Lake Road,,,,,,N/A,No website,,osm
Dickey's Barbecue Pit,Orlando,,,,,,,,N/A,No website,,osm
903 Mills Market,Orlando,,903 Mills Avenue,,,,,,N/A,No website,,osm
Pretzels Bar and Grill,Orlando,,,,,,,,N/A,No website,,osm
Eastern Pearl,Orlando,,,,,,,,N/A,No website,,osm
Camila's Restaurante Brasileiro,Orlando,FL,5458 International Drive,,,,,,N/A,No website,,osm
Gateway to India Restaurant,Orlando,FL,5532 International Drive,,,,,,N/A,No website,,osm
Sebastian's Pizza,Orlando,FL,5576 International Drive,,,,,,N/A,No website,,osm
Brazil 24 Hours Brazilian Steak House,Orlando,FL,5648 International Drive,,,,,,N/A,No website,,osm
Bill Wong's Famous Super Buffet,Orlando,FL,5668 International Drive,,,,,,N/A,No website,,osm
Aashirwad Indian Cuisine,Orlando,FL,5748 International Drive,,,,,,N/A,No website,,osm
Pio Pio Pollos A La Brasa,Orlando,FL,5752 International Drive,,,,,,N/A,No website,,osm
Nile Ethiopian Cuisine,Orlando,FL,7040 International Drive,,,,,,N/A,No website,,osm
Crazy Grill Brazilian Steakhouse,Orlando,FL,7048 International Drive,,,,,,N/A,No website,,osm
The Juicy Crab,Orlando,FL,7308 International Drive,,,,,,N/A,No website,,osm
Shalimar Classic Indian,Orlando,FL,7342 International Drive,,,,,,N/A,No website,,osm
O'Shucks Pub & Billiards,Orlando,FL,7467 International Drive,,,,,,N/A,No website,,osm
Sizler Indian Restaurant,Orlando,FL,7511 International Drive,,,,,,N/A,No website,,osm
Taj Mahal,Orlando,FL,8550 International Drive,32819,,,,,N/A,No website,,osm
Bumbles Coffee,Orlando,,,,,,,,N/A,No website,,osm
Lemon Tree Frozen Yogurt,Orlando,,,,,,,,N/A,No website,,osm
Lil Italy Pizza Deli,Orlando,,,,,,,,N/A,No website,,osm
Lobster Feast,Orlando,,,,,,,,N/A,No website,,osm
Sushiology,Orlando,,,,,,,,N/A,No website,,osm
