name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Auburn Dental Care,Atlanta,,,,,,,,N/A,No website,,osm
Collier Hills Dental,Atlanta,,857 Collier Road Northwest,,,,,,N/A,No website,,osm
Southern Smiles Family Dentistry,Atlanta,,,,,,,,N/A,No website,,osm
Broad Street Dental Center,Atlanta,GA,103 Broad Street Southwest,30303,+1-404-577-4691,,,,N/A,No website,,osm
Buckhead Dental Care,Atlanta,GA,2964 Peachtree Road,30305,,,,,N/A,No website,,osm
Franklin Dental & Braces,Atlanta,,,,,,,,N/A,No website,,osm
Pampered Smiles,Atlanta,,,,,,,,N/A,No website,,osm
Madison Yards Family Dentistry,Atlanta,,955 Memorial Drive Southeast,30316,,,,,N/A,No website,,osm
iSmile Dental LLC,Atlanta,,,,,,,,N/A,No website,,osm
Dental Implant and Aesthetic Specialists of Atlanta,Brookhaven,GA,2801 Buford Highway NE,30329,+1 404-321-4588,,,,N/A,No website,,osm
Brighten Your Smile Dentistry,Atlanta,,900 South Cobb Drive,,,,,,N/A,No website,,osm
Precision Oral Surgery & Implant Center,Atlanta,,1155 Concord Road Southeast,,,,,,N/A,No website,,osm
Coast Dental,Atlanta,,2484 Briarcliff Road Northeast,,,,,,N/A,No website,,osm
Jonquil Braces & Kids Dentistry,Atlanta,,1155 Concord Road Southeast,,,,,,N/A,No website,,osm
New Face Dentistry - Atlanta,Atlanta,GA,700 Morosgo Dr NE J,30324,,,,,N/A,No website,,osm
Mazzawi Dental Intown,Atlanta,,371 East Paces Ferry Road Northeast,,,,,,N/A,No website,,osm
Buckhead Village Endodontics,Atlanta,,371 East Paces Ferry Road Northeast,,,,,,N/A,No website,,osm
RenewAll Orthodontics,Smyrna,GA,4500 West Village Place,30080,,,,,N/A,No website,,osm
Iconic Orthodontics of Summerhill,Atlanta,GA,59 Georgia Avenue SE,30312,,,,,N/A,No website,,osm
Sage Dental & Orthodontics,Atlanta,,,,,,,,N/A,No website,,osm
