name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Kirkwood Dental Care,Houston,TX,7417 South Kirkwood Road,77072,+1-832-351-2999,,,,N/A,No website,,osm
Summit Dental Center,Houston,TX,6081 Scott Street,,,,,,N/A,No website,,osm
ABC Dental,Houston,,,,,,,,N/A,No website,,osm
South Texas Dental,Houston,,,,,,,,N/A,No website,,osm
Jefferson Dental Clinic,Houston,,,,,,,,N/A,No website,,osm
Mathew Naftis DDS,Houston,TX,1214 West 43rd Street,,,,,,N/A,No website,,osm
Lovett Dental,Houston,,,,,,,,N/A,No website,,osm
Dental Care,Houston,,,,,,,,N/A,No website,,osm
Aquario Dental,Houston,,,,,,,,N/A,No website,,osm
Magnolia Dental Care,Houston,TX,7111 Lawndale Street,,,,,,N/A,No website,,osm
Tooth Doctor for Kids,Houston,,,,,,,,N/A,No website,,osm
Oak Forest Dental Group and Orthodontics,Houston,TX,1354 West 43rd Street,,,,,,N/A,No website,,osm
BLVD Dentistry,Houston,,107 Yale Street,,,,,,N/A,No website,,osm
Brident,Houston,TX,6729 Airline Drive,,,,,,N/A,No website,,osm
Teeth Are Us Dental,Houston,,,,,,,,N/A,No website,,osm
"Ellis & Satchell, D.D.S.",Houston,,,,,,,,N/A,No website,,osm
NW General Dentistry,Houston,,,,,,,,N/A,No website,,osm
Castle Dental,Houston,,,,,,,,N/A,No website,,osm
Unique Dental,Houston,,,,,,,,N/A,No website,,osm
Mandalay Dental,Houston,,,,,,,,N/A,No website,,osm
Infinite Smiles Family Dentistry,Houston,TX,1333 Old Spanish Trail,77054,,,,,N/A,No website,,osm
Sunshine Dental,Houston,TX,3444A Ella Boulevard,,,,,,N/A,No website,,osm
Jefferson Dental Care,Houston,TX,5406f Airline Drive,,,,,,N/A,No website,,osm
Pearl Dentisry,Houston,TX,1919 Taylor Street,,,,,,N/A,No website,,osm
Briargrove Smiles Dentistry,Houston,,,,,,,,N/A,No website,,osm
