name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
GEM Transitional Care Center,Los Angeles,,,,,,,,N/A,No website,,osm
Orthosport,Los Angeles,,,,,,,,N/A,No website,,osm
CompletePT,Los Angeles,,,,,,,,N/A,No website,,osm
Abilities Recovery Center,Los Angeles,,,,,,,,N/A,No website,,osm
Pro Fizix Physical Therapy,Los Angeles,,,,,,,,N/A,No website,,osm
Blake Physical Therapy,Los Angeles,,,,,,,,N/A,No website,,osm
Inglewood Physical Therapy,Los Angeles,,,,,,,,N/A,No website,,osm
Physical Therapy & Performance Center,Los Angeles,,,,,,,,N/A,No website,,osm
The Balance Lab,Los Angeles,,,,,,,,N/A,No website,,osm
Myodetox,Los Angeles,,11611 West San Vicente Boulevard,90049,,,,,N/A,No website,,osm
Osteo Strong,Los Angeles,,,,,,,,N/A,No website,,osm
Sportsfit Physical Therapy,Los Angeles,,,,,,,,N/A,No website,,osm
West Star,Los Angeles,,,,,,,,N/A,No website,,osm
Blessed Physical Therapy,Los Angeles,,,,,,,,N/A,No website,,osm
Sundance Physical Therapy,Los Angeles,,2212 Pico Boulevard,,,,,,N/A,No website,,osm
