name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Robert J. Bey DDS,San Diego,,,,,,,,N/A,No website,,osm
Chien's Family Dentistry,San Diego,,,,,,,,N/A,No website,,osm
Clairemont Smiles,San Diego,,,,,,,,N/A,No website,,osm
Rio Vista Family Dentistry,San Diego,CA,8590 Rio San Diego Drive,92108,,,,,N/A,No website,,osm
Spectrum Dental,San Diego,CA,5375 Kearny Villa Road,92123,,,,,N/A,No website,,osm
Aava Dental,San Diego,CA,4428 Convoy Street,92111,,,,,N/A,No website,,osm
Albert Leung,San Diego,,6565,,,,,,N/A,No website,,osm
Western Dental & Orthodonics,San Diego,,,,,,,,N/A,No website,,osm
Timothy Christian DDS,San Diego,,,,,,,,N/A,No website,,osm
Branch Health Clinic Dental NBSD,San Diego,,,,,,,,N/A,No website,,osm
"Dr. Rastgear Dental Group, Inc.; Smile Makeover Center",San Diego,CA,,,,,,,N/A,No website,,osm
Perfect Smile,San Diego,,,,,,,,N/A,No website,,osm
U Dream Dental,San Diego,,,,,,,,N/A,No website,,osm
Mesa Dental,San Diego,,,,,,,,N/A,No website,,osm
Kensington Pediatric Dentistry,San Diego,,,,,,,,N/A,No website,,osm
Mission Bay Dental,San Diego,,,,,,,,N/A,No website,,osm
Bay Ho Family Dental,San Diego,,4025 Avati Drive,92117,+1-858-272-2294,,,,N/A,No website,,osm
"Signature Dental Studio of North Park | Paul J. Martin, DMD",San Diego,CA,1807 Robinson Avenue,92103,,,,,N/A,No website,,osm
Family Dentistry Maria Dulce Vargas-Loo D.M.D.,San Diego,,,,+1 858-467-1223,,,,N/A,No website,,osm
Beautiful Smile Dentistry,San Diego,,,,,,,,N/A,No website,,osm
Mid-City Dental,San Diego,,,,,,,,N/A,No website,,osm
Jerry Fabrikant DPM Inc,San Diego,,,,,,,,N/A,No website,,osm
