name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
City Chemist,New York,,335 Graham Avenue,11211,,,,,N/A,No website,,osm
Saldo Drugs,New York,,,,,,,,N/A,No website,,osm
X.I.P.,New York,,,,,,,,N/A,No website,,osm
Rite Aid,New York,NY,,10281,,,,,N/A,No website,,osm
Kings Pharmacy,New York,NY,5 Hudson Street,10013,,,,,N/A,No website,,osm
139 Center Pharmacy,New York,NY,139 Centre Street,,+1 646-838-6388,,,,N/A,No website,,osm
People's Choice Pharmacy,New York,,,,,,,,N/A,No website,,osm
Thriftway Pharmacy,New York,,,,+1-718-399-1800,,,,N/A,No website,,osm
East Drive Pharmacy,New York,,93 Avenue D,10009,+1-212-228-0400,,,,N/A,No website,,osm
Drugs Care Pharmacy,New York,,1001 Church Avenue,11218,+1-718-856-2976,,,,N/A,No website,,osm
Pharmore Pharmacy,New York,,,,+1-718-282-3600,,,,N/A,No website,,osm
M&F Pharmacy,New York,,712 Nostrand Avenue,11216,+1-718-467-1000,,,,N/A,No website,,osm
Skillman Chemists,New York,,48-11 Skillman Avenue,11104,+1 718-729-1400,,,,N/A,No website,,osm
Block Drug Stores,New York,,101 2nd Avenue,10003,+1-212-473-1587,,,,N/A,No website,,osm
Crescent Apothocary,Astoria,NY,25-01 Ditmars Boulevard,11105,,,,,N/A,No website,,osm
Abacus Pharmacy,New York,,168 2nd Avenue,10003,+1-212-477-6400,,,,N/A,No website,,osm
Queens Pharm,New York,,96-1 63rd Drive,11374,+1 347 730 5115,,,,N/A,No website,,osm
Royal Pharmacy,New York,,,,+1-718-941-7722,,,,N/A,No website,,osm
Park Chemists,Brooklyn,NY,164 5th Avenue,11217,+1-718-393-5555,,,,N/A,No website,,osm
CRJ Pharmacy,New York,,1341 Fulton Street,11216,+1-718-676-0157,,,,N/A,No website,,osm
County Pharmacy,New York,,580 Nostrand Avenue,11216,+1-718-783-1143,,,,N/A,No website,,osm
Tablet Rx,Brooklyn,NY,122 Bay Ridge Avenue,11220,,,,,N/A,No website,,osm
95th Street Pharmacy,New York,,9502 3rd Avenue,11209,+1-347-497-5232,,,,N/A,No website,,osm
PillRx Pharmacy,New York,,9701 3rd Avenue,11209,+1-718-218-3555,,,,N/A,No website,,osm
St. Mary Pharmacy,New York,,9720 4th Avenue,11209,+1-718-921-2525,,,,N/A,No website,,osm
EZ Pharmacy,New York,,8802 4th Avenue,11209,,,,,N/A,No website,,osm
Lowen’s Pharmacy,New York,,6906 3rd Avenue,11209,,,,,N/A,No website,,osm
Rangle Pharmacy,New York,NY,159-12 Harlem River Drive,10039,,,,,N/A,No website,,osm
All Health Pharmacy,New York,,118 Mott Street,10013,+1-212-431-4398,,,,N/A,No website,,osm
Harmony Pharmacy,New York,,128 Mott Street,10013,+1-212-226-2881,,,,N/A,No website,,osm
Alrite Pharmacy,New York,NY,161 Hester Street,10013,+1-212-965-8868,,,,N/A,No website,,osm
A Class Pharmacy,New York,,85 Elizabeth Street,10013,+1-212-431-0333,,,,N/A,No website,,osm
Pharmacy Boutique,New York,,2823 Coney Island Avenue,11235,,,,,N/A,No website,,osm
A 2 Z Rx,New York,,2831 Coney Island Avenue,11235,+1-718-743-8585,,,,N/A,No website,,osm
Smart Choice Pharmacy,New York,,259 Avenue X,,+1 718-339-3400,,,,N/A,No website,,osm
Rx Pharmacy Light,Brooklyn,NY,319 Avenue X,11223,+1-718-872-7668,,,,N/A,No website,,osm
Marlboro Drugs,Brooklyn,NY,2313 Stillwell Avenue,11223,+1-718-975-8668,,,,N/A,No website,,osm
Healthy Family Pharmacy,New York,,5901 8th Avenue,11220,+1-718-676-7733,,,,N/A,No website,,osm
A.M Pharmacy,New York,,5702 8th Avenue,11220,+17182389828,,,,N/A,No website,,osm
Ai Hua Pharmacy,New York,,5724 7th Avenue,11220,+1-718-567-8288,,,,N/A,No website,,osm
Kelly's Pharmacy,New York,,5825 5th Avenue,11220,+1-718-439-6360,,,,N/A,No website,,osm
J2 Pharmacy,New York,,769 61st Street,11220,+1-347-335-0910,,,,N/A,No website,,osm
Kenby Pharmacy,New York,,6024 5th Avenue,11220,+1-718-439-9505,,,,N/A,No website,,osm
Sunrise Family Pharmacy,Brooklyn,NY,6324 4th Avenue,11220,+1-718-567-9100,,,,N/A,No website,,osm
4th Avenue Pharmacy,Brooklyn,NY,5002 4th Avenue,11220,+1-718-492-1500,,,,N/A,No website,,osm
Lutheran Pharmacy,Brooklyn,NY,2nd Avenue,11220,+1-718-492-9800,,,,N/A,No website,,osm
United Care Pharmacy,New York,,,,+1-718-369-2803,,,,N/A,No website,,osm
VLS Pharmacy,New York,,4402 5th Avenue,11220,+1-718-854-1384,,,,N/A,No website,,osm
A-Town Pharmacy,New York,,,,+1-718-686-1201,,,,N/A,No website,,osm
Dahill Pharmacy,Brooklyn,NY,73 Church Avenue,11218,+1-718-484-8300,,,,N/A,No website,,osm
City Drugs Pharmacy,New York,,422 Church Avenue,11218,+1-718-686-2727,,,,N/A,No website,,osm
Oak Park Pharmacy,New York,,205 Prospect Park West,11215,+1-718-768-6300,,,,N/A,No website,,osm
Natures Emporium,New York,,1616 East 16th Street,11229,+1-718-375-7877,,,,N/A,No website,,osm
This Way Pharmacy,Brooklyn,NY,2712 Avenue U,11229,+1-718-769-7403,,,,N/A,No website,,osm
Kings Court Drugs,New York,,8 Newkirk Plaza,11226,+1-718-434-6565,,,,N/A,No website,,osm
Hester Pharmacy,New York,,153 Hester Street,10013,+1-212-966-7599,,,,N/A,No website,,osm
ABC Pharmacy,New York,,,,,,,,N/A,No website,,osm
Tyka Pharmacy,New York,,173 Canal Street,10013,+1-212-343-1517,,,,N/A,No website,,osm
678 Pharmacy,New York,NY,82 Elizabeth Street,10013,+1-212-966-6606,,,,N/A,No website,,osm
Centre Care Phamacy,New York,,187 Centre Street,10013,,,,,N/A,No website,,osm
